cell_id,tile,sample,sample_stage,x_pixel,y_pixel,x_um,y_um,x,y,n_genes,n_counts,leiden,predicted.celltype,predicted.celltype.score
W7_tile_0_cell_1007,tile_W7_0,W7,7w_6d,7203.5,10981.0,978.81012,1558.79842,978.81012,1558.79842,99,146.0,1,EVT2,0.779970529691568
W7_tile_0_cell_1008,tile_W7_0,W7,7w_6d,7272.5,10986.0,988.60674,1559.50832,988.60674,1559.50832,118,184.0,6,EVT2,0.479632609518979
W7_tile_0_cell_101,tile_W7_0,W7,7w_6d,6080.0,9700.5,819.29559,1376.99303,819.29559,1376.99303,75,122.0,0,vCTB2,0.746046239417499
W7_tile_0_cell_1017,tile_W7_0,W7,7w_6d,7113.0,10915.0,965.96093,1549.42774,965.96093,1549.42774,260,577.0,6,EVT2,0.362225773805056
W7_tile_0_cell_1024,tile_W7_0,W7,7w_6d,5567.0,10826.0,746.45985,1536.79152,746.45985,1536.79152,70,89.0,0,vCTB2,0.639696706577512
W7_tile_0_cell_1053,tile_W7_0,W7,7w_6d,5572.0,10717.5,747.16975,1521.38669,747.16975,1521.38669,126,186.0,5,vCTB2,0.391213404460647
W7_tile_0_cell_106,tile_W7_0,W7,7w_6d,6502.0,9456.0,879.21115,1342.27892,879.21115,1342.27892,89,172.0,1,EVT2,0.881891466387036
W7_tile_0_cell_1076,tile_W7_0,W7,7w_6d,5628.5,10521.0,755.19162,1493.48762,755.19162,1493.48762,67,88.0,0,vCTB2,0.685711192747432
W7_tile_0_cell_108,tile_W7_0,W7,7w_6d,6787.0,9717.5,919.67545,1379.40669,919.67545,1379.40669,62,134.0,1,EVT2,0.52713567733279
W7_tile_0_cell_1081,tile_W7_0,W7,7w_6d,6710.0,10470.0,908.74299,1486.2466399999998,908.74299,1486.2466399999998,241,884.0,7,EVT2,0.395709683825351
W7_tile_0_cell_1084,tile_W7_0,W7,7w_6d,6968.0,10459.0,945.37383,1484.6848599999998,945.37383,1484.6848599999998,149,308.0,6,EVT2,0.539293409690247
W7_tile_0_cell_1086,tile_W7_0,W7,7w_6d,5709.0,10422.5,766.62101,1479.50259,766.62101,1479.50259,147,246.0,10,STB,0.400765928781818
W7_tile_0_cell_1087,tile_W7_0,W7,7w_6d,7168.5,10417.5,973.84082,1478.79269,973.84082,1478.79269,71,132.0,1,EVT2,0.824271323712455
W7_tile_0_cell_1088,tile_W7_0,W7,7w_6d,6624.0,10424.0,896.53271,1479.71556,896.53271,1479.71556,165,450.0,7,STB,0.570500925328931
W7_tile_0_cell_109,tile_W7_0,W7,7w_6d,6462.5,9778.0,873.60294,1387.99648,873.60294,1387.99648,192,522.0,6,EVT3,0.630517339925848
W7_tile_0_cell_1094,tile_W7_0,W7,7w_6d,6796.0,10425.0,920.95327,1479.85754,920.95327,1479.85754,139,375.0,7,EVT3,0.447733558789361
W7_tile_0_cell_1097,tile_W7_0,W7,7w_6d,6899.0,10351.0,935.57721,1469.35102,935.57721,1469.35102,52,91.0,1,EVT2,0.533509223360834
W7_tile_0_cell_1098,tile_W7_0,W7,7w_6d,6771.0,10360.5,917.40377,1470.69983,917.40377,1470.69983,179,586.0,7,STB,0.521493649174603
W7_tile_0_cell_1099,tile_W7_0,W7,7w_6d,6637.0,10362.0,898.3784499999999,1470.9128,898.3784499999999,1470.9128,74,142.0,2,vCTB2,0.276185041764983
W7_tile_0_cell_1100,tile_W7_0,W7,7w_6d,6700.0,10350.0,907.32319,1469.20904,907.32319,1469.20904,116,269.0,7,STB,0.615709162762575
W7_tile_0_cell_1101,tile_W7_0,W7,7w_6d,6731.0,10288.0,911.72457,1460.40628,911.72457,1460.40628,94,215.0,2,STB,0.372688716413554
W7_tile_0_cell_1102,tile_W7_0,W7,7w_6d,6619.0,10278.0,895.82281,1458.98648,895.82281,1458.98648,78,166.0,2,STB,0.517288938433725
W7_tile_0_cell_1104,tile_W7_0,W7,7w_6d,6653.0,10238.0,900.65013,1453.30728,900.65013,1453.30728,103,265.0,2,STB,0.393130941818454
W7_tile_0_cell_1105,tile_W7_0,W7,7w_6d,6559.0,10232.0,887.30401,1452.4554,887.30401,1452.4554,267,1134.0,7,EVT3,0.639056945604636
W7_tile_0_cell_1106,tile_W7_0,W7,7w_6d,6991.0,10241.0,948.63937,1453.7332199999998,948.63937,1453.7332199999998,204,505.0,6,EVT2,0.621858044666111
W7_tile_0_cell_1107,tile_W7_0,W7,7w_6d,6738.0,10219.5,912.71843,1450.68065,912.71843,1450.68065,214,714.0,7,STB,0.461989640888579
W7_tile_0_cell_1108,tile_W7_0,W7,7w_6d,7090.0,10157.0,962.69539,1441.8069,962.69539,1441.8069,176,395.0,6,EVT2,0.799650210725051
W7_tile_0_cell_1109,tile_W7_0,W7,7w_6d,7198.0,10130.0,978.02923,1437.97344,978.02923,1437.97344,228,540.0,6,EVT2,0.607629818291326
W7_tile_0_cell_1110,tile_W7_0,W7,7w_6d,6923.0,10225.0,938.98473,1451.46154,938.98473,1451.46154,57,81.0,1,EVT2,0.790647056231998
W7_tile_0_cell_1112,tile_W7_0,W7,7w_6d,6518.0,10150.5,881.4828299999999,1440.88403,881.4828299999999,1440.88403,226,842.0,7,STB,0.333451239321459
W7_tile_0_cell_1114,tile_W7_0,W7,7w_6d,6742.0,10143.0,913.28635,1439.81918,913.28635,1439.81918,66,163.0,2,EVT2,0.434232033841765
W7_tile_0_cell_1119,tile_W7_0,W7,7w_6d,6726.0,10040.5,911.01467,1425.26623,911.01467,1425.26623,175,562.0,7,STB,0.685596144565437
W7_tile_0_cell_112,tile_W7_0,W7,7w_6d,6945.0,9652.5,942.10829,1370.17799,942.10829,1370.17799,126,238.0,6,EVT2,0.9279822678198
W7_tile_0_cell_1120,tile_W7_0,W7,7w_6d,6812.0,10047.0,923.22495,1426.1891,923.22495,1426.1891,130,378.0,7,EVT2,0.382391463609563
W7_tile_0_cell_1121,tile_W7_0,W7,7w_6d,6520.0,10008.0,881.76679,1420.65188,881.76679,1420.65188,127,355.0,1,EVT3,0.6080207286327
W7_tile_0_cell_1122,tile_W7_0,W7,7w_6d,6495.0,9974.0,878.2172899999999,1415.82456,878.2172899999999,1415.82456,46,83.0,1,EVT2,0.583623994856641
W7_tile_0_cell_1123,tile_W7_0,W7,7w_6d,6639.0,9988.0,898.66241,1417.81228,898.66241,1417.81228,59,136.0,1,EVT2,0.519311725290879
W7_tile_0_cell_1124,tile_W7_0,W7,7w_6d,6674.0,9931.0,903.63171,1409.71942,903.63171,1409.71942,244,987.0,7,EVT3,0.592424124024496
W7_tile_0_cell_1125,tile_W7_0,W7,7w_6d,6572.0,9967.0,889.1497499999999,1414.8307,889.1497499999999,1414.8307,103,286.0,1,EVT2,0.561549561954405
W7_tile_0_cell_1126,tile_W7_0,W7,7w_6d,6826.0,9931.0,925.21267,1409.71942,925.21267,1409.71942,121,305.0,2,EVT2,0.538040175582544
W7_tile_0_cell_1127,tile_W7_0,W7,7w_6d,6900.0,9857.0,935.71919,1399.2129,935.71919,1399.2129,206,464.0,6,EVT2,0.755296641343775
W7_tile_0_cell_1128,tile_W7_0,W7,7w_6d,7105.0,9900.0,964.82509,1405.31804,964.82509,1405.31804,175,361.0,10,EVT2,0.569076275429649
W7_tile_0_cell_1129,tile_W7_0,W7,7w_6d,5543.5,9887.5,743.1233199999999,1403.5432899999998,743.1233199999999,1403.5432899999998,64,86.0,0,vCTB2,0.635646092001842
W7_tile_0_cell_1131,tile_W7_0,W7,7w_6d,5561.5,9669.5,745.67896,1372.5916499999998,745.67896,1372.5916499999998,66,86.0,4,EVT2,0.325752630911887
W7_tile_0_cell_1133,tile_W7_0,W7,7w_6d,7069.0,9644.0,959.71381,1368.97116,959.71381,1368.97116,119,242.0,6,EVT2,0.921154699554459
W7_tile_0_cell_1135,tile_W7_0,W7,7w_6d,7231.0,9486.5,982.71457,1346.60931,982.71457,1346.60931,265,572.0,6,EVT2,0.428732961648239
W7_tile_0_cell_1136,tile_W7_0,W7,7w_6d,7072.0,9451.5,960.13975,1341.6400099999998,960.13975,1341.6400099999998,240,504.0,6,EVT2,0.532270116151863
W7_tile_0_cell_1137,tile_W7_0,W7,7w_6d,7148.0,9462.0,970.93023,1343.1308,970.93023,1343.1308,82,121.0,6,EVT2,0.758457662896428
W7_tile_0_cell_1138,tile_W7_0,W7,7w_6d,5547.0,9449.5,743.6202499999999,1341.35605,743.6202499999999,1341.35605,59,84.0,4,vCTB2,0.248349231220355
W7_tile_0_cell_121,tile_W7_0,W7,7w_6d,7308.0,9902.0,993.64703,1405.602,993.64703,1405.602,128,224.0,6,EVT2,0.528062630684306
W7_tile_0_cell_123,tile_W7_0,W7,7w_6d,6582.0,10099.0,890.5695499999999,1433.57206,890.5695499999999,1433.57206,100,270.0,2,STB,0.432576212160512
W7_tile_0_cell_129,tile_W7_0,W7,7w_6d,6141.0,9473.0,827.95637,1344.69258,827.95637,1344.69258,119,188.0,5,vCTB2,0.571322429775632
W7_tile_0_cell_130,tile_W7_0,W7,7w_6d,6441.5,9298.0,870.62136,1319.84608,870.62136,1319.84608,200,574.0,6,EVT2,0.553593746032931
W7_tile_0_cell_156,tile_W7_0,W7,7w_6d,6829.0,10131.0,925.63861,1438.11542,925.63861,1438.11542,142,631.0,7,STB,0.442926489828602
