"cell","orig.ident","nCount_RNA_raw","nFeature_RNA_raw","sample_id","gestational_week","tile","sample","sample_stage","x_pixel","y_pixel","x_um","y_um","x","y","n_genes","n_counts","leiden","predicted.celltype","predicted.celltype.score","week","spatial_x_use","spatial_y_use","celltype_author","predicted.id","prediction.score.max","celltype_final_conservative","celltype_final_source","celltype_final_refined","celltype_refined_source","lineage_EVT","lineage_vCTB","lineage_STB","lineage_Endothelial","lineage_Fibroblast","lineage_Macrophage","lineage_NK","celltype_lineage_rescue","lineage_score_max","lineage_label_max","niche_cluster","dataset","permissiveness_global","permissiveness_global_pct","label"
"W9_W9_tile_11_cell_567","W9",188,125,"W9",9,"tile_W9_11","W9","9w_1d",17793.5,11659.5,2525.18529,1655.27383,2525.18529,1655.27383,125,188,5,"vCTB2",0.415291591847824,9,2525.18529,1655.27383,"vCTB2","vCTB2",0.415291591847824,"vCTB2","author","vCTB2","author",-1.1583714177142,1.17201660120865,-0.404387718743986,0.199128408095129,1.38934454437186,-0.483499616634491,-0.0764306285410493,NA,1.38934454437186,"Fibroblast","N8","starmap",-2.25835725386129,0.0339292229113462,"vCTB2"
"W9_W9_tile_11_cell_874","W9",114,84,"W9",9,"tile_W9_11","W9","9w_1d",17325,11345,2458.66766,1610.62112,2458.66766,1610.62112,84,114,4,"Fibroblast2",0.305369666176544,9,2458.66766,1610.62112,"Fibroblast2","Fibroblast2",0.305369666176544,"Fibroblast2","author","Fibroblast2","author",-1.29903809356352,0.204183289030953,-0.667285435193453,0.315988829415561,8.72331085654917,-0.166229695799242,-0.0787911264259,NA,8.72331085654917,"Fibroblast","N8","starmap",-2.12275423447773,0.0538124771981029,"Fibroblast2"
"W9_W9_tile_12_cell_1119","W9",90,65,"W9",9,"tile_W9_12","W9","9w_1d",17852.5,10930,2533.56211,1551.69942,2533.56211,1551.69942,65,90,8,"vCTB2",0.247348562942622,9,2533.56211,1551.69942,"vCTB2","vCTB2",0.247348562942622,"vCTB2","author","vCTB2","author",-1.28492007874688,0.183828301053198,-0.677218728335112,0.340027348907559,8.63217388457491,-0.203384623635968,-0.078161506494485,NA,8.63217388457491,"Fibroblast","N5","starmap",-2.1212168666567,0.054086099963517,"vCTB2"
"W9_W9_tile_12_cell_1272","W9",111,91,"W9",9,"tile_W9_12","W9","9w_1d",17044,10138,2418.77128,1439.25126,2418.77128,1439.25126,91,111,0,"vCTB2",0.612502384779906,9,2418.77128,1439.25126,"vCTB2","vCTB2",0.612502384779906,"vCTB2","author","vCTB2","author",-1.54103232877139,0.044997466769864,-0.367154858788999,-0.290730788954562,-2.39487633072374,-0.746626854338866,-0.110767825696615,NA,0.044997466769864,"vCTB","N8","starmap",-2.18488356872966,0.0434148121123678,"vCTB2"
"W9_W9_tile_13_cell_1027","W9",142,95,"W9",9,"tile_W9_13","W9","9w_1d",16911,9856,2399.88794,1399.2129,2399.88794,1399.2129,95,142,0,"vCTB2",0.308576519971641,9,2399.88794,1399.2129,"vCTB2","vCTB2",0.308576519971641,"vCTB2","author","vCTB2","author",-1.61456228417689,0.855015763825986,-0.636964637826426,0.297479065477451,4.14143009490117,-0.281567117165259,-0.0763030933720609,NA,4.14143009490117,"Fibroblast","N5","starmap",-2.54678823304533,0.0117657789128055,"vCTB2"
"W9_W9_tile_13_cell_1146","W9",91,55,"W9",9,"tile_W9_13","W9","9w_1d",17697,10785,2511.48422,1531.11232,2511.48422,1531.11232,55,91,0,"vCTB2",0.694686363265623,9,2511.48422,1531.11232,"vCTB2","vCTB2",0.694686363265623,"vCTB2","author","vCTB2","author",-1.28623000875469,0.595018268431816,-0.743627281537928,-0.244549692229227,-1.96057743436147,-0.673848454756333,-0.0718616233566019,NA,0.595018268431816,"vCTB","N5","starmap",-2.23318103888541,0.0374863188617293,"vCTB2"
"W9_W9_tile_13_cell_1206","W9",133,84,"W9",9,"tile_W9_13","W9","9w_1d",17376,10338,2465.90864,1467.64726,2465.90864,1467.64726,84,133,0,"vCTB2",0.704407674789081,9,2465.90864,1467.64726,"vCTB2","vCTB2",0.704407674789081,"vCTB2","author","vCTB2","author",-1.07525761488619,1.60351535261759,-0.709422392301699,-0.248517281647907,-2.82543320289151,-0.696625991215639,-0.116768305979007,NA,1.60351535261759,"vCTB","N8","starmap",-2.22351301336901,0.0387632251003283,"vCTB2"
"W9_W9_tile_13_cell_1280","W9",176,121,"W9",9,"tile_W9_13","W9","9w_1d",17794.5,9624,2525.32727,1366.27354,2525.32727,1366.27354,121,176,5,"unknown3",0.197870566201007,9,2525.32727,1366.27354,"unknown3","unknown3",0.197870566201007,"unknown3","author","unknown3","author",-1.2719994007799,0.129306494885708,-0.686314621883453,0.347610473173449,8.85435788441106,-0.231037021204653,-0.0783157451108476,NA,8.85435788441106,"Fibroblast","N8","starmap",-2.13554747315303,0.0515322874863189,"unknown3"
"W9_W9_tile_13_cell_1292","W9",113,86,"W9",9,"tile_W9_13","W9","9w_1d",18067,9460,2564.01682,1342.98882,2564.01682,1342.98882,86,113,0,"vCTB2",0.383180872333239,9,2564.01682,1342.98882,"vCTB2","vCTB2",0.383180872333239,"vCTB2","author","vCTB2","author",-1.42926926580887,1.35297195732179,-0.655675679695952,0.228148902579887,5.11513111297677,-0.11346518971793,-0.0627604248042539,NA,5.11513111297677,"Fibroblast","N8","starmap",-2.28165344155751,0.0301897117840204,"vCTB2"
"W9_W9_tile_13_cell_199","W9",102,72,"W9",9,"tile_W9_13","W9","9w_1d",17168.5,9517,2436.44779,1351.08168,2436.44779,1351.08168,72,102,8,"vCTB2",0.247742819182005,9,2436.44779,1351.08168,"vCTB2","vCTB2",0.247742819182005,"vCTB2","author","vCTB2","author",-1.52535216175623,0.0932408441667016,-0.582724182728622,0.215122465871945,3.66697291462779,-0.442638682590888,-0.0719088775632182,NA,3.66697291462779,"Fibroblast","N5","starmap",-2.19964272053145,0.0418642831083546,"vCTB2"
"W9_W9_tile_13_cell_22","W9",106,73,"W9",9,"tile_W9_13","W9","9w_1d",16728.5,10006,2373.97659,1420.5099,2373.97659,1420.5099,73,106,0,"vCTB2",0.715838492805076,9,2373.97659,1420.5099,"vCTB2","vCTB2",0.715838492805076,"vCTB2","author","vCTB2","author",-1.10791266232823,0.993403554816419,-0.74682446351436,-0.219630772724252,-2.88534387604785,-0.40019660004349,-0.0789007074805352,NA,0.993403554816419,"vCTB","N5","starmap",-2.51054628659871,0.0135899306822328,"vCTB2"
"W9_W9_tile_13_cell_326","W9",148,98,"W9",9,"tile_W9_13","W9","9w_1d",17342.5,9412.5,2461.15231,1336.24477,2461.15231,1336.24477,98,148,0,"vCTB2",0.557862973870682,9,2461.15231,1336.24477,"vCTB2","vCTB2",0.557862973870682,"vCTB2","author","vCTB2","author",-1.64007016739286,1.02809105253525,-0.664843398968588,0.248529650143644,3.38356051292431,-0.376586724752235,-0.073631541325315,NA,3.38356051292431,"Fibroblast","N5","starmap",-2.36126184515482,0.0226194819408975,"vCTB2"
"W9_W9_tile_13_cell_414","W9",100,80,"W9",9,"tile_W9_13","W9","9w_1d",18379,10018,2608.31458,1422.21366,2608.31458,1422.21366,80,100,4,"EVT2",0.23832150317346,9,2608.31458,1422.21366,"EVT2","EVT2",0.23832150317346,"EVT2","author","EVT2","author",-1.5840662158092,-1.98698254050125,-0.798001691332292,0.0275268471303763,-3.42512204664383,-0.150056248691341,0.910604751135619,NA,0.910604751135619,"NK","N8","starmap",-2.36251424873323,0.0225282743524261,"EVT2"
