"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","significance"
"SLC12A8",1.14953699279836e-307,10.8970802431792,1,0.16,4.2010978938809e-303,"Upregulated in Hotspots"
"TLCD3A",8.44174812612014e-303,4.0287521589315,0.991,0.102,3.08512127017186e-298,"Upregulated in Hotspots"
"AC096741.1",5.35925472909387e-296,4.8182166029099,0.949,0.044,1.95859323329465e-291,"Upregulated in Hotspots"
"TNFRSF25",6.01553534645412e-296,5.34877793085544,0.973,0.127,2.19843754771512e-291,"Upregulated in Hotspots"
"ALS2CL",1.06883444028307e-294,6.14544689822004,0.977,0.141,3.90616234545852e-290,"Upregulated in Hotspots"
"PIP5KL1",4.91798581226295e-294,4.65715083373523,0.936,0.029,1.79732709494962e-289,"Upregulated in Hotspots"
"SOBP",5.55052806911673e-294,3.36208176824511,0.99,0.067,2.0284959881394e-289,"Upregulated in Hotspots"
"SEC24D",1.87965559987287e-292,5.51601415049684,1,1,6.86938935529538e-288,"Upregulated in Hotspots"
"MAPK8IP2",1.00909301440729e-291,5.42140527957425,0.935,0.059,3.68783133045287e-287,"Upregulated in Hotspots"
"ZNF423",5.59274956386344e-285,3.94044803180049,0.983,0.134,2.04392625560953e-280,"Upregulated in Hotspots"
"CBLB",7.76790217915755e-285,68.7713194285611,1,1,2.83885753039492e-280,"Upregulated in Hotspots"
"NDUFS6",1.80620322650427e-284,-4.36521621870845,1,1,6.60095031158249e-280,"Upregulated in Coldspots"
"SLC25A5",2.69183875523423e-284,-7.9130967884411,1,1,9.83759391487902e-280,"Upregulated in Coldspots"
"DPF1",5.59588061862212e-284,5.58753092026264,0.908,0.015,2.04507053088164e-279,"Upregulated in Hotspots"
"FKBP10",3.17198375179605e-283,5.48034160202846,0.977,0.179,1.15923318193138e-278,"Upregulated in Hotspots"
"AC007319.1",6.19318080740837e-283,9.66123739353734,1,1,2.26335985787546e-278,"Upregulated in Hotspots"
"HMGB2",2.60297611633441e-282,-10.0180374032468,1,1,9.51283651475575e-278,"Upregulated in Coldspots"
"GGCT",4.40772748330337e-282,-2.9542806720734,1,1,1.61084808604805e-277,"Upregulated in Coldspots"
"AC010343.3",4.8377751316198e-282,4.64597754856117,0.971,0.166,1.76801329960177e-277,"Upregulated in Hotspots"
"RPS21",1.52310162729918e-281,-53.539184204711,1,1,5.56632720712759e-277,"Upregulated in Coldspots"
"TTC3",8.14969951828553e-281,4.68128163329639,1,1,2.97838918595263e-276,"Upregulated in Hotspots"
"SFXN3",2.47398711214021e-280,4.67046420994187,0.991,0.297,9.0414333000276e-276,"Upregulated in Hotspots"
"NPHP3-AS1",2.41702166544894e-279,5.29726382493524,0.891,0.012,8.8332473785497e-275,"Upregulated in Hotspots"
"REPS2",4.64978201919288e-279,6.95782112100054,1,0.214,1.69930933673423e-274,"Upregulated in Hotspots"
"SHISA4",8.51074388428222e-279,4.67927803254193,0.954,0.069,3.11033645994978e-274,"Upregulated in Hotspots"
"AC068989.1",1.39812875514259e-278,4.10525669771965,0.907,0.049,5.1096013485441e-274,"Upregulated in Hotspots"
"NUAK1",1.68459002124611e-278,5.01774865104874,0.985,0.685,6.15650269164605e-274,"Upregulated in Hotspots"
"HMGA1",1.84650143021854e-278,-3.66177572234233,0.997,1,6.74822412687666e-274,"Upregulated in Coldspots"
"CPZ",2.70833564381984e-278,6.9875620083669,0.886,0.011,9.89788344390397e-274,"Upregulated in Hotspots"
"HMGB1",5.10575426067303e-278,-14.8772604491446,1,1,1.86594895210557e-273,"Upregulated in Coldspots"
"HIST1H3B",7.17737346539384e-277,-4.1686088989193,0.999,1,2.62304290666283e-272,"Upregulated in Coldspots"
"MIR762HG",1.47759657459647e-276,4.03847485819762,0.966,0.12,5.40002444152026e-272,"Upregulated in Hotspots"
"LDHB",1.74119583345606e-276,-6.42845654567786,1,1,6.3633742929485e-272,"Upregulated in Coldspots"
"ZNF704",4.48571643810638e-276,5.2094939857432,1,1,1.63934992947036e-271,"Upregulated in Hotspots"
"AC007878.1",5.63698989454928e-276,3.66637583569392,0.955,0.063,2.06009432686198e-271,"Upregulated in Hotspots"
"MTRNR2L1",3.05738422009408e-275,-104.632047082634,1,1,1.11735163707558e-270,"Upregulated in Coldspots"
"FER",4.5848188893492e-275,4.36988669665436,1,1,1.67556791130156e-270,"Upregulated in Hotspots"
"HIST1H4C",8.24467483372371e-275,-12.293427177883,1,1,3.01309886473267e-270,"Upregulated in Coldspots"
"ODF2L",1.03449813300166e-274,5.86370310311372,1,0.958,3.78067687686785e-270,"Upregulated in Hotspots"
"ZNF597",1.72608041063683e-273,4.02007533324903,0.938,0.126,6.30813346871337e-269,"Upregulated in Hotspots"
"ECI2",3.0300396359074e-273,-2.87038473606734,1,1,1.10735828533872e-268,"Upregulated in Coldspots"
"ATP5MF",5.3865276782018e-273,-4.4039412925592,1,1,1.96856040527563e-268,"Upregulated in Coldspots"
"DBI",6.53868638865891e-273,-5.76592660505511,1,1,2.38962832759928e-268,"Upregulated in Coldspots"
"DLGAP5",7.81668013501194e-273,-4.27803967363682,0.594,0.998,2.85668392214147e-268,"Upregulated in Coldspots"
"AP3S1",1.85316346893105e-272,4.46209392892676,1,1,6.7725712135554e-268,"Upregulated in Hotspots"
"EVI5",3.82103061123091e-272,-10.5627902295006,1,1,1.39643384718045e-267,"Upregulated in Coldspots"
"PCNA",1.23143020466945e-271,-3.6881507544712,1,1,4.50038482598499e-267,"Upregulated in Coldspots"
"Z95114.1",1.54842613117605e-271,4.01298872378462,0.969,0.143,5.65887813899599e-267,"Upregulated in Hotspots"
"UBB",1.78991378609535e-271,-8.93163677662452,1,1,6.54141892266407e-267,"Upregulated in Coldspots"
"CAMTA1",5.52784373425668e-271,-0.903051146765637,1,1,2.02020577112144e-266,"Upregulated in Coldspots"
"CACNA1A",6.24056084337423e-271,4.25645160943568,0.985,0.131,2.28067536581955e-266,"Upregulated in Hotspots"
"ZBED6",7.09519136935698e-271,4.06340816495817,0.968,0.105,2.5930086378452e-266,"Upregulated in Hotspots"
"COX7B",9.55825894315097e-271,-6.01201659053584,1,1,3.49316131336395e-266,"Upregulated in Coldspots"
"MTRNR2L12",1.11261715679901e-270,-Inf,1,1,4.06617066123768e-266,"Upregulated in Coldspots"
"CNEP1R1",1.26055320959651e-270,3.23173028176437,0.994,0.182,4.60681775979142e-266,"Upregulated in Hotspots"
"CACNB3",1.40288421599075e-270,4.01606104082169,0.959,0.101,5.1269806557598e-266,"Upregulated in Hotspots"
"GSTO1",1.8516157521093e-270,-4.21736593342263,1,1,6.76691492765863e-266,"Upregulated in Coldspots"
"LINC02516",1.97192212383168e-270,6.47318408150783,0.885,0.048,7.20658659375525e-266,"Upregulated in Hotspots"
"HNRNPLL",2.78435161702259e-270,2.11000936653157,1,1,1.01756914195708e-265,"Upregulated in Hotspots"
"NUP210",7.27140375976861e-270,-4.17685258185796,0.859,0.987,2.65740721804504e-265,"Upregulated in Coldspots"
"AC006206.2",9.48583073831289e-270,1.09973475415844,0.985,0.161,3.46669170162383e-265,"Upregulated in Hotspots"
"ATP5F1A",9.48997413618907e-270,-3.53074886972927,1,1,3.46820594781166e-265,"Upregulated in Coldspots"
"CHIC2",1.55321102175158e-269,2.95876749494374,1,1,5.67636500009332e-265,"Upregulated in Hotspots"
"PYCR1",1.61563957297217e-269,6.81771122573024,0.909,0.109,5.90451638338411e-265,"Upregulated in Hotspots"
"HERC4",3.15002112245577e-269,4.51077004842172,1,1,1.15120671941269e-264,"Upregulated in Hotspots"
"DOCK7",4.08021890237527e-269,2.46488892967632,1,0.998,1.49115680006207e-264,"Upregulated in Hotspots"
"STK3",4.29147796616264e-269,-0.3930003310122,1,1,1.5683635375138e-264,"Upregulated in Coldspots"
"CYB5R2",5.12472013650294e-269,3.78506635381988,0.96,0.143,1.87288022108637e-264,"Upregulated in Hotspots"
"NPM1",6.12933418165847e-269,-6.07355023482328,1,1,2.2400264700289e-264,"Upregulated in Coldspots"
"CRYBG1",6.32573679836727e-269,-4.36024688583058,0.999,1,2.3118037703313e-264,"Upregulated in Coldspots"
"PPP3CA",5.32416241987252e-268,8.89404768142096,1,1,1.94576839796661e-263,"Upregulated in Hotspots"
"EPHB3",1.60180656121939e-267,3.28709542802375,1,0.224,5.85396225863237e-263,"Upregulated in Hotspots"
"NUDT4",1.68980827133897e-267,-3.99719131904463,1,1,6.17557330843539e-263,"Upregulated in Coldspots"
"KCNQ1-AS1",3.09387416724923e-267,5.63911326400385,0.903,0.085,1.1306872531629e-262,"Upregulated in Hotspots"
"HSPE1",4.70968099852862e-267,-6.33387758909571,1,1,1.72120001772227e-262,"Upregulated in Coldspots"
"SNHG8",4.87534687513278e-267,-3.06158086249239,1,1,1.78174426898603e-262,"Upregulated in Coldspots"
"CKS2",4.99947668548201e-267,-3.36698906764786,1,1,1.82710874947626e-262,"Upregulated in Coldspots"
"SNX25",2.89291169890233e-266,3.33763452428804,1,1,1.05724350948085e-261,"Upregulated in Hotspots"
"PSME2",7.20760473062718e-266,-1.86005280651531,1,1,2.63409122485501e-261,"Upregulated in Coldspots"
"TKT",8.1964368887498e-266,-2.11423501454968,1,1,2.9954698253625e-261,"Upregulated in Coldspots"
"IPMK",9.6781464696305e-266,2.3899672586579,1,1,3.53697540879116e-261,"Upregulated in Hotspots"
"NDUFB9",1.76110090907369e-265,-4.96002128847883,1,1,6.43611938230069e-261,"Upregulated in Coldspots"
"LINC00294",2.98936553294238e-265,3.77523429364501,0.91,0.078,1.09249352766912e-260,"Upregulated in Hotspots"
"MIR181A2HG",6.03400840129626e-265,5.77914353876227,0.983,0.255,2.20518871033773e-260,"Upregulated in Hotspots"
"PARD6G",1.81994251020094e-264,5.43274523364894,0.903,0.102,6.65116189778036e-260,"Upregulated in Hotspots"
"PCP4L1",2.21941720056606e-264,4.69745846006724,0.865,0.022,8.11108210118871e-260,"Upregulated in Hotspots"
"AC011462.5",3.50970693361301e-264,4.54430779981498,0.871,0.021,1.28265749595821e-259,"Upregulated in Hotspots"
"MEX3A",3.54827196077955e-264,4.37620708750382,0.888,0.027,1.2967514707865e-259,"Upregulated in Hotspots"
"ANP32B",4.00123266178665e-264,-7.75378194540953,1,1,1.46229048857655e-259,"Upregulated in Coldspots"
"LMNB1",6.43252353284002e-264,-3.27985219920437,0.701,1,2.35083005031171e-259,"Upregulated in Coldspots"
"MKI67",6.63748566728697e-264,-6.83676029036344,0.82,0.999,2.4257355119667e-259,"Upregulated in Coldspots"
"CCT5",6.82737521558144e-264,-2.23046585366767,1,1,2.49513254628639e-259,"Upregulated in Coldspots"
"HIST1H3G",1.02319068258078e-263,-4.21982280892377,0.877,1,3.73935266855973e-259,"Upregulated in Coldspots"
"AC092903.2",1.21112744321007e-263,6.41172224828733,0.859,0.011,4.42618635395551e-259,"Upregulated in Hotspots"
"SUGCT",1.35295376279654e-263,7.15594856253464,0.997,0.292,4.94450482151622e-259,"Upregulated in Hotspots"
"CENPN",1.39592565147586e-263,-3.68453135803485,0.997,1,5.10154988588369e-259,"Upregulated in Coldspots"
"CALM2",1.44020026886523e-263,-7.05301464765928,1,1,5.26335590259488e-259,"Upregulated in Coldspots"
"MCM2",2.66165153219559e-263,-3.40599071447399,0.958,0.997,9.727271689562e-259,"Upregulated in Coldspots"
"ARSK",3.54217132424351e-263,4.5937027910049,0.988,0.256,1.29452193215803e-258,"Upregulated in Hotspots"
"LINC02008",5.65890817801866e-263,3.48807071984614,0.969,0.261,2.0681045827387e-258,"Upregulated in Hotspots"
"LIMS2",6.52561525450784e-263,4.93649760466269,0.901,0.108,2.38485135091243e-258,"Upregulated in Hotspots"
"COPA",6.79031308471131e-263,2.33512064332434,1,1,2.4815878199386e-258,"Upregulated in Hotspots"
"FGFR1",8.90617449955302e-263,10.0485999814879,1,0.999,3.25485053260665e-258,"Upregulated in Hotspots"
"SPINT1",1.11772841441211e-262,-5.23729954098186,0.982,1,4.08485026331052e-258,"Upregulated in Coldspots"
"FAM110B",1.5309512918519e-262,3.90162151242722,0.986,0.759,5.59501459120197e-258,"Upregulated in Hotspots"
"UNC13D",2.40715447459387e-262,0.929741479448393,0.987,0.179,8.79718674285076e-258,"Upregulated in Hotspots"
"ST14",3.11207254297644e-262,-3.91051604695955,0.69,0.985,1.13733803155617e-257,"Upregulated in Coldspots"
"RPL22L1",3.87556041143529e-262,-4.56221601284756,1,1,1.41636230796314e-257,"Upregulated in Coldspots"
"RBM24",4.45217648233393e-262,6.43916781129724,0.849,0.006,1.62709241723376e-257,"Upregulated in Hotspots"
"PHETA2",4.59693814583256e-262,3.00290658958304,0.996,0.129,1.67999701477597e-257,"Upregulated in Hotspots"
"UGDH",5.04947931689855e-262,5.4930986461572,1,0.992,1.84538271115374e-257,"Upregulated in Hotspots"
"DDT",5.63088627026311e-262,-2.54886518153419,1,1,2.05786369633036e-257,"Upregulated in Coldspots"
"AC005072.1",8.53732162018539e-262,3.07284890864128,0.981,0.108,3.12004955931295e-257,"Upregulated in Hotspots"
"ATP5IF1",9.67694371822052e-262,-4.22234349568674,1,1,3.53653585126087e-257,"Upregulated in Coldspots"
"PPM1H",1.15798366008007e-261,-3.57706015431236,0.956,0.988,4.23196708412863e-257,"Upregulated in Coldspots"
"DLGAP4",1.73020049564172e-261,2.85870388896269,1,0.98,6.32319073137223e-257,"Upregulated in Hotspots"
"AL096854.1",1.04330315323077e-260,4.37243276441239,0.877,0.022,3.81285570379715e-256,"Upregulated in Hotspots"
"TP53INP2",1.21983397132479e-260,3.55646752661593,1,0.148,4.45800523160359e-256,"Upregulated in Hotspots"
"TMEM45A",1.22752116062764e-260,5.07896556017052,0.924,0.188,4.48609883362977e-256,"Upregulated in Hotspots"
"PLSCR3",1.5860963119506e-260,3.26887844674319,0.967,0.196,5.79654758165465e-256,"Upregulated in Hotspots"
"NES",1.69190282352317e-260,3.55864326348726,0.92,0.114,6.18322805884779e-256,"Upregulated in Hotspots"
"RALB",8.23540656421921e-260,2.86258864149439,1,0.991,3.00971168295955e-255,"Upregulated in Hotspots"
"AL589843.1",8.98827532522759e-260,3.36830471440954,0.97,0.164,3.28485510035767e-255,"Upregulated in Hotspots"
"COL26A1",1.06601798411491e-259,3.40123722143124,0.948,0.101,3.89586932474637e-255,"Upregulated in Hotspots"
"CCDC144A",1.55452868920667e-259,3.80651106032421,1,1,5.6811805475747e-255,"Upregulated in Hotspots"
"HIST1H2AL",1.96850237473291e-259,-3.79868582212638,0.918,0.991,7.19408877869891e-255,"Upregulated in Coldspots"
"SF3B5",2.56753392814105e-259,-2.48752168768602,1,1,9.38330949378429e-255,"Upregulated in Coldspots"
"NDUFS8",2.94230355406174e-259,-2.20658018300541,1,1,1.0752942568674e-254,"Upregulated in Coldspots"
"EFCAB2",5.28176556884342e-259,1.75150496815704,1,1,1.93027404478952e-254,"Upregulated in Hotspots"
"CYCS",5.33103221157167e-259,-2.63441442091127,1,1,1.94827903204098e-254,"Upregulated in Coldspots"
"MTRNR2L8",2.05346022785309e-258,-263.198205263039,1,1,7.50457574871189e-254,"Upregulated in Coldspots"
"AC022126.1",2.48065830981375e-258,2.99684185770914,0.915,0.055,9.06581385904535e-254,"Upregulated in Hotspots"
"CENPU",2.59217154351503e-258,-3.49290856774094,0.97,0.989,9.47335012293002e-254,"Upregulated in Coldspots"
"KIF3C",2.7587017329324e-258,3.51142064776681,0.962,0.122,1.00819513531747e-253,"Upregulated in Hotspots"
"SRGAP2",3.54860254410959e-258,-1.86881470588295,0.997,1,1.29687228577029e-253,"Upregulated in Coldspots"
"DIP2C",3.62619906668273e-258,1.2050792465354,1,1,1.32523071090987e-253,"Upregulated in Hotspots"
"TRIO",5.17302559088942e-258,21.0339694352608,1,1,1.89053393244645e-253,"Upregulated in Hotspots"
"GALNT2",5.53644299100731e-258,4.96620858511339,1,0.945,2.02334845549353e-253,"Upregulated in Hotspots"
"NDUFB6",6.18791509012447e-258,-2.05452594172846,1,1,2.26143544883689e-253,"Upregulated in Coldspots"
"SRGAP2C",7.30888052288106e-258,2.73128701677045,0.992,0.361,2.67110347589211e-253,"Upregulated in Hotspots"
"ANKRD50",7.68112496263213e-258,5.02870776899097,1,1,2.80714392884354e-253,"Upregulated in Hotspots"
"PCLAF",7.75251689009417e-258,-2.73886846709251,0.994,1,2.83323482265382e-253,"Upregulated in Coldspots"
"OLR1",7.78859564483605e-258,4.03669282024871,1,1,2.84642016436178e-253,"Upregulated in Hotspots"
"NDUFB2",9.89412139949213e-258,-4.99565524637415,1,1,3.6159056066584e-253,"Upregulated in Coldspots"
"NOP10",2.83377353457412e-257,-3.38761766778628,1,1,1.03563087594546e-252,"Upregulated in Coldspots"
"AL162390.1",4.19391653775944e-257,4.1580111638339,0.901,0.072,1.53270873788957e-252,"Upregulated in Hotspots"
"FAM106A",5.68610899634884e-257,2.37372008929004,0.997,0.806,2.07804539380565e-252,"Upregulated in Hotspots"
"RBBP7",1.03433950934583e-256,-2.98370362354352,1,1,3.78009717085527e-252,"Upregulated in Coldspots"
"TACC3",1.34806975805311e-256,-3.25050146416003,0.944,0.999,4.92665573778091e-252,"Upregulated in Coldspots"
"AC011346.1",3.31894705893509e-256,3.48742092244906,0.962,0.179,1.21294239215842e-251,"Upregulated in Hotspots"
"C21orf58",3.42344618169282e-256,-3.56840747900778,0.944,0.996,1.25113264156146e-251,"Upregulated in Coldspots"
"AFAP1-AS1",5.75183060322981e-256,5.62333023639101,0.835,0.007,2.10206401225637e-251,"Upregulated in Hotspots"
"SMIM30",6.41869053869291e-256,-2.65355346612929,0.989,0.998,2.34577464427071e-251,"Upregulated in Coldspots"
"SNRPF",6.599995008665e-256,-3.26076193939635,1,1,2.41203417586671e-251,"Upregulated in Coldspots"
"RMI2",7.79073601769251e-256,-4.04365698429473,0.891,0.993,2.84720238502591e-251,"Upregulated in Coldspots"
"ATP5F1E",9.99690166424287e-256,-5.92204190025233,1,1,3.6534676822142e-251,"Upregulated in Coldspots"
"AC007099.1",1.4248316109265e-255,5.5148533422823,0.855,0.032,5.20718960529199e-251,"Upregulated in Hotspots"
"AC019127.1",3.75484057110154e-255,5.77145478881658,0.843,0.02,1.37224403511477e-250,"Upregulated in Hotspots"
"MSANTD2",3.94304806676876e-255,2.56079529318207,1,0.422,1.44102634648131e-250,"Upregulated in Hotspots"
"TTC3-AS1",5.55311274466838e-255,3.53962067111035,0.922,0.08,2.02944058366651e-250,"Upregulated in Hotspots"
"TMEM141",1.31552073067836e-254,-3.33657854399644,1,1,4.80770206233713e-250,"Upregulated in Coldspots"
"SLC22A11",1.37741201352479e-254,1.34758723284823,0.991,1,5.03388994462769e-250,"Upregulated in Hotspots"
"FRS2",2.39627301873257e-254,3.15209543434398,1,0.63,8.75741937426004e-250,"Upregulated in Hotspots"
"KLHL5",2.68901482531518e-254,5.62597534148818,1,0.885,9.82727358059686e-250,"Upregulated in Hotspots"
"TFCP2L1",4.05787517241555e-254,-4.48403533311763,0.682,0.98,1.48299106051099e-249,"Upregulated in Coldspots"
"SLC25A27",4.69679330002627e-254,3.34456693029255,0.97,0.136,1.7164900794276e-249,"Upregulated in Hotspots"
"LDLRAD2",5.18441733832084e-254,5.93777385009884,0.835,0.014,1.89469716046273e-249,"Upregulated in Hotspots"
"NFE2L3",6.30321450162403e-254,-7.42052427731539,0.996,1,2.30357277176352e-249,"Upregulated in Coldspots"
"AP002762.2",6.44200759663635e-254,3.34690725021612,0.894,0.13,2.35429609626672e-249,"Upregulated in Hotspots"
"SEL1L3",6.49221164548596e-254,-3.37002794792213,0.849,0.999,2.3726436679593e-249,"Upregulated in Coldspots"
"ESPL1",6.75602295560387e-254,-3.79908370670653,0.55,0.977,2.46905614935499e-249,"Upregulated in Coldspots"
"IFITM1",8.69340972575229e-254,4.97846775915457,0.84,0.017,3.17709351837343e-249,"Upregulated in Hotspots"
"LINC01098",9.57093984400138e-254,3.40172252837486,0.863,0.036,3.49779567538874e-249,"Upregulated in Hotspots"
"ATP5MC1",1.11776833146008e-253,-1.98703942986645,1,1,4.084996144154e-249,"Upregulated in Coldspots"
"PCBD2",1.6796623193317e-253,-3.12889899951713,1,1,6.13849391222963e-249,"Upregulated in Coldspots"
"PTTG1",2.11964324872362e-253,-5.13286602283672,0.999,1,7.74644821678536e-249,"Upregulated in Coldspots"
"UQCRQ",2.18552663584554e-253,-4.04201319607673,1,1,7.98722564336111e-249,"Upregulated in Coldspots"
"CCR7",3.40414416512767e-253,-4.29363751496784,0.678,0.975,1.24407852658756e-248,"Upregulated in Coldspots"
"AC007923.4",7.87348337579927e-253,1.68158340160781,0.92,0.084,2.8774432345196e-248,"Upregulated in Hotspots"
"COX6A1",8.04499931237662e-253,-5.61282149393045,1,1,2.94012544870116e-248,"Upregulated in Coldspots"
"PARP1",8.29476405279454e-253,-2.82090962171484,1,1,3.03140447073429e-248,"Upregulated in Coldspots"
"POLR2G",9.28815980853515e-253,-3.29293947046331,1,1,3.39445088362726e-248,"Upregulated in Coldspots"
"SESTD1",1.44667960438615e-252,2.05851946963297,1,0.99,5.28703528218963e-248,"Upregulated in Hotspots"
"MST1",1.45115031696965e-252,4.37095099076103,0.915,0.123,5.30337394839728e-248,"Upregulated in Hotspots"
"HIST1H1E",1.65498398520551e-252,-3.03750545272002,1,1,6.04830447233207e-248,"Upregulated in Coldspots"
"PRKD3",1.79181586661139e-252,4.15800512684925,1,0.997,6.54837026611798e-248,"Upregulated in Hotspots"
"AL161669.3",3.48117454715104e-252,4.09643697038113,0.895,0.03,1.27223005000182e-247,"Upregulated in Hotspots"
"AC009090.6",4.0754171533183e-252,3.67014911071792,0.901,0.055,1.4894019528517e-247,"Upregulated in Hotspots"
"AC107068.2",4.21073437526157e-252,4.2336507376983,0.947,0.215,1.53885498478309e-247,"Upregulated in Hotspots"
"COX14",5.49579345546976e-252,-2.90935032356729,1,1,2.00849267623598e-247,"Upregulated in Coldspots"
"MRPL11",6.8673583826305e-252,-2.61232505952568,0.997,1,2.50974479451614e-247,"Upregulated in Coldspots"
"DAP",1.05914602435274e-251,3.35707449103527,1,1,3.87075506059953e-247,"Upregulated in Hotspots"
"AL008633.1",2.34429157835932e-251,2.39184390869127,1,0.262,8.56744800227199e-247,"Upregulated in Hotspots"
"HGSNAT",3.03265256020124e-251,3.19668423086971,1,1,1.10831320465115e-246,"Upregulated in Hotspots"
"Z83843.1",4.29771564155911e-251,2.61897022144029,1,0.415,1.57064315836419e-246,"Upregulated in Hotspots"
"MMP11",4.94096097718623e-251,8.17827616981952,0.855,0.066,1.80572359872248e-246,"Upregulated in Hotspots"
"PAGE4",5.94651764412084e-251,-126.116864878503,1,1,2.1732143382204e-246,"Upregulated in Coldspots"
"RAB3D",6.5068484777506e-251,3.09912608021023,0.969,0.128,2.37799284467873e-246,"Upregulated in Hotspots"
"MAMDC2",8.39383116306303e-251,18.0633870727429,0.997,0.799,3.06760953685302e-246,"Upregulated in Hotspots"
"ECM2",1.28622813968799e-250,3.70344443973539,0.95,0.104,4.70064935930371e-246,"Upregulated in Hotspots"
"ADAM9",1.34073728288162e-250,4.43185246957611,1,1,4.89985847401919e-246,"Upregulated in Hotspots"
"PNP",2.23552294179803e-250,-3.5734571093813,1,1,8.1699421430951e-246,"Upregulated in Coldspots"
"METRN",2.37833135706307e-250,3.95813903335791,0.947,0.175,8.69184977752268e-246,"Upregulated in Hotspots"
"HINT2",3.10501512745013e-250,-2.30228964622874,0.999,1,1.13475882847792e-245,"Upregulated in Coldspots"
"TPM1-AS",3.29750118739869e-250,4.88129095154622,0.834,0.017,1.20510478394672e-245,"Upregulated in Hotspots"
"AC112254.1",3.576443137673e-250,5.33820215407516,0.822,0.006,1.30704690909397e-245,"Upregulated in Hotspots"
"SLC25A15",3.78608818915821e-250,6.12337676194989,0.937,0.196,1.38366378960976e-245,"Upregulated in Hotspots"
"CARS",4.75339721281848e-250,0.864305133000306,1,0.857,1.73717654539664e-245,"Upregulated in Hotspots"
"UBE2C",5.61903048914124e-250,-3.27817657196644,0.968,0.998,2.05353088256156e-245,"Upregulated in Coldspots"
"CSNK1A1",5.80908626293199e-250,3.94572770189829,1,1,2.12298866565112e-245,"Upregulated in Hotspots"
"TUBB3",1.45483523635884e-249,2.81992852848996,0.997,0.262,5.31684085479703e-245,"Upregulated in Hotspots"
"CDC45",1.66392574354827e-249,-3.08337885724497,0.603,0.983,6.08098302237151e-245,"Upregulated in Coldspots"
"LINC00407",1.96833376046673e-249,3.87277544999093,0.871,0.041,7.1934725610017e-245,"Upregulated in Hotspots"
"AVPI1",2.26929882601086e-249,-3.03144996351436,0.983,0.989,8.29337948953929e-245,"Upregulated in Coldspots"
"SERPING1",2.79686954605137e-249,7.00001296381041,0.989,0.288,1.02214394429994e-244,"Upregulated in Hotspots"
"KIF11",3.26469851355961e-249,-5.58778453756677,0.973,0.996,1.19311671876549e-244,"Upregulated in Coldspots"
"AC024145.1",3.58119070297653e-249,3.89227447389766,0.93,0.175,1.3087819543098e-244,"Upregulated in Hotspots"
"PTGES3",3.67153194380098e-249,-5.44071518555463,1,1,1.34179806418151e-244,"Upregulated in Coldspots"
"PRAF2",5.61120340667264e-249,3.66741176879692,0.977,0.125,2.05067039700258e-244,"Upregulated in Hotspots"
"RCOR2",5.84710748764265e-249,4.14022775814785,0.83,0.014,2.13688390243388e-244,"Upregulated in Hotspots"
"CENPW",7.83808897117129e-249,-2.97056410221735,0.988,1,2.86450799540426e-244,"Upregulated in Coldspots"
"AC025280.3",8.27437898515118e-249,5.04172507762168,0.885,0.069,3.02395454391335e-244,"Upregulated in Hotspots"
"PPP2R3A",1.41169905237403e-248,2.88081247897138,1,0.999,5.15919535680613e-244,"Upregulated in Hotspots"
"AC023669.1",1.84471605861057e-248,4.21348405205984,0.822,0.007,6.74169930779819e-244,"Upregulated in Hotspots"
"CCNB2",2.11559505413378e-248,-3.13046332104435,0.779,1,7.7316536848373e-244,"Upregulated in Coldspots"
"PRRC1",2.41761368077523e-248,2.22684856713955,1,0.741,8.83541095776115e-244,"Upregulated in Hotspots"
"PTGFRN",2.65516521966703e-248,4.58760316489102,0.914,0.167,9.70356681179512e-244,"Upregulated in Hotspots"
"MTRNR2L10",3.33811372670688e-248,-84.2222263991718,1,1,1.2199470425623e-243,"Upregulated in Coldspots"
"PPAN",3.68730766089737e-248,-1.97676642218441,0.992,0.989,1.34756345775155e-243,"Upregulated in Coldspots"
"TMEM8A",3.93128880244144e-248,-2.95982346537249,0.997,1,1.43672880574025e-243,"Upregulated in Coldspots"
"PRC1",4.60181517578312e-248,-3.12454600867961,0.998,0.999,1.6817793741417e-243,"Upregulated in Coldspots"
"GRIA4",5.13475295811396e-248,2.72652727167407,0.936,0.072,1.87654681607233e-243,"Upregulated in Hotspots"
"AC112722.1",5.23419398502664e-248,3.2722781732211,0.965,0.112,1.91288853376784e-243,"Upregulated in Hotspots"
"MCC",7.51752533154747e-248,5.44326192871433,0.992,0.131,2.74735480766734e-243,"Upregulated in Hotspots"
"TMEM200A",1.00643785775208e-247,5.26801524471921,0.82,0.006,3.67812779494076e-243,"Upregulated in Hotspots"
"SLC30A4",1.19468809067681e-247,3.35810329480063,0.98,0.175,4.36610709618746e-243,"Upregulated in Hotspots"
"ARNT2",1.19825892045589e-247,4.61177330600395,0.873,0.057,4.3791570506981e-243,"Upregulated in Hotspots"
"NDUFB1",1.54894500268925e-247,-3.16570524958624,1,1,5.66077440682814e-243,"Upregulated in Coldspots"
"AC006270.1",1.56159634494334e-247,4.3190680834587,0.857,0.045,5.70701000222992e-243,"Upregulated in Hotspots"
"MTRNR2L11",3.18137534794818e-247,-3.34057112478179,1,1,1.16266543466114e-242,"Upregulated in Coldspots"
"MCM10",5.02879253141569e-247,-3.6168315818086,0.869,0.978,1.83782251853118e-242,"Upregulated in Coldspots"
