"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","significance"
"AC111006.1",2.18877227937465e-45,0.924227053970004,0.209,0.003,7.9990871722026e-41,"Upregulated in Hotspots"
"Z92544.2",2.20755624190238e-45,1.89449100921314,0.243,0.017,8.06773504165645e-41,"Upregulated in Hotspots"
"DVL1",2.22143242804497e-45,0.645809207870619,0.987,0.831,8.11844695153316e-41,"Upregulated in Hotspots"
"BICRA-AS1",2.27200601620496e-45,2.306643079082,0.348,0.077,8.30327318682266e-41,"Upregulated in Hotspots"
"AC211476.6",2.39230392260734e-45,1.75238283872886,0.206,0.002,8.74291391556079e-41,"Upregulated in Hotspots"
"AP001267.2",2.4075202519889e-45,1.51624133427371,0.232,0.014,8.79852351291863e-41,"Upregulated in Hotspots"
"CMAS",2.45265261685022e-45,-0.421565761399613,0.983,1,8.96346425354081e-41,"Upregulated in Coldspots"
"AC015849.4",2.50309673876796e-45,-2.37010463163317,0.822,0.749,9.14781734150138e-41,"Upregulated in Coldspots"
"MIR646HG",2.50369139389478e-45,1.00794504173485,0.75,0.842,9.14999056812785e-41,"Upregulated in Hotspots"
"AC091544.2",2.54122737618867e-45,1.83925906331765,0.202,0.001,9.28716956901913e-41,"Upregulated in Hotspots"
"GSTA2",2.65612977064805e-45,1.13001112829139,0.295,0.038,9.70709185981037e-41,"Upregulated in Hotspots"
"HDAC4-AS1",2.66896388812422e-45,-1.61662716580216,0.477,0.118,9.75399542553876e-41,"Upregulated in Coldspots"
"NKIRAS1",2.69552088063182e-45,1.05814738120844,0.978,1,9.85105061035703e-41,"Upregulated in Hotspots"
"USP8",2.72356006041041e-45,-12.551400729508,1,1,9.95352259677587e-41,"Upregulated in Coldspots"
"AC092171.2",2.72850256328837e-45,1.12899018288651,0.212,0.004,9.97158546779366e-41,"Upregulated in Hotspots"
"PPP2R2D",2.88826951319898e-45,0.465413506534187,1,1,1.0555469762937e-40,"Upregulated in Hotspots"
"RBMX2",2.8941070433749e-45,0.270783515951696,0.978,0.927,1.05768036007179e-40,"Upregulated in Hotspots"
"AP2A2",3.00482260244931e-45,-0.941054784947669,1,1,1.09814246829113e-40,"Upregulated in Coldspots"
"LINC01322",3.0572027412136e-45,-1.0888392895133,0.794,0.699,1.11728531380392e-40,"Upregulated in Coldspots"
"SLC38A1",3.05898221543719e-45,-3.42755964443992,1,1,1.11793564045368e-40,"Upregulated in Coldspots"
"GK",3.10739965286925e-45,1.11363284728369,0.599,0.194,1.1356302771376e-40,"Upregulated in Hotspots"
"GUCY1B1",3.16170719159299e-45,-0.416597592488059,0.465,0.136,1.15547751023957e-40,"Upregulated in Coldspots"
"CYP27C1",3.28339209536491e-45,-0.285178985368229,0.505,0.694,1.19994847517206e-40,"Upregulated in Coldspots"
"AC025048.4",3.28679939008807e-45,1.22897929401974,0.378,0.08,1.20119370510159e-40,"Upregulated in Hotspots"
"DIRAS3",3.30022644734449e-45,2.80454483737196,0.215,0.007,1.20610075744652e-40,"Upregulated in Hotspots"
"AP005137.2",3.30514861461761e-45,0.865631986669232,0.202,0.001,1.20789961269815e-40,"Upregulated in Hotspots"
"KCTD18",3.36150495217519e-45,-0.788250896849912,0.947,0.946,1.22849559982195e-40,"Upregulated in Coldspots"
"LINC02671",3.39027819812871e-45,1.48875266391961,0.199,0,1.23901107028812e-40,"Upregulated in Hotspots"
"AC005696.4",3.39027819812871e-45,1.08639202564273,0.199,0,1.23901107028812e-40,"Upregulated in Hotspots"
"LINC02381",3.41963169186542e-45,2.09167979591113,0.242,0.017,1.24973859810914e-40,"Upregulated in Hotspots"
"PXN-AS1",3.60004464960425e-45,0.686709467697475,0.874,0.682,1.31567231764437e-40,"Upregulated in Hotspots"
"AC005391.1",3.78824983800593e-45,1.42752027899663,0.215,0.007,1.38445378579765e-40,"Upregulated in Hotspots"
"ANXA8",3.83019180738539e-45,1.00725231128608,0.485,0.134,1.39978189792707e-40,"Upregulated in Hotspots"
"AC008063.1",4.0690037252847e-45,1.29784538486843,0.292,0.039,1.48705810144255e-40,"Upregulated in Hotspots"
"PTCSC2",4.0734682297836e-45,1.97553806698221,0.256,0.025,1.48868969925671e-40,"Upregulated in Hotspots"
"AC092803.2",4.12671743012785e-45,0.548138165955719,0.461,0.124,1.50815015201452e-40,"Upregulated in Hotspots"
"ZNF827",4.33229815781482e-45,-1.78632478526756,0.588,0.718,1.583281684755e-40,"Upregulated in Coldspots"
"RFESD",4.34047762199188e-45,0.552620802144694,0.873,0.393,1.58627095173315e-40,"Upregulated in Hotspots"
"AP003327.2",4.42079809203056e-45,2.32417580938151,0.214,0.007,1.61562487071349e-40,"Upregulated in Hotspots"
"AC005736.1",4.44078793007762e-45,3.17029974005161,0.261,0.028,1.62293035692617e-40,"Upregulated in Hotspots"
"LINC02301",4.49591251281597e-45,2.64563007011626,0.338,0.065,1.64307618693372e-40,"Upregulated in Hotspots"
"AC139768.1",4.76090473825819e-45,-3.52475713884117,0.372,0.538,1.73992024564384e-40,"Upregulated in Coldspots"
"AC010530.1",4.82492081591027e-45,-0.826547598945967,0.594,0.169,1.76331556138257e-40,"Upregulated in Coldspots"
"BHLHE40-AS1",4.92512310688363e-45,-1.35376130627082,0.926,0.769,1.79993549064169e-40,"Upregulated in Coldspots"
"AC004949.1",4.93288592085378e-45,-4.57041659139019,0.747,0.704,1.80277248863522e-40,"Upregulated in Coldspots"
"AL445433.2",5.11528923606781e-45,-1.90432909311019,0.608,0.21,1.86943360421334e-40,"Upregulated in Coldspots"
"ALDH3A2",5.17425650424009e-45,-0.574032991821665,0.862,0.894,1.89098378203958e-40,"Upregulated in Coldspots"
"GALNT5",5.34842040694752e-45,-2.60371334849132,0.057,0.304,1.95463372192304e-40,"Upregulated in Coldspots"
"IL15",5.35799513009703e-45,11.0074385033346,0.602,0.177,1.95813290024526e-40,"Upregulated in Hotspots"
"ABI3BP",5.5145501582723e-45,13.8983312548065,0.878,0.832,2.0153475008422e-40,"Upregulated in Hotspots"
"FLI1",5.56514949081889e-45,-3.84597428115395,0.576,0.692,2.03383953291467e-40,"Upregulated in Coldspots"
"ANGPTL3",5.66608596459187e-45,-1.01873042293889,0.525,0.147,2.07072777661974e-40,"Upregulated in Coldspots"
"SERPINB7",5.6725272254917e-45,2.13175738415713,0.869,0.73,2.0730817998282e-40,"Upregulated in Hotspots"
"AC104335.1",5.73596049434633e-45,2.60622704092476,0.222,0.01,2.09626412226381e-40,"Upregulated in Hotspots"
"TAF8",5.84861274253033e-45,0.313955723558095,0.961,0.387,2.13743401288513e-40,"Upregulated in Hotspots"
"NPTN",5.92512809447513e-45,-1.6563323145653,1,1,2.16539731340688e-40,"Upregulated in Coldspots"
"PDZRN3",6.05679282360245e-45,29.8679128502997,0.862,0.863,2.21351550531375e-40,"Upregulated in Hotspots"
"CASC19",6.07143961816647e-45,1.32600456403706,0.309,0.049,2.21886832285512e-40,"Upregulated in Hotspots"
"POF1B",6.24998211480496e-45,-2.50338363212348,0.265,0.497,2.28411846367662e-40,"Upregulated in Coldspots"
