"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","significance"
"NECTIN3",2.0172441482642e-29,-3.08839511594571,0.176,0.705,4.45468025261184e-25,"Upregulated in Coldspots"
"MAN1A2",4.96260871402783e-29,-2.27389872325672,0.632,0.953,1.09589288231876e-24,"Upregulated in Coldspots"
"LINC00882",5.23713515430865e-29,-3.34641390442289,0.181,0.741,1.15651655612598e-24,"Upregulated in Coldspots"
"VGLL3",7.37803567707045e-29,-2.76515127184491,0.347,0.834,1.62929161856747e-24,"Upregulated in Coldspots"
"PLEKHA6",7.86686602431926e-29,-3.50499419601774,0.083,0.627,1.73724002415042e-24,"Upregulated in Coldspots"
"CEP170",1.25085892769473e-28,2.89178370321831,0.699,0.161,2.76227177002828e-24,"Upregulated in Hotspots"
"LDLRAD4",1.49325656698836e-28,4.06465295834225,0.591,0.067,3.29755847688039e-24,"Upregulated in Hotspots"
"MIR99AHG",1.98801899371314e-28,4.23202112253422,0.57,0.047,4.39014234381673e-24,"Upregulated in Hotspots"
"ZNF83",2.88964216048486e-28,-2.29307323221518,0.43,0.865,6.38119678299872e-24,"Upregulated in Coldspots"
"ETNK1",3.04638392715655e-28,1.94251450533924,0.876,0.42,6.7273296263398e-24,"Upregulated in Hotspots"
"RPS6KA5",3.50719404355603e-28,-2.35221066182341,0.28,0.803,7.74493660638478e-24,"Upregulated in Coldspots"
"PEAK1",4.28948105047052e-28,2.71407587864648,0.808,0.368,9.47246100375406e-24,"Upregulated in Hotspots"
"CCDC88A",4.71704521939931e-28,2.67729438149323,0.668,0.104,1.04166509579995e-23,"Upregulated in Hotspots"
"INHBA",5.31930804348199e-28,-3.69526876263793,0.041,0.57,1.17466279524213e-23,"Upregulated in Coldspots"
"PSG8",6.41753915200428e-28,-3.49456748102671,0.083,0.611,1.41718517093711e-23,"Upregulated in Coldspots"
"SEMA6A",7.05629203634174e-28,-1.81686514134008,0.326,0.855,1.55824097038535e-23,"Upregulated in Coldspots"
"SH3RF3",1.18673661009065e-27,3.85244281158614,0.575,0.057,2.62067045606318e-23,"Upregulated in Hotspots"
"HSD3B1",1.85912967675701e-27,-3.50647288560245,0.14,0.642,4.10551606518251e-23,"Upregulated in Coldspots"
"LPP",1.89358814437672e-27,2.21893234217877,0.896,0.606,4.18161069922711e-23,"Upregulated in Hotspots"
"PSG5",3.5780584211414e-27,-2.98824202912383,0.145,0.668,7.90142641140656e-23,"Upregulated in Coldspots"
"NHSL1",5.17035963880746e-27,-1.9961249102652,0.611,0.948,1.14177051903785e-22,"Upregulated in Coldspots"
"CRIM1",6.41720876111025e-27,-2.08715643898926,0.684,0.943,1.41711221071598e-22,"Upregulated in Coldspots"
"C4orf19",6.83136380153097e-27,-3.3029865312339,0.104,0.622,1.50857006829208e-22,"Upregulated in Coldspots"
"TRPS1",9.60514005548041e-27,3.36257007938471,0.611,0.088,2.12110307845174e-22,"Upregulated in Hotspots"
"CGA",9.66115095659534e-27,-2.62725589570853,0.642,0.943,2.13347196574495e-22,"Upregulated in Coldspots"
"KISS1",1.45289838990656e-26,-2.24425011219595,0.565,0.917,3.20843551443067e-22,"Upregulated in Coldspots"
"CERS6",1.54068988446467e-26,3.66588249610472,0.565,0.057,3.40230547186334e-22,"Upregulated in Hotspots"
"ATP8B4",1.87630974125671e-26,4.16208424822513,0.57,0.078,4.14345480161719e-22,"Upregulated in Hotspots"
"MEF2A",2.08675662412414e-26,1.97862634920743,0.798,0.342,4.60818465305333e-22,"Upregulated in Hotspots"
"GAS7",2.81727513669585e-26,3.0933037198394,0.611,0.093,6.22138868436545e-22,"Upregulated in Hotspots"
"GLDN",3.00818442423537e-26,-4.09592441999854,0.041,0.534,6.64297366403897e-22,"Upregulated in Coldspots"
"AZIN1",3.07343921643529e-26,-2.58496250072116,0.383,0.808,6.78707582165405e-22,"Upregulated in Coldspots"
"CLIC4",3.50502445110742e-26,-2.14524184946902,0.482,0.886,7.74014549538052e-22,"Upregulated in Coldspots"
"PSG2",3.98420679019092e-26,-2.97618903872893,0.135,0.642,8.79832385477862e-22,"Upregulated in Coldspots"
"NEBL",4.06562934489522e-26,-2.08658768499609,0.316,0.839,8.97812928233212e-22,"Upregulated in Coldspots"
"ESRRG",4.29175502963786e-26,-1.79092937414449,0.301,0.85,9.47748263194929e-22,"Upregulated in Coldspots"
"FAM13A",4.53594855083729e-26,-1.91957593116865,0.751,0.959,1.0016735184814e-21,"Upregulated in Coldspots"
"ANGPT2",5.14186799902253e-26,-3.2671538723432,0.13,0.632,1.13547871022415e-21,"Upregulated in Coldspots"
"AC009879.4",5.52585525316327e-26,-3.55581615506164,0.062,0.56,1.22027461555605e-21,"Upregulated in Coldspots"
