gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
STAMBPL1,2.1930712186950347e-9,2.0536320107233497,0.195,0.047,4.8429591722442454e-5
YPEL2,2.2365121023287384e-9,1.5831188007374677,0.322,0.108,4.938889675572553e-5
TGFA,2.2443840776440263e-9,2.9705635487612057,0.103,0.015,4.956273358661303e-5
MT-CYB,2.303209625664334e-9,-2.1075531411548036,0.414,0.678,5.086177816354548e-5
AKAP13,2.334076679568459e-9,0.7761093405630077,0.931,0.9,5.154341531491028e-5
NRIP1,2.3958204505022465e-9,1.1223122210715004,0.851,0.758,5.290690300844111e-5
PARP4,2.456338008270328e-9,1.3107146112331964,0.471,0.206,5.424331223663365e-5
GPR137B,2.4625513528590356e-9,1.3544861010641154,0.483,0.218,5.4380521525186085e-5
TXK,2.5618891538209796e-9,1.8305640122072004,0.218,0.057,5.657419818382869e-5
LRRN2,2.6086599768731773e-9,2.637566584759844,0.172,0.039,5.760703826929038e-5
STX16,2.670418501012801e-9,1.013647140808482,0.632,0.315,5.897085175786569e-5
TM6SF1,2.7335478801599226e-9,2.1430670943052945,0.172,0.038,6.036493783757157e-5
CHROMR,2.8022828822285598e-9,1.768929687591555,0.241,0.068,6.188281288825328e-5
RAB20,2.823626752964841e-9,1.4428461088299769,0.368,0.139,6.235414958572259e-5
DHRS3,2.8459070197148296e-9,1.6109109527587913,0.345,0.127,6.284616471636258e-5
GDAP1,3.0267760771779977e-9,2.426373895165349,0.184,0.044,6.684029611232172e-5
CARD18,3.283774686145764e-9,-0.785771996983303,0.414,0.802,7.251559639415691e-5
MED12L,3.2926122388015583e-9,-1.4637802699452778,0.149,0.508,7.27107560694548e-5
CCDC88A,3.3338819486652397e-9,1.125467385977124,0.644,0.35,7.362211507237449e-5
TMEM72-AS1,3.409589514884019e-9,2.468669510002193,0.149,0.03,7.529396525718379e-5
RPL13A,3.4700976231484715e-9,-1.4300154686129394,0.368,0.699,7.663016581198769e-5
CD36,3.5009415626243765e-9,1.902204358554557,0.713,0.527,7.731129252743411e-5
GPATCH2L,3.5111984570178904e-9,1.2247283161521327,0.586,0.303,7.753779552632607e-5
MT-CO2,3.5510050995702216e-9,-2.0269116738393773,0.54,0.743,7.84168456138092e-5
LINC01090,3.6755148185915825e-9,-1.7019468678087868,0.161,0.504,8.116639373895792e-5
DOK5,3.83922817612031e-9,2.1807665610897393,0.23,0.066,8.47816758132648e-5
NXN,3.920700897138487e-9,1.3318161530263553,0.425,0.179,8.658083791150921e-5
FAM49B,4.002359361534628e-9,1.1277130551978538,0.77,0.608,8.838410178076918e-5
ZFHX3,4.145529932954372e-9,1.069728649737746,0.874,0.762,9.154573750943139e-5
SRGAP2B,4.15496770364608e-9,1.2657914098240801,0.483,0.223,9.175415179961639e-5
ABLIM3,4.156110272845295e-9,1.387434205899004,0.241,0.067,9.177938315524264e-5
OTULINL,4.343019430280724e-9,1.960522606331868,0.241,0.071,9.590689807888922e-5
TNFRSF11A,4.509058568091953e-9,1.7319821866519507,0.218,0.058,9.957354035917459e-5
PDZD2,4.543278503833754e-9,-1.1782156438095583,0.241,0.615,1.0032921920016078e-4
CYSLTR1,4.7185930902271805e-9,2.305430699356066,0.184,0.044,1.0420069121148682e-4
SNX29,4.745392072632273e-9,1.3804154143811367,0.701,0.579,1.047924931399385e-4
DAPP1,4.801531811707887e-9,2.5920519255074757,0.149,0.031,1.0603222699794528e-4
HMGA1P4,4.848941637543639e-9,1.7034130344551792,0.241,0.069,1.0707917818187618e-4
SLC11A2,4.928509443862469e-9,1.1428764759472327,0.552,0.269,1.0883627404881492e-4
CARD8,5.05717765927456e-9,1.4382465894284402,0.471,0.221,1.116776542497601e-4
PDE9A,5.1680591725645e-9,1.4709601085901136,0.276,0.085,1.1412625070774185e-4
CBL,5.216092353798574e-9,1.2839296301451437,0.46,0.203,1.151869674489339e-4
APBB2,5.247171346087541e-9,-1.038189790919926,0.552,0.813,1.1587328483565118e-4
LPP,5.2684679702587946e-9,0.8661864990052806,0.885,0.815,1.1634357818722497e-4
RPLP1,5.342695131957856e-9,-1.3554806545983888,0.448,0.729,1.1798273659902533e-4
ADAMTS9,5.53924031924041e-9,1.2541967124753142,0.483,0.217,1.2232304396978598e-4
LINC01094,5.5409608274914996e-9,1.6676029585146528,0.241,0.069,1.223610379534948e-4
WDR91,5.64591268400028e-9,1.7040982375271383,0.391,0.163,1.2467868980077818e-4
DENND1A,5.8718735525183735e-9,0.8579394600617709,0.897,0.836,1.2966858366026323e-4
KCTD7,5.878641572761994e-9,1.6799590146569032,0.276,0.087,1.298180418513031e-4
WDR44,5.885312114416069e-9,1.513463190401473,0.437,0.187,1.2996534742265004e-4
CAPRIN2,5.954983648896197e-9,1.7284711237340709,0.391,0.162,1.3150390391857472e-4
