gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
LINC01229,6.577132266091265e-30,4.391857306352953,0.31,0.021,1.4524281183209342e-25
XIST,1.1880499281140832e-27,2.4052941420187004,0.833,0.179,2.62357065625433e-23
TSIX,1.0787551082414945e-19,2.451246092900434,0.548,0.1,2.3822149055296925e-15
PLD1,2.250187693525621e-18,2.182961073397809,0.857,0.298,4.969089483612629e-14
TDRD6,6.947845660253915e-18,4.1370434073241285,0.19,0.014,1.534292757153872e-13
BATF,3.0221445057339023e-16,3.6104975928282936,0.238,0.024,6.6738017120121766e-12
BCL11A,3.3608502933904146e-16,2.9453647434231542,0.476,0.094,7.421765702894053e-12
KCNAB2,1.1270242471655026e-15,3.190783606339977,0.31,0.043,2.4888076450155795e-11
ADD2,1.5309489667695577e-15,3.6369698041894845,0.167,0.012,3.380794603317214e-11
FBXO17,2.798707145638584e-15,2.0437396874847282,0.524,0.113,6.180384989713684e-11
MAFTRR,3.090558747461459e-15,4.1223966313597264,0.143,0.009,6.82488088201914e-11
CACNB4,7.780748646587577e-15,2.8083737345577102,0.476,0.103,1.7182227236259346e-10
AC103794.1,8.852370286685943e-14,4.163038615857072,0.119,0.007,1.954868930408857e-9
LINC00639,9.970147488158524e-14,4.069929211465591,0.167,0.014,2.2017076698100467e-9
UTY,1.0291804285469689e-13,-6.325604923996712,0,0.648,2.2727391403602715e-9
TATDN2,1.240792841512887e-13,2.5097701017450076,0.405,0.081,2.740042831912908e-9
LOXL3,6.638559172039824e-13,2.506340361537002,0.333,0.058,1.4659930219615544e-8
AC092546.1,2.2500343955777575e-12,3.970393537914677,0.119,0.008,4.968750955754362e-8
LINC01621,2.303392676102639e-12,4.06992921146559,0.119,0.008,5.0865820466374576e-8
AC084064.1,2.303392676102639e-12,4.06992921146559,0.119,0.008,5.0865820466374576e-8
GAB3,5.238584564196962e-12,2.573022887409631,0.429,0.101,1.1568366293116151e-7
PGBD5,5.60852553438885e-12,2.91936953489021,0.286,0.048,1.2385306937590896e-7
LNCAROD,6.332368312039711e-12,2.5193716443973795,0.452,0.116,1.3983768943477293e-7
ENTPD3-AS1,1.1018605183703877e-11,2.978006722024552,0.286,0.049,2.433238582717327e-7
DNM1,1.134001761348288e-11,2.0124789392816913,0.452,0.111,2.5042160895854245e-7
TMEM273,1.1952512685924848e-11,2.3694894933244988,0.357,0.072,2.6394733764327844e-7
CGA,1.2700987094870388e-11,-3.6971696326818257,0.333,0.783,2.8047589801602277e-7
ZBED3-AS1,1.300191421526879e-11,2.8904181611940807,0.31,0.056,2.8712127161578067e-7
TFPI2,1.447863587650178e-11,-5.6282328235456625,0.19,0.696,3.197317160607888e-7
