"cell","orig.ident","nCount_RNA_raw","nFeature_RNA_raw","sample_id","gestational_week","tile","sample","sample_stage","x_pixel","y_pixel","x_um","y_um","x","y","n_genes","n_counts","leiden","predicted.celltype","predicted.celltype.score","week","spatial_x_use","spatial_y_use","celltype_author","predicted.id","prediction.score.max","celltype_final_conservative","celltype_final_source","celltype_final_refined","celltype_refined_source","lineage_EVT","lineage_vCTB","lineage_STB","lineage_Endothelial","lineage_Fibroblast","lineage_Macrophage","lineage_NK","celltype_lineage_rescue","lineage_score_max","lineage_label_max","niche_cluster","dataset","permissiveness_global","permissiveness_global_pct","label"
"W8-2_W8-2_tile_0_cell_383","W8-2",296,143,"W8-2",8,"tile_W8-2_0","W8-2","8w_2d",1492.5,16378.5,211.90515,2325.41943,211.90515,2325.41943,143,296,1,"EVT3",0.558470033117386,8,211.90515,2325.41943,"EVT3","EVT3",0.558470033117386,"EVT3","author","EVT3","author",2.25508128421035,3.95248218142464,0.508518546082968,-0.137363700334397,-4.82107144207813,-0.74570430475767,-0.0880044159283542,NA,3.95248218142464,"vCTB","N7","starmap",3.67391128396937,0.949562203575337,"EVT3"
"W8-2_W8-2_tile_0_cell_386","W8-2",201,102,"W8-2",8,"tile_W8-2_0","W8-2","8w_2d",738,16245,104.78124,2306.4651,104.78124,2306.4651,102,201,1,"EVT3",0.671320248012631,8,104.78124,2306.4651,"EVT3","EVT3",0.671320248012631,"EVT3","author","EVT3","author",2.40635539872535,6.25437355507278,0.333816039587743,0.252059257868949,-5.01620095326392,-0.831675142278817,-0.0865067148262611,NA,6.25437355507278,"vCTB","N7","starmap",6.54100845845715,0.999087924115286,"EVT3"
"W8-2_W8-2_tile_0_cell_412","W8-2",144,98,"W8-2",8,"tile_W8-2_0","W8-2","8w_2d",1685,16342,239.2363,2320.23716,239.2363,2320.23716,98,144,6,"EVT3",0.628030929539928,8,239.2363,2320.23716,"EVT3","EVT3",0.628030929539928,"EVT3","author","EVT3","author",2.49799997940095,5.6865814928961,0.513297251877117,0.103635352596883,-4.99984876930727,-0.841636808276379,-0.0873424968242858,NA,5.6865814928961,"vCTB","N7","starmap",4.79019478398695,0.983491426486684,"EVT3"
"W8-2_W8-2_tile_0_cell_453","W8-2",209,104,"W8-2",8,"tile_W8-2_0","W8-2","8w_2d",1099,15272,156.03602,2168.31856,156.03602,2168.31856,104,209,1,"EVT3",0.895237524239629,8,156.03602,2168.31856,"EVT3","EVT3",0.895237524239629,"EVT3","author","EVT3","author",2.8282374849164,5.94161864341327,0.272782857528162,0.194317987840039,-5.0782763837969,-0.845086341384558,-0.089765338734443,NA,5.94161864341327,"vCTB","N7","starmap",3.73784626361942,0.950930317402408,"EVT3"
"W8-2_W8-2_tile_0_cell_472","W8-2",787,263,"W8-2",8,"tile_W8-2_0","W8-2","8w_2d",1708,15326,242.50184,2175.98548,242.50184,2175.98548,263,787,6,"EVT3",0.709008107172342,8,242.50184,2175.98548,"EVT3","EVT3",0.709008107172342,"EVT3","author","EVT3","author",3.46435757834597,12.3156338739762,-0.143002766076317,-0.099595110299109,-4.83390172521572,-0.875601516320167,-0.102933054500203,NA,12.3156338739762,"vCTB","N7","starmap",4.8695038340938,0.98522437066764,"EVT3"
"W8-2_W8-2_tile_0_cell_517","W8-2",255,127,"W8-2",8,"tile_W8-2_0","W8-2","8w_2d",1139,16452,161.71522,2335.85496,161.71522,2335.85496,127,255,1,"EVT3",0.582283354630512,8,161.71522,2335.85496,"EVT3","EVT3",0.582283354630512,"EVT3","author","EVT3","author",3.06818651735796,6.46637850752989,0.0367874946470848,0.0276367798899101,-5.09749482984313,-0.840750882253048,-0.086956622796614,NA,6.46637850752989,"vCTB","N7","starmap",4.29311128067215,0.973367384166363,"EVT3"
"W8-2_W8-2_tile_0_cell_520","W8-2",116,84,"W8-2",8,"tile_W8-2_0","W8-2","8w_2d",1094.5,14940,155.39711,2121.1812,155.39711,2121.1812,84,116,1,"EVT2",0.606141666460017,8,155.39711,2121.1812,"EVT2","EVT2",0.606141666460017,"EVT2","author","EVT2","author",3.27334196490801,4.71838217586747,0.872359695653761,-0.064983922198503,-4.78463538000872,-0.870534001891371,-0.0904668225505576,NA,4.71838217586747,"vCTB","N7","starmap",3.70316886485962,0.950200656694637,"EVT2"
"W8-2_W8-2_tile_0_cell_560","W8-2",307,143,"W8-2",8,"tile_W8-2_0","W8-2","8w_2d",1468,15452,208.42664,2193.87496,208.42664,2193.87496,143,307,1,"EVT3",0.806294332827965,8,208.42664,2193.87496,"EVT3","EVT3",0.806294332827965,"EVT3","author","EVT3","author",3.62099672425928,4.70053067849906,0.76230096247647,-0.089926782053713,-4.7992742717711,-0.780874022586097,-0.0907187043274703,NA,4.70053067849906,"vCTB","N7","starmap",4.35866302069967,0.975738781466618,"EVT3"
"W8-2_W8-2_tile_0_cell_578","W8-2",473,190,"W8-2",8,"tile_W8-2_0","W8-2","8w_2d",1295,15272,183.8641,2168.31856,183.8641,2168.31856,190,473,6,"EVT3",1,8,183.8641,2168.31856,"EVT3","EVT3",1,"EVT3","author","EVT3","author",4.47934720141807,8.80443807367727,0.660187180448986,0.112520670057365,-4.79888501028513,-0.807649067475288,-0.0840561007703282,NA,8.80443807367727,"vCTB","N7","starmap",5.08298200404178,0.98859905144108,"EVT3"
"W8-2_W8-2_tile_0_cell_628","W8-2",252,86,"W8-2",8,"tile_W8-2_0","W8-2","8w_2d",995,16348,141.2701,2321.08904,141.2701,2321.08904,86,252,1,"EVT3",0.544190642924111,8,141.2701,2321.08904,"EVT3","EVT3",0.544190642924111,"EVT3","author","EVT3","author",3.07090440203537,6.96927509709711,0.198825680929601,0.0319309053328032,-5.11892385361884,-0.842625713399338,-0.0859681145857765,NA,6.96927509709711,"vCTB","N7","starmap",4.22343759987339,0.969992703392922,"EVT3"
