gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
AC002310.2,3.7790001317766812e-6,-2.7758855225193786,0.404,0.413,0.13810733881591059
C12orf40,3.7853784641217216e-6,-1.2785339078209113,0.822,0.663,0.13834044134979243
JUNB,3.791762961500198e-6,-3.995805172416479,1,1,0.13857376919098624
DDIT4-AS1,3.7962733664609093e-6,-1.2044961735752757,0.592,0.356,0.1387386064506804
DTWD1,3.804707942408405e-6,4.881663169222893,0.998,0.981,0.13904685646325757
TRIM37,3.8117291480731508e-6,-0.36441244230852365,1,0.876,0.13930345344548137
SSB,3.812895379679385e-6,-0.38445173282903083,1,1,0.1393460745457628
SRGAP3,3.848793913906975e-6,-1.2992385508572686,0.969,0.818,0.1406580223776443
ZNF740,3.873411155896961e-6,-0.257927297986682,0.969,0.581,0.14155768410341035
BRF1,3.896592273467191e-6,-3.363561067071662,1,1,0.14240486122613194
AL121603.2,3.9031993561335305e-6,-0.8883569573747288,0.925,0.697,0.142646323669256
ACTN1-AS1,3.9040716270025616e-6,-1.8928259747704512,0.344,0.38,0.1426782016804356
AC053503.4,3.904393128971241e-6,0.7445729760713391,0.042,0.113,0.14268995129138298
AL445433.2,3.979863742226858e-6,-1.482350848992474,0.737,0.462,0.14544810032342276
HABP4,3.990257606782909e-6,-0.47158482397773405,1,0.979,0.14582795449748817
HSDL1,3.999452227572041e-6,-0.5259043140025055,0.993,0.831,0.14616398110884782
NOX4,4.0007918528799075e-6,-1.621691546571205,0.95,0.775,0.1462129390553491
TNFAIP8L1,4.011558757605448e-6,-0.5048805319441607,0.842,0.55,0.1466064263554487
SRP14,4.019871254350104e-6,-1.8537151809176349,1,1,0.1469102148614789
PIGW,4.030232022342859e-6,-1.5245780357625751,0.827,0.632,0.14728885948854212
SP6,4.044378289048533e-6,-2.2674715923925026,0.844,0.633,0.1478058489515677
KIAA0895L,4.049160401192926e-6,-0.5931826131730475,0.998,0.973,0.14798061602199666
JAKMIP3,4.102297700403229e-6,-1.033551576225812,0.259,0.337,0.14992257175893642
AC016134.1,4.120734330048795e-6,0.29625644696167797,0.191,0.107,0.15059635682596326
LINC01445,4.167952329316694e-6,1.539420808447911,0.132,0.07,0.15232198582720788
MIP,4.171327834499121e-6,-1.8588135722984909,0.044,0.108,0.15244534703960488
ZFR,4.179626574852876e-6,-0.43060539904973405,1,1,0.15274863280457318
AC087854.1,4.187311930506839e-6,-0.6557059008844557,0.996,0.869,0.15302950181230293
TMEM68,4.187782440264995e-6,-0.7237681401923481,1,0.996,0.1530466970619245
AC061975.6,4.211048350261107e-6,0.3042838876559575,0.14,0.075,0.1538969730086424
RAB4B,4.2538344878431155e-6,-0.5344596266736397,1,0.925,0.1554606351927145
DDX54,4.263335400127627e-6,-0.27471377948635056,0.965,0.955,0.15580785553306425
GAS7,4.344690079737006e-6,-3.951230354057551,1,0.96,0.15878104365406862
VXN,4.367168881666968e-6,-1.4052174365469803,0.088,0.161,0.159602553949401
AC098851.1,4.3717078846772505e-6,0.46931133361080946,0.151,0.081,0.15976843635341478
TMLHE,4.373631977579582e-6,-0.46522630561491285,0.998,0.886,0.1598387542526234
CACNA2D4,4.375629199222131e-6,-1.8005337712799516,0.542,0.483,0.159911744714772
LINC01412,4.442832127595041e-6,-1.0776641577201822,0.068,0.139,0.16236774293508838
AC011317.1,4.452552247265662e-6,-1.1232118378254636,0.265,0.15,0.1627229744285709
SERPINB11,4.452843394201304e-6,-1.2203344272935208,0.066,0.137,0.16273361468448086
AC016925.3,4.456924848739334e-6,-2.667010416118699,0.283,0.304,0.1628827755220277
FOSL1,4.473319487180612e-6,-1.0790827000462788,0.739,0.654,0.16348193397850264
MYL7,4.474743952164309e-6,-0.8563446953721066,0.388,0.227,0.16353399247579684
ARL5B,4.529207004105539e-6,-0.6338563375756376,1,1,0.165524399172041
ATF7IP,4.544851130526006e-6,-2.432373385842676,1,0.999,0.16609612941620341
AC104938.1,4.5728934669056405e-6,-1.9309796412839084,0.048,0.114,0.16712096464153353
EXOSC9,4.637856791094489e-6,-0.47564741556464707,1,0.919,0.16949511428733918
POLD3,4.643006323862006e-6,-0.7197784144886519,1,1,0.16968330911186089
Z94721.3,4.687300026515057e-6,0.3728681039357875,0.454,0.318,0.17130206676901927
AC005906.2,4.714321761176649e-6,1.0496727793630374,0.132,0.072,0.17228960308396182
TLL1,4.71447914651323e-6,-17.584592270985183,0.849,0.808,0.1722953548884725
CFAP57,4.763621896693543e-6,-1.0769252065859902,0.443,0.274,0.17409132583656223
LINC02391,4.764571198363079e-6,-1.9017595979372093,0.11,0.185,0.17412601901537708
MEX3B,4.791462890272883e-6,-0.9926849756795941,0.921,0.838,0.1751088027879128
CDC23,4.795629271535106e-6,-0.4582163187351558,0.998,0.95,0.17526106735752198
AGER,4.806479904674333e-6,-1.9467090108910838,0.66,0.527,0.17565761459622817
AC100849.1,4.8351893406861574e-6,3.1515677626064846,0.382,0.239,0.17670682964471632
