gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
ATP6V0A4,1.766091340102186e-66,-3.226564822142788,0.394,0.706,6.454357411537449e-62
SMC1A,1.8185830937129287e-66,-2.1652255072274222,1,1,6.64619377428327e-62
AC005856.1,1.935216140513129e-66,-1.705660672908338,0.902,0.88,7.072440907119281e-62
TP63,2.032656658558742e-66,-2.9883553164992795,0.953,0.921,7.428547024368779e-62
AC104794.3,2.1172471021725925e-66,1.6413884656155546,0.915,0.516,7.737691259599956e-62
LINC00592,2.2235840448900118e-66,1.3885031810753308,0.65,0.274,8.126310250455037e-62
RFX5,2.4561449958903675e-66,-2.0865904552404038,0.497,0.791,8.976227501980936e-62
GRIK1,2.527635105454726e-66,1.0292633873008592,0.855,0.467,9.237495256394842e-62
NEURL1,2.5580376327662773e-66,4.972138685129614,0.969,0.924,9.348604332707638e-62
PIWIL2,2.5930822874810877e-66,0.7908166647054822,0.713,0.291,9.476678527828383e-62
ISCU,2.8550394491752046e-66,-1.339679489988055,1,1,1.0434027170955703e-61
RPL36A,2.9260916597508246e-66,-19.916326924101956,1,1,1.0693694579725364e-61
AC010789.2,2.996098071791645e-66,1.5704454760997981,0.708,0.31,1.0949540013169746e-61
TRUB2,3.090329225976199e-66,-1.2408716920176412,0.964,0.987,1.1293917189252616e-61
AC007533.1,3.1038874942820025e-66,0.9710674824318861,0.913,0.522,1.1343467236603006e-61
NOTCH2NLA,3.29669827261572e-66,0.727853469004204,0.991,0.561,1.204811350710141e-61
RBBP5,3.4786018674960827e-66,-1.0743643114806938,0.967,0.991,1.2712898384951184e-61
LCORL,3.4800601064590286e-66,0.6068804385445781,1,1,1.2718227665065165e-61
MED12L,3.640201252846193e-66,-4.968980231792334,0.804,0.942,1.3303479498651697e-61
ABCA7,3.692032055512118e-66,1.4992256610592696,1,0.996,1.3492900350074586e-61
AC072022.2,4.022600408551778e-66,-2.451129093440299,0.272,0.641,1.4700995453093327e-61
IDH3A,4.1460148627913384e-66,-0.8490862591713044,1,0.997,1.5152025917557225e-61
H19,4.224033248202451e-66,1.4666312998396265,1,1,1.5437151908880677e-61
CUEDC2,4.4084140570539485e-66,-1.1719712941077147,0.982,0.986,1.611099001290936e-61
AL596325.2,4.409288299148451e-66,1.2327480932730168,0.744,0.336,1.6114185018067928e-61
MGAT4A,4.667522208362782e-66,1.3568117045033892,0.964,0.899,1.7057926662682624e-61
PKP2,4.6703523359165615e-66,1.0076938972169516,1,0.995,1.7068269646840664e-61
AC016831.7,4.970177383265505e-66,1.4084582699711001,1,0.782,1.816401026488211e-61
HRCT1,5.14657530164299e-66,1.0074164295101413,0.713,0.298,1.8808674097384472e-61
Z82217.1,5.181419570445096e-66,1.150998933825985,0.775,0.357,1.8936015962148647e-61
NDUFA11,5.660071805025397e-66,-1.3757559958559749,1,1,2.0685298418645817e-61
TNFRSF19,5.885982682843607e-66,-4.395871079834994,0.261,0.614,2.1510912312720246e-61
GRK3,5.970958003740622e-66,0.8549489629360449,0.996,0.983,2.182146312047048e-61
