"dataset","version","week","week_num","celltype","n_cells","total_cells","prop"
"STARmap","predicted","8",8,"unknown2",11,4487,0.00245152663249387
"STARmap","predicted","8",8,"unknown3",124,4487,0.0276353911299309
"STARmap","predicted","8",8,"vCTB2",891,4487,0.198573657232004
"STARmap","predicted","8",8,"vCTBp",19,4487,0.00423445509248941
"STARmap","predicted","9",9,"EVT2",892,4554,0.195871761089152
"STARmap","predicted","9",9,"EVT3",58,4554,0.0127360562143171
"STARmap","predicted","9",9,"Endothelial_cells",64,4554,0.0140535792709706
"STARmap","predicted","9",9,"Fibroblast1",345,4554,0.0757575757575758
"STARmap","predicted","9",9,"Fibroblast2",822,4554,0.180500658761528
"STARmap","predicted","9",9,"Hofbauer cells",215,4554,0.0472112428634168
"STARmap","predicted","9",9,"STB",579,4554,0.127140974967062
"STARmap","predicted","9",9,"maternal macrophages",19,4554,0.00417215634606939
"STARmap","predicted","9",9,"unknown2",16,4554,0.00351339481774264
"STARmap","predicted","9",9,"unknown3",164,4554,0.0360122968818621
"STARmap","predicted","9",9,"vCTB2",1357,4554,0.297979797979798
"STARmap","predicted","9",9,"vCTBp",23,4554,0.00505050505050505
