"week","from","to","n_k_tested","n_k_sig","median_z","robust_fraction"
8,"STB","EVT3",4,1,0.961491058575177,0.25
8,"STB","Fibroblast1",4,0,0.460677927195827,0
8,"STB","Fibroblast2",4,1,-0.570215723716166,0.25
8,"STB","Hofbauer cells",4,1,-0.813852769578618,0.25
8,"STB","maternal macrophages",4,0,1.16566617866207,0
8,"STB","STB",4,0,0.740750098958147,0
8,"STB","unknown2",4,0,-0.699208885213818,0
8,"STB","unknown3",4,0,-0.460577525352597,0
8,"STB","vCTB2",4,0,0.92418701676372,0
8,"STB","vCTBp",4,0,0.739786249312085,0
8,"unknown2","Endothelial_cells",4,0,-0.536425807406157,0
8,"unknown2","EVT2",4,1,0.960914589907178,0.25
8,"unknown2","EVT3",4,0,-0.227302181461296,0
8,"unknown2","Fibroblast1",4,0,0.139525783054851,0
8,"unknown2","Fibroblast2",4,0,0.0819709435190622,0
8,"unknown2","Hofbauer cells",4,0,1.20728039973047,0
8,"unknown2","maternal macrophages",4,0,-0.287405939498829,0
8,"unknown2","STB",4,0,1.42105207443905,0
8,"unknown2","unknown2",4,1,0.0314434531163443,0.25
8,"unknown2","unknown3",4,0,-1.15491787866067,0
8,"unknown2","vCTB2",4,1,-2.12764903928715,0.25
8,"unknown2","vCTBp",4,0,0.269077099858545,0
8,"unknown3","Endothelial_cells",4,0,0.870037380506849,0
8,"unknown3","EVT2",4,1,0.334882143671022,0.25
8,"unknown3","EVT3",4,0,0.160846609248161,0
8,"unknown3","Fibroblast1",4,0,1.52470374992602,0
8,"unknown3","Fibroblast2",4,2,-1.05971707207555,0.5
8,"unknown3","Hofbauer cells",4,0,0.294467857343458,0
8,"unknown3","maternal macrophages",4,0,0.171751494204392,0
8,"unknown3","STB",4,0,0.839413304700962,0
8,"unknown3","unknown2",4,0,-0.105208566216004,0
8,"unknown3","unknown3",4,1,-1.14535075108371,0.25
8,"unknown3","vCTB2",4,1,0.195973241901799,0.25
8,"unknown3","vCTBp",4,0,0.39845379307264,0
8,"vCTB2","Endothelial_cells",4,0,1.30899282914713,0
8,"vCTB2","EVT2",4,0,-1.18771594524236,0
8,"vCTB2","EVT3",4,0,-1.3258982388937,0
8,"vCTB2","Fibroblast1",4,0,1.41003296728767,0
8,"vCTB2","Fibroblast2",4,0,-0.109805441107438,0
8,"vCTB2","Hofbauer cells",4,0,-0.866361793745846,0
8,"vCTB2","maternal macrophages",4,0,0.168344224509819,0
8,"vCTB2","STB",4,0,1.03821562058585,0
8,"vCTB2","unknown2",4,0,-0.229287344327325,0
8,"vCTB2","unknown3",4,1,-1.03742222775619,0.25
8,"vCTB2","vCTB2",4,1,0.910893751613871,0.25
8,"vCTB2","vCTBp",4,0,-1.45841330556157,0
8,"vCTBp","Endothelial_cells",4,0,-0.211904993522127,0
8,"vCTBp","EVT2",4,3,4.24798647746863,0.75
8,"vCTBp","EVT3",4,1,-1.54647802238529,0.25
8,"vCTBp","Fibroblast1",4,0,0.253594695170004,0
8,"vCTBp","Fibroblast2",4,0,-0.80495265098591,0
8,"vCTBp","Hofbauer cells",4,0,-0.278445560921084,0
8,"vCTBp","maternal macrophages",4,0,-0.810737101748729,0
8,"vCTBp","STB",4,0,-1.43385410956195,0
8,"vCTBp","unknown2",4,0,-0.305161412548931,0
8,"vCTBp","unknown3",4,0,-0.00839884799566389,0
8,"vCTBp","vCTB2",4,0,-1.01500787058589,0
8,"vCTBp","vCTBp",4,0,-0.664455992721105,0
9,"Endothelial_cells","Endothelial_cells",4,0,-0.684245499005105,0
9,"Endothelial_cells","EVT2",4,1,0.750588482792133,0.25
9,"Endothelial_cells","EVT3",4,0,0.117914604404873,0
9,"Endothelial_cells","Fibroblast1",4,0,0.562399700641043,0
9,"Endothelial_cells","Fibroblast2",4,1,0.805455051916747,0.25
9,"Endothelial_cells","Hofbauer cells",4,1,0.401765293583795,0.25
9,"Endothelial_cells","maternal macrophages",4,0,-0.891459685507603,0
9,"Endothelial_cells","STB",4,0,-0.51817749963463,0
9,"Endothelial_cells","unknown2",4,0,-0.0204051260251993,0
9,"Endothelial_cells","unknown3",4,0,-0.454170551328004,0
9,"Endothelial_cells","vCTB2",4,2,-2.10174546906612,0.5
9,"Endothelial_cells","vCTBp",4,0,0.0574455332559974,0
9,"EVT2","Endothelial_cells",4,0,0.591876579058544,0
9,"EVT2","EVT2",4,1,2.557396425017,0.25
9,"EVT2","EVT3",4,0,1.23641708780411,0
9,"EVT2","Fibroblast1",4,0,0.21509510184943,0
9,"EVT2","Fibroblast2",4,1,0.650486615981153,0.25
9,"EVT2","Hofbauer cells",4,0,-0.345923971689833,0
9,"EVT2","maternal macrophages",4,0,0.814603626004422,0
9,"EVT2","STB",4,0,1.36831016192028,0
9,"EVT2","unknown2",4,1,-2.29657812869869,0.25
9,"EVT2","unknown3",4,0,-0.91839111120679,0
9,"EVT2","vCTB2",4,3,-4.28081114709773,0.75
9,"EVT2","vCTBp",4,0,-0.409174923642433,0
9,"EVT3","Endothelial_cells",4,0,-0.628329080526278,0
9,"EVT3","EVT2",4,0,-0.936372088508684,0
9,"EVT3","EVT3",4,0,-0.310728386059429,0
9,"EVT3","Fibroblast1",4,0,-0.489287320646559,0
9,"EVT3","Fibroblast2",4,1,-1.43832506953495,0.25
9,"EVT3","Hofbauer cells",4,0,0.0379749753832177,0
9,"EVT3","maternal macrophages",4,1,1.08523010289223,0.25
9,"EVT3","STB",4,0,1.19612128072485,0
9,"EVT3","unknown2",4,0,-0.0862749058468137,0
9,"EVT3","unknown3",4,0,-0.9777406272037,0
9,"EVT3","vCTB2",4,1,0.645566810602929,0.25
9,"EVT3","vCTBp",4,0,0.183870753755971,0
