"","Endothelial","Erythroblasts","EVT-progenitor","FIB1","FIB2","Hofbauer cells","STB","STB-progenitor","vCTB"
"Endothelial",0.41,1.43,3.415,4.975,17.905,15.395,9.25,0.09,7.13
"Erythroblasts",1.265,4.37,12.37,18.16,61.395,54.955,32.62,0.31,24.555
"EVT-progenitor",3.455,11.725,30.505,44.585,160.545,141.3,82.965,0.83,64.09
"FIB1",5.34,17.22,45.13,66.885,235.58,207.155,121.82,1.18,94.69
"FIB2",17.795,62.615,162.595,237.875,845.955,741.055,439.08,4.61,338.42
"Hofbauer cells",15.97,56.11,142.05,208.97,743.295,654.525,384.27,3.945,295.865
"STB",8.955,32.17,83.5,121.815,436.03,383.405,225.72,2.315,176.09
"STB-progenitor",0.11,0.36,0.855,1.365,4.45,3.805,2.23,0.04,1.785
"vCTB",7.47,25.285,65.045,96.745,337.49,293.935,175.935,1.76,136.335
