"","Endothelial","Erythroblasts","EVT","EVT-progenitor","EVT3","FIB1","FIB2","Hofbauer cells","STB","STB-progenitor","vCTB","vCTBp"
"Endothelial",63,25,10,6,5,69,204,56,94,29,399,0
"Erythroblasts",28,10,5,2,1,37,116,33,41,16,228,3
"EVT",8,8,0,0,1,13,31,9,17,5,68,0
"EVT-progenitor",5,1,3,0,1,7,32,5,11,7,48,0
"EVT3",2,1,0,0,0,4,15,4,12,2,40,0
"FIB1",68,34,12,8,2,89,256,77,101,42,550,1
"FIB2",212,111,36,23,17,250,782,237,342,107,1511,12
"Hofbauer cells",55,34,11,1,3,79,249,70,72,34,429,3
"STB",76,40,9,5,13,113,295,124,125,54,582,4
"STB-progenitor",38,18,4,2,3,36,131,46,45,18,259,0
"vCTB",393,199,60,32,30,516,1485,417,572,249,2831,16
"vCTBp",6,0,0,0,1,2,11,3,3,0,14,0
