"from","to","z","observed","expected","sd_null","week","k","scope","density_bin","obs_minus_exp","obs_over_exp","log2_obs_over_exp","p_adj","significant"
"Hofbauer cells","vCTBp",0.0755530638297351,9,8.775,2.97803938740992,8,8,"global",NA,0.225,1.02564102552414,0.0365258772673321,0.978848633707419,FALSE
"maternal macrophages","vCTBp",-1.04068873071268,0,1.365,1.31163138282907,8,8,"global",NA,-1.365,0,-29.8973528539863,0.692581027816809,FALSE
"STB","vCTBp",0.841338746509787,12,9.15,3.38745839411487,8,8,"global",NA,2.85,1.31147540969273,0.391190758266859,0.772096675864433,FALSE
"unknown2","vCTBp",0.912701075533285,1,0.4,0.657389385387459,8,8,"global",NA,0.6,2.49999999375,1.3219280918577,0.746323408298247,FALSE
"unknown3","vCTBp",0.537779742731711,5,3.87,2.10123199085608,8,8,"global",NA,1.13,1.29198966374884,0.369594529261533,0.86099960191384,FALSE
"vCTB2","vCTBp",-2.53277020804341,16,30.145,5.58479405377813,8,8,"global",NA,-14.145,0.530767954867117,-0.913846821592773,0.122157502982546,FALSE
"vCTBp","vCTBp",-0.705185327079349,0,0.615,0.872111168055562,8,8,"global",NA,-0.615,0,-29.8973528539863,0.812084163751928,FALSE
"Endothelial_cells","Endothelial_cells",-2.07162830464411,2,7.9,2.84800124843918,8,8,"density_stratified",1,-5.9,0.253164556929979,-1.98185264777371,0.257526221538353,FALSE
"EVT2","Endothelial_cells",0.276181089153329,24,22.52,5.35880282122487,8,8,"density_stratified",1,1.48,1.06571936052106,0.0918275797053174,0.926963711751681,FALSE
"EVT3","Endothelial_cells",-1.68445127995795,2,5.94,2.33904063904651,8,8,"density_stratified",1,-3.94,0.336700336643653,-1.57046292698411,0.407900855403349,FALSE
"Fibroblast1","Endothelial_cells",-0.655769174368145,13,15.82,4.30029362398956,8,8,"density_stratified",1,-2.82,0.821744627002418,-0.283237974892521,0.825260590607535,FALSE
"Fibroblast2","Endothelial_cells",0.548867899152694,114,108.3,10.3850125107524,8,8,"density_stratified",1,5.7,1.05263157893765,0.0740005828010159,0.860206894478159,FALSE
