"niche_cluster","Endothelial","Erythroblasts","EVT","EVT-progenitor","EVT3","FIB1","FIB2","Hofbauer cells","STB","STB-progenitor","vCTB","vCTB1","vCTB2","vCTBp","n_cells"
"N1",0.00112676056338028,0.00394366197183099,0.00225352112676056,0.00169014084507042,0,0.00394366197183099,0.0146478873239437,0.0140845070422535,0.946478873239437,0.00169014084507042,0.00676056338028169,0,0.00169014084507042,0.00169014084507042,71
"N2",0.00285714285714286,0.0128571428571429,0,0.00357142857142857,0,0.923571428571429,0.0114285714285714,0.0185714285714286,0.0121428571428571,0.00142857142857143,0.0135714285714286,0,0,0,56
"N3",0.0336559139784946,0.0158064516129032,0.00870967741935484,0.0108602150537634,0.00795698924731183,0.0590322580645161,0.129677419354839,0.0675268817204301,0.232903225806452,0.0421505376344086,0.382365591397849,0.00935483870967742,0,0,372
"N4",0.0307692307692308,0.0194461538461538,0.0219076923076923,0.0583384615384615,0.00246153846153846,0.0359384615384615,0.356307692307692,0.273230769230769,0.0963692307692308,0.0109538461538462,0.0865230769230769,0.00381538461538462,0.00295384615384615,0.000984615384615385,325
"N5",0.0385347985347985,0.0175091575091575,0.0142857142857143,0.0313553113553114,0.00234432234432234,0.0392673992673993,0.267912087912088,0.171721611721612,0.121758241758242,0.023003663003663,0.267692307692308,0.00380952380952381,0.000732600732600733,7.32600732600733e-05,546
"N6",0,0,0,0,0,0,0.0135483870967742,0.00838709677419355,0.000645161290322581,0,0.97741935483871,0,0,0,62
"N7",0.00807339449541284,0.0113761467889908,0.270091743119266,0.110825688073394,0.00917431192660551,0.0157798165137615,0.210642201834862,0.108990825688073,0.0877064220183486,0.0128440366972477,0.149357798165138,0,0.00513761467889908,0,109
"N8",0.0324607329842932,0.0121465968586387,0.00942408376963351,0.011413612565445,0.00492146596858639,0.0379057591623037,0.191099476439791,0.107958115183246,0.387329842931937,0.0268062827225131,0.170261780104712,0.00607329842931937,0.0018848167539267,0.00031413612565445,382
