"week","sender_label","receiver_label","lr","mean_lr_score","median_lr_score","n_edges","null_mean","null_sd","z_null","p_empirical","k","p_adj"
9,"STB","Fibroblast1","PGF->FLT1",2.83005978666521,3.05753226209446,615,2.24772413688949,NA,NA,NA,15,NA
9,"EVT3","EVT2","PGF->FLT1",2.82802811837838,2.61652487976314,337,2.35809923436651,NA,NA,NA,25,NA
9,"STB","EVT2","PGF->FLT1",2.82588345620192,2.54668865434413,5864,2.2251902400177,NA,NA,NA,40,NA
8,"EVT2","Fibroblast1","PGF->FLT1",2.80313762433228,2.9152583506891,2325,2.15055977248626,NA,NA,NA,25,NA
9,"EVT3","Fibroblast1","PGF->FLT1",2.76762089989934,2.62362732349454,170,2.27569217945129,NA,NA,NA,40,NA
9,"STB","EVT2","PGF->FLT1",2.76287904266535,2.57865611601304,1920,2.23152350220714,NA,NA,NA,15,NA
9,"EVT2","Endothelial_cells","PGF->FLT1",2.74697647301996,3.08756989050333,476,2.2628224580521,NA,NA,NA,25,NA
8,"EVT2","EVT3","PGF->FLT1",2.72446838534025,2.2758922557052,1099,1.83471165671345,NA,NA,NA,15,NA
8,"STB","Fibroblast1","PGF->FLT1",2.71148945834912,1.95958495715368,498,2.00483600370764,NA,NA,NA,25,NA
8,"EVT2","Fibroblast1","PGF->FLT1",2.67541966070981,2.77799798339768,3611,2.17922606192703,NA,NA,NA,40,NA
8,"EVT3","EVT2","PGF->FLT1",2.66404777414017,2.69936608014824,3968,2.0709529034974,NA,NA,NA,40,NA
9,"EVT2","Endothelial_cells","PGF->FLT1",2.6367673120951,2.9310071540831,710,2.34100604929657,NA,NA,NA,40,NA
9,"EVT2","Endothelial_cells","PGF->FLT1",2.63540479667017,2.88459875833598,119,2.51922344959113,NA,NA,NA,8,NA
9,"EVT3","Endothelial_cells","PGF->FLT1",2.63362237569839,2.70752201376149,23,2.34678981800276,NA,NA,NA,15,NA
8,"EVT3","Fibroblast1","PGF->FLT1",2.63122855071269,2.62644528327741,1062,2.06784233006924,NA,NA,NA,40,NA
8,"EVT2","EVT2","PGF->FLT1",2.62388555083502,2.08431400687239,12553,2.11124351418861,NA,NA,NA,40,NA
8,"EVT3","EVT2","PGF->FLT1",2.62079947314276,2.31515120338466,2521,2.09877664584631,NA,NA,NA,25,NA
9,"STB","Endothelial_cells","PGF->FLT1",2.60578237497639,2.79132692709394,461,2.22290978786102,NA,NA,NA,40,NA
8,"STB","Endothelial_cells","PGF->FLT1",2.60524392603908,3.13040764474216,159,2.06393118748496,NA,NA,NA,25,NA
8,"EVT3","Fibroblast1","PGF->FLT1",2.60234339092552,2.56732299991244,400,2.20877830288454,NA,NA,NA,15,NA
8,"EVT3","Fibroblast1","PGF->FLT1",2.58397268496129,2.69561803198274,239,2.18560738667801,NA,NA,NA,8,NA
8,"EVT3","Fibroblast1","PGF->FLT1",2.55260896376713,2.54286362466922,647,2.10763452893751,NA,NA,NA,25,NA
8,"EVT3","EVT2","PGF->FLT1",2.55055377338352,2.35899219799345,1594,2.21311177462685,NA,NA,NA,15,NA
9,"STB","Endothelial_cells","PGF->FLT1",2.54946115131553,3.02859817321702,95,2.4849248803048,NA,NA,NA,8,NA
9,"STB","Endothelial_cells","PGF->FLT1",2.54854857873805,2.79349773329416,306,2.27972582504202,NA,NA,NA,25,NA
8,"EVT2","EVT2","PGF->FLT1",2.54626089565806,1.96766057069439,7726,2.14284451763362,NA,NA,NA,25,NA
8,"EVT2","Fibroblast1","PGF->FLT1",2.52322989097721,2.09268619558416,758,2.38059129438991,NA,NA,NA,8,NA
9,"EVT2","STB","PGF->FLT1",2.50473883759156,1.91816493451803,777,2.51048346133498,NA,NA,NA,8,NA
9,"STB","Fibroblast2","PGF->FLT1",2.50263156151312,2.76415746388834,839,2.51609138307973,NA,NA,NA,8,NA
8,"EVT3","EVT2","PGF->FLT1",2.49379539009317,2.23986857577996,730,2.18534953679847,NA,NA,NA,8,NA
9,"EVT2","STB","PGF->FLT1",2.49246079570205,1.90188114089951,1455,2.42733532088406,NA,NA,NA,15,NA
8,"STB","Fibroblast1","PGF->FLT1",2.47870689675825,1.46446899212484,274,1.79909231423532,NA,NA,NA,15,NA
9,"EVT2","Endothelial_cells","PGF->FLT1",2.47809384506371,2.44213152274249,226,2.42479632411759,NA,NA,NA,15,NA
9,"EVT3","Endothelial_cells","PGF->FLT1",2.46212834685574,2.39393332798495,42,2.2954962722077,NA,NA,NA,40,NA
9,"EVT3","Endothelial_cells","PGF->FLT1",2.45659974180258,2.53948541075227,9,2.31293686750151,NA,NA,NA,8,NA
9,"EVT3","STB","PGF->FLT1",2.4502949321261,2.29618251686103,138,2.34879795531632,NA,NA,NA,25,NA
8,"STB","STB","PGF->FLT1",2.42643887419663,1.69231937699541,747,2.04274517235106,NA,NA,NA,25,NA
8,"STB","EVT3","PGF->FLT1",2.41959486788574,2.10947423443126,197,1.75767731925458,NA,NA,NA,15,NA
9,"EVT3","Endothelial_cells","PGF->FLT1",2.40781621636896,2.31021696211877,19,2.35803545122122,NA,NA,NA,25,NA
8,"EVT2","Endothelial_cells","PGF->FLT1",2.40630660578307,2.37142557447664,250,2.39565557095475,NA,NA,NA,8,NA
8,"EVT2","Endothelial_cells","PGF->FLT1",2.40383659349771,2.4878473889282,1138,2.18886777998075,NA,NA,NA,40,NA
9,"STB","Endothelial_cells","PGF->FLT1",2.39742658173476,2.6366663381776,199,2.28171330318996,NA,NA,NA,15,NA
8,"EVT2","Endothelial_cells","PGF->FLT1",2.3941034449241,2.41957026562108,678,2.12896226583764,NA,NA,NA,25,NA
8,"STB","EVT2","PGF->FLT1",2.38816491864895,1.90803441875544,1618,2.01953883381399,NA,NA,NA,25,NA
8,"STB","Endothelial_cells","PGF->FLT1",2.38275604713254,1.88707418881439,73,1.73116394814602,NA,NA,NA,15,NA
9,"EVT3","Fibroblast2","PGF->FLT1",2.37039116785945,2.29577867883944,296,2.3648762185602,NA,NA,NA,25,NA
9,"EVT2","Fibroblast2","PGF->FLT1",2.36850114496188,2.54089432663233,6257,2.33328836221306,NA,NA,NA,40,NA
8,"STB","Fibroblast2","PGF->FLT1",2.35962266218346,2.39659689521831,404,1.65503610193894,NA,NA,NA,8,NA
9,"STB","Fibroblast2","PGF->FLT1",2.35633509527329,2.5730618899377,3978,2.22856944303094,NA,NA,NA,40,NA
8,"EVT2","Fibroblast1","PGF->FLT1",2.35570136596735,1.73254030479348,1320,1.82978115357034,NA,NA,NA,15,NA
9,"EVT2","Fibroblast2","PGF->FLT1",2.34231326544449,2.57635844952161,1189,2.48654813375697,NA,NA,NA,8,NA
9,"EVT3","Fibroblast2","PGF->FLT1",2.34003571918347,2.29278519903856,73,2.29075989600226,NA,NA,NA,8,NA
9,"STB","STB","PGF->FLT1",2.33887373769333,1.77765019874614,1430,2.29278315889046,NA,NA,NA,25,NA
8,"EVT3","Endothelial_cells","PGF->FLT1",2.32516086559449,2.20826688347519,125,2.20477463104694,NA,NA,NA,15,NA
9,"EVT2","Fibroblast2","PGF->FLT1",2.31869960189259,2.46751347301401,3979,2.3023371271401,NA,NA,NA,25,NA
8,"EVT3","Endothelial_cells","PGF->FLT1",2.31852340006655,2.2474091513009,72,2.15979101425704,NA,NA,NA,8,NA
8,"EVT2","Fibroblast2","PGF->FLT1",2.31803812552348,2.41165122602354,1751,2.38387223068491,NA,NA,NA,8,NA
8,"EVT3","Endothelial_cells","PGF->FLT1",2.31374838180798,2.2789316661736,322,2.06800413684305,NA,NA,NA,40,NA
9,"STB","STB","PGF->FLT1",2.31352872663906,1.83081567404804,409,2.46754934284031,NA,NA,NA,8,NA
9,"EVT3","Fibroblast2","PGF->FLT1",2.31013477260093,2.31388980412816,217,2.36855292296965,NA,NA,NA,15,NA
9,"STB","Fibroblast2","PGF->FLT1",2.3059060047153,2.44275877261577,1704,2.2512397062824,NA,NA,NA,15,NA
8,"EVT2","Fibroblast2","PGF->FLT1",2.28547911546704,2.43830500596182,5812,2.1509185316998,NA,NA,NA,25,NA
8,"STB","Fibroblast1","PGF->FLT1",2.28282187864489,1.52530136754864,817,2.08299119179308,NA,NA,NA,40,NA
9,"STB","Fibroblast2","PGF->FLT1",2.2758701140397,2.43369002104737,2662,2.29316469087675,NA,NA,NA,25,NA
9,"EVT2","Fibroblast2","PGF->FLT1",2.27085988249928,2.50928117644441,2060,2.43724088099071,NA,NA,NA,15,NA
9,"EVT3","STB","PGF->FLT1",2.26513967716461,2.112085134215,217,2.28670851381791,NA,NA,NA,40,NA
8,"EVT3","Endothelial_cells","PGF->FLT1",2.26404423278108,2.22578016148538,214,2.08501153720327,NA,NA,NA,25,NA
