"niche_cluster","n_weeks","rho_week","p_value","p_adj","trend"
"N1",2,NA,NA,NA,"not_significant"
"N2",2,NA,NA,NA,"not_significant"
"N3",2,NA,NA,NA,"not_significant"
"N4",2,NA,NA,NA,"not_significant"
"N5",2,NA,NA,NA,"not_significant"
"N6",2,NA,NA,NA,"not_significant"
"N7",2,NA,NA,NA,"not_significant"
"N8",2,NA,NA,NA,"not_significant"
