"","Endothelial","Erythroblasts","EVT","EVT-progenitor","EVT3","FIB1","FIB2","Hofbauer cells","STB","STB-progenitor","vCTB","vCTBp"
"Endothelial",1.21023149500195,1.08735799766885,0.0299196705082323,-1.08317235827975,0.1644821589271,1.82091863687789,-2.45841612954336,-0.476046149784419,0.613919724270966,0.847854617400832,-0.124981576458894,0.876239278500909
"Erythroblasts",0.570709623498816,-0.769939197127845,-0.0246389424504278,0.19502422959711,2.28679000730178,0.162122797175689,-0.766769270989552,1.05157556684177,1.70249906305269,0.795273254670427,-1.53156290015717,-0.471165625602795
"EVT",-0.589883519693215,-1.07873389400974,-0.505888787115051,-0.46936505568525,-0.401951560295179,0.397229923129843,0.698002074616219,-0.624240062181121,0.238579344365492,-1.14390939294325,0.35460804910184,2.76715989150601
"EVT-progenitor",1.35161551371297,0.36631067916425,1.83073180232081,1.80222477937543,-0.265540600519623,1.84644902443542,-1.11634496399006,0.374390052789879,-0.689014222369056,-0.977742496740006,-0.841300005972989,-0.240645075584974
"EVT3",-1.02883946080999,-0.70079842416641,-0.441951157513481,-0.372697106459897,-0.275993203318944,3.92101345414112,-0.320598870655093,0.0738029635744759,-1.12591582983191,-0.784614479448889,0.194375662377691,-0.189968635594947
"FIB1",1.01473271732474,-0.21803749912211,1.34808689315133,-0.525600742555662,0.834954031436492,0.137089488354051,0.0497927823431596,0.646231483639539,-0.757945812306064,-1.80395664400192,-0.135182290684809,1.90545749857871
"FIB2",-1.18941273328868,-0.461440926163795,-0.0456496534362367,0.345025978085252,-1.95417467215462,-0.215694414117742,-0.106698918404495,0.668889700814381,-0.937220840632693,-0.292111062035833,1.46105569359552,-0.587858475480454
"Hofbauer cells",-0.391588878871202,-0.143063873507521,0.191191312410377,0.44649062956522,1.13594729933028,0.885600988290726,-0.675061997291059,-1.2054736872341,0.253724558563697,-0.892493424230779,0.725753051961413,0.720243521256721
"STB",0.589724507023491,0.303256692528569,1.85828826874817,-0.699809979998791,-1.15632087411654,1.94718396067929,-0.474770667480892,0.244757296617737,0.0444872438721966,-2.13603056216585,-0.540607787625397,0.327690645755491
"STB-progenitor",-0.427537437857876,1.24766382451079,0.793725392569377,0.206218685988265,-0.762874623185789,-0.278069880484209,-0.2609529368618,1.38856007317017,0.724375341648435,-1.68150517686791,-0.432992555592497,1.38329923505131
"vCTB",-0.263091717819306,2.22787557268481,-0.788178839889762,-1.19095546200166,-0.202215824200851,-0.624838720650783,1.96217595734095,-1.83166844363591,0.78874858793768,0.611675152919281,-1.42852685224474,1.51331542318712
"vCTBp",-0.677304965707253,-0.534286109965045,-0.220376844574293,-0.260833639683511,-0.273664890939075,-0.779178184044543,2.65197813671618,-0.649667884261169,-0.976748269587771,-0.573646623746872,-0.0238445968157036,0
