"","Endothelial_cells","EVT2","EVT3","Fibroblast1","Fibroblast2","Hofbauer cells","maternal macrophages","STB","unknown2","unknown3","vCTB2","vCTBp"
"Endothelial_cells",18,351,102,49,135,49,4,71,2,15,169,3
"EVT2",332,2937,898,705,1803,575,80,646,23,262,2027,40
"EVT3",89,834,309,197,535,165,22,162,5,110,696,28
"Fibroblast1",56,713,214,151,377,117,15,127,1,52,417,8
"Fibroblast2",166,1941,521,434,1023,317,47,430,22,146,1230,19
"Hofbauer cells",59,684,198,102,348,115,18,107,3,35,370,9
"maternal macrophages",9,88,33,20,59,17,2,14,1,5,56,0
"STB",47,693,219,147,329,87,24,140,2,56,436,12
"unknown2",5,10,3,6,13,0,1,11,2,2,34,1
"unknown3",28,185,66,83,219,68,6,70,1,45,216,5
"vCTB2",208,1972,565,477,1255,381,63,444,18,200,1529,16
"vCTBp",0,39,22,11,30,9,0,8,1,5,27,0
