"k","from","to","n_weeks","rho_z","p_z","rho_l2fc","p_l2fc","median_obs_over_exp","median_z","p_adj_z","p_adj_l2fc","trend"
8,"STB","vCTB2",1,NA,NA,NA,NA,1.12107623293249,0.249835157654487,NA,NA,"not_significant"
8,"STB","vCTBp",1,NA,NA,NA,NA,1.43884891879302,0.327690645755491,NA,NA,"not_significant"
8,"STB-progenitor","Endothelial",3,-0.5,0.666666666666667,-1,0,0.842105263039705,-0.228841474766418,0.666666666666667,0,"not_significant"
8,"STB-progenitor","Erythroblasts",3,-0.5,0.666666666666667,-0.5,0.666666666666667,0.680272108380767,-0.416161093374256,0.666666666666667,0.668730650154799,"not_significant"
8,"STB-progenitor","EVT",2,NA,NA,NA,NA,1.38269371443202,0.470400873880188,NA,NA,"not_significant"
8,"STB-progenitor","EVT-progenitor",3,1,0,1,0,1.22699386352516,0.206218685988265,0,0,"increasing"
8,"STB-progenitor","EVT3",2,NA,NA,NA,NA,0.653594770814644,-0.178868352134583,NA,NA,"not_significant"
8,"STB-progenitor","FIB1",3,0.5,0.666666666666667,0.5,0.666666666666667,1.19940029967025,0.517146912511275,0.666666666666667,0.668730650154799,"not_significant"
8,"STB-progenitor","FIB2",3,-1,0,-1,0,0.95165588119712,-0.2609529368618,0,0,"decreasing"
8,"STB-progenitor","Hofbauer cells",3,-0.5,0.666666666666667,-0.5,0.666666666666667,0.959595959547495,-0.179246094651353,0.666666666666667,0.668730650154799,"not_significant"
8,"STB-progenitor","STB",3,1,0,1,0,1.21580547100144,0.724375341648435,0,0,"increasing"
8,"STB-progenitor","STB-progenitor",3,0.5,0.666666666666667,-1,0,0.218102508131275,-0.644971400279107,0.666666666666667,0,"not_significant"
8,"STB-progenitor","vCTB",3,-0.5,0.666666666666667,0.5,0.666666666666667,1.05692564433419,0.0590917557919739,0.666666666666667,0.668730650154799,"not_significant"
8,"STB-progenitor","vCTB1",1,NA,NA,NA,NA,1.17647058777393,0.289897684112092,NA,NA,"not_significant"
8,"STB-progenitor","vCTB2",1,NA,NA,NA,NA,0,-0.760939664489863,NA,NA,"not_significant"
8,"STB-progenitor","vCTBp",1,NA,NA,NA,NA,3.70370368998628,1.38329923505131,NA,NA,"not_significant"
8,"vCTB","Endothelial",3,-1,0,-1,0,0.970139851316995,-0.263091717819306,0,0,"decreasing"
8,"vCTB","Erythroblasts",3,0.5,0.666666666666667,0.5,0.666666666666667,1.0618126658277,0.215126177588802,0.666666666666667,0.668730650154799,"not_significant"
8,"vCTB","EVT",2,NA,NA,NA,NA,0.902977058815912,-0.293769038379763,NA,NA,"not_significant"
8,"vCTB","EVT-progenitor",3,-1,0,-0.5,0.666666666666667,0.796107916827477,-1.19095546200166,0,0.668730650154799,"decreasing"
8,"vCTB","EVT3",2,NA,NA,NA,NA,1.13895171919893,0.511684661667512,NA,NA,"not_significant"
8,"vCTB","FIB1",3,0.5,0.666666666666667,-0.5,0.666666666666667,0.81352255263828,-1.28360264901718,0.666666666666667,0.668730650154799,"not_significant"
8,"vCTB","FIB2",3,0.5,0.666666666666667,0.5,0.666666666666667,1.07586512865419,1.0854346593475,0.666666666666667,0.668730650154799,"not_significant"
8,"vCTB","Hofbauer cells",3,1,0,0.5,0.666666666666667,0.842132538700252,-1.83166844363591,0,0.668730650154799,"increasing"
8,"vCTB","STB",3,-0.5,0.666666666666667,1,0,1.06639583596914,0.88063164873275,0.666666666666667,0,"not_significant"
8,"vCTB","STB-progenitor",3,-0.5,0.666666666666667,-0.5,0.666666666666667,0.902726602783664,-0.709969011142444,0.666666666666667,0.668730650154799,"not_significant"
8,"vCTB","vCTB",3,-0.5,0.666666666666667,-0.5,0.666666666666667,0.970873786394301,-0.256085695441003,0.666666666666667,0.668730650154799,"not_significant"
8,"vCTB","vCTB1",1,NA,NA,NA,NA,0.988142292441297,-0.0534746461290983,NA,NA,"not_significant"
8,"vCTB","vCTB2",1,NA,NA,NA,NA,0.472813238658909,-1.08968115920046,NA,NA,"not_significant"
8,"vCTB","vCTBp",1,NA,NA,NA,NA,1.81268882120463,1.51331542318712,NA,NA,"not_significant"
8,"vCTB1","Endothelial",1,NA,NA,NA,NA,0.369685766961299,-0.985542596171679,NA,NA,"not_significant"
8,"vCTB1","Erythroblasts",1,NA,NA,NA,NA,0,-0.897910110386979,NA,NA,"not_significant"
8,"vCTB1","EVT",1,NA,NA,NA,NA,0.63025210070793,-0.875349685344321,NA,NA,"not_significant"
8,"vCTB1","EVT-progenitor",1,NA,NA,NA,NA,0.514138817216381,-0.676427929546463,NA,NA,"not_significant"
8,"vCTB1","EVT3",1,NA,NA,NA,NA,0,-0.809307733401081,NA,NA,"not_significant"
8,"vCTB1","FIB1",1,NA,NA,NA,NA,1.98807156978605,1.55234055587339,NA,NA,"not_significant"
8,"vCTB1","FIB2",1,NA,NA,NA,NA,1.30346232168607,1.26414431120156,NA,NA,"not_significant"
8,"vCTB1","Hofbauer cells",1,NA,NA,NA,NA,0.70771408341009,-0.83394823153715,NA,NA,"not_significant"
8,"vCTB1","STB",1,NA,NA,NA,NA,1.03263114411265,0.198086292225394,NA,NA,"not_significant"
8,"vCTB1","STB-progenitor",1,NA,NA,NA,NA,0.414937759163926,-0.923015293581258,NA,NA,"not_significant"
8,"vCTB1","vCTB",1,NA,NA,NA,NA,1.05607241634116,0.270293227014602,NA,NA,"not_significant"
8,"vCTB1","vCTB1",1,NA,NA,NA,NA,2.29885057207029,1.20630739251668,NA,NA,"not_significant"
8,"vCTB1","vCTB2",1,NA,NA,NA,NA,0,-0.434024337310747,NA,NA,"not_significant"
8,"vCTB2","Endothelial",1,NA,NA,NA,NA,2.04081632236568,0.734355481374661,NA,NA,"not_significant"
8,"vCTB2","Erythroblasts",1,NA,NA,NA,NA,0,-0.324815221959707,NA,NA,"not_significant"
8,"vCTB2","EVT",1,NA,NA,NA,NA,2.16216215982469,1.10637029080142,NA,NA,"not_significant"
8,"vCTB2","EVT-progenitor",1,NA,NA,NA,NA,3.22580644120708,1.29174840519577,NA,NA,"not_significant"
8,"vCTB2","EVT3",1,NA,NA,NA,NA,0,-0.386723691927053,NA,NA,"not_significant"
8,"vCTB2","FIB1",1,NA,NA,NA,NA,0,-0.728030584934703,NA,NA,"not_significant"
8,"vCTB2","FIB2",1,NA,NA,NA,NA,0.73664825018908,-0.475075138133652,NA,NA,"not_significant"
8,"vCTB2","Hofbauer cells",1,NA,NA,NA,NA,0.653594770814644,-0.491051403495492,NA,NA,"not_significant"
8,"vCTB2","STB",1,NA,NA,NA,NA,0.864864864677867,-0.337888072335748,NA,NA,"not_significant"
8,"vCTB2","STB-progenitor",1,NA,NA,NA,NA,0,-0.629314057587829,NA,NA,"not_significant"
8,"vCTB2","vCTB",1,NA,NA,NA,NA,1.25156445525618,0.621120440913108,NA,NA,"not_significant"
8,"vCTB2","vCTB1",1,NA,NA,NA,NA,0,-0.438578196431209,NA,NA,"not_significant"
8,"vCTB2","vCTB2",1,NA,NA,NA,NA,0,-0.228841474766418,NA,NA,"not_significant"
8,"vCTBp","Endothelial",1,NA,NA,NA,NA,0,-0.677304965707253,NA,NA,"not_significant"
8,"vCTBp","Erythroblasts",1,NA,NA,NA,NA,0,-0.534286109965045,NA,NA,"not_significant"
8,"vCTBp","EVT",1,NA,NA,NA,NA,0,-0.220376844574293,NA,NA,"not_significant"
8,"vCTBp","EVT-progenitor",1,NA,NA,NA,NA,0,-0.260833639683511,NA,NA,"not_significant"
8,"vCTBp","EVT3",1,NA,NA,NA,NA,0,-0.273664890939075,NA,NA,"not_significant"
8,"vCTBp","FIB1",1,NA,NA,NA,NA,0,-0.779178184044543,NA,NA,"not_significant"
8,"vCTBp","FIB2",1,NA,NA,NA,NA,2.63852242604827,2.65197813671618,NA,NA,"not_significant"
8,"vCTBp","Hofbauer cells",1,NA,NA,NA,NA,0,-0.649667884261169,NA,NA,"not_significant"
8,"vCTBp","STB",1,NA,NA,NA,NA,0,-0.976748269587771,NA,NA,"not_significant"
8,"vCTBp","STB-progenitor",1,NA,NA,NA,NA,0,-0.573646623746872,NA,NA,"not_significant"
8,"vCTBp","vCTB",1,NA,NA,NA,NA,0.98846787446838,-0.0238445968157036,NA,NA,"not_significant"
8,"vCTBp","vCTBp",1,NA,NA,NA,NA,0,0,NA,NA,"not_significant"
15,"Endothelial","Endothelial",3,-0.5,0.666666666666667,1,0,1.34777376648146,1.03724365875941,0.666666666666667,0,"not_significant"
15,"Endothelial","Erythroblasts",3,-0.5,0.666666666666667,-0.5,0.666666666666667,1.03092783469728,0.0578061972886977,0.666666666666667,0.668730650154799,"not_significant"
15,"Endothelial","EVT",2,NA,NA,NA,NA,0.563465236127575,-1.11060037626572,NA,NA,"not_significant"
15,"Endothelial","EVT-progenitor",3,-0.5,0.666666666666667,0.5,0.666666666666667,1.31246845014513,0.939365846780902,0.666666666666667,0.668730650154799,"not_significant"
15,"Endothelial","EVT3",2,NA,NA,NA,NA,0.650975937776396,-0.487189190830593,NA,NA,"not_significant"
15,"Endothelial","FIB1",3,0.5,0.666666666666667,0.5,0.666666666666667,1.21442125227974,0.800419529475493,0.666666666666667,0.668730650154799,"not_significant"
15,"Endothelial","FIB2",3,0.5,0.666666666666667,0.5,0.666666666666667,1.00530578045209,0.0276144697289864,0.666666666666667,0.668730650154799,"not_significant"
15,"Endothelial","Hofbauer cells",3,-0.5,0.666666666666667,-0.5,0.666666666666667,1.02967077628967,0.175768949509257,0.666666666666667,0.668730650154799,"not_significant"
15,"Endothelial","STB",3,-0.5,0.666666666666667,-0.5,0.666666666666667,1.08108108096421,0.252659083443079,0.666666666666667,0.668730650154799,"not_significant"
15,"Endothelial","STB-progenitor",3,-0.5,0.666666666666667,-0.5,0.666666666666667,0.980392156788809,-0.0717036356051337,0.666666666666667,0.668730650154799,"not_significant"
15,"Endothelial","vCTB",3,0.5,0.666666666666667,0.5,0.666666666666667,0.941915227620552,-0.69842845022509,0.666666666666667,0.668730650154799,"not_significant"
15,"Endothelial","vCTB1",1,NA,NA,NA,NA,0.623700623570956,-0.815303510505389,NA,NA,"not_significant"
15,"Endothelial","vCTB2",1,NA,NA,NA,NA,3.33333332962963,2.00640030755142,NA,NA,"not_significant"
15,"Endothelial","vCTBp",1,NA,NA,NA,NA,1.09890109769352,0.0875319939841233,NA,NA,"not_significant"
15,"Erythroblasts","Endothelial",3,0.5,0.666666666666667,0.5,0.666666666666667,0.790513833367183,-0.240826592283301,0.666666666666667,0.668730650154799,"not_significant"
15,"Erythroblasts","Erythroblasts",3,-0.5,0.666666666666667,-1,0,1.37931034458977,0.462412385617403,0.666666666666667,0,"not_significant"
15,"Erythroblasts","EVT",2,NA,NA,NA,NA,1.40780450042804,0.291131550938362,NA,NA,"not_significant"
15,"Erythroblasts","EVT-progenitor",3,0.5,0.666666666666667,0.5,0.666666666666667,1.05092966846799,0.175559761386011,0.666666666666667,0.668730650154799,"not_significant"
15,"Erythroblasts","EVT3",2,NA,NA,NA,NA,1.34507105009504,0.281544577319047,NA,NA,"not_significant"
15,"Erythroblasts","FIB1",3,1,0,1,0,1.02249488745586,0.0806442940730842,0,0,"increasing"
15,"Erythroblasts","FIB2",3,1,0,1,0,0.919160970989414,-0.593392207111728,0,0,"increasing"
15,"Erythroblasts","Hofbauer cells",3,-0.5,0.666666666666667,-0.5,0.666666666666667,0.855245200603125,-1.19608312105326,0.666666666666667,0.668730650154799,"not_significant"
15,"Erythroblasts","STB",3,-0.5,0.666666666666667,-0.5,0.666666666666667,1.07296137335767,0.467247929638762,0.666666666666667,0.668730650154799,"not_significant"
15,"Erythroblasts","STB-progenitor",3,0.5,0.666666666666667,0.5,0.666666666666667,1.83823529344183,1.33514248564313,0.666666666666667,0.668730650154799,"not_significant"
15,"Erythroblasts","vCTB",3,0.5,0.666666666666667,1,0,1.11041796629931,0.770383973354998,0.666666666666667,0,"not_significant"
15,"Erythroblasts","vCTB1",1,NA,NA,NA,NA,1.0752688160481,0.0755094186623507,NA,NA,"not_significant"
15,"Erythroblasts","vCTB2",1,NA,NA,NA,NA,0,-0.449836177191974,NA,NA,"not_significant"
15,"Erythroblasts","vCTBp",1,NA,NA,NA,NA,0,-0.688799618713832,NA,NA,"not_significant"
15,"EVT","Endothelial",2,NA,NA,NA,NA,1.31142967731103,0.935877919076824,NA,NA,"not_significant"
15,"EVT","Erythroblasts",2,NA,NA,NA,NA,1.82952291389237,1.13018557402102,NA,NA,"not_significant"
15,"EVT","EVT",2,NA,NA,NA,NA,1.33390216014693,0.255252683353308,NA,NA,"not_significant"
15,"EVT","EVT-progenitor",2,NA,NA,NA,NA,0.333518621437826,-1.03509344548951,NA,NA,"not_significant"
15,"EVT","EVT3",2,NA,NA,NA,NA,0.501002003907615,-0.255751532104392,NA,NA,"not_significant"
15,"EVT","FIB1",2,NA,NA,NA,NA,0.762107126718972,-0.401868041083165,NA,NA,"not_significant"
15,"EVT","FIB2",2,NA,NA,NA,NA,0.979172404374365,-0.719710948084914,NA,NA,"not_significant"
15,"EVT","Hofbauer cells",2,NA,NA,NA,NA,0.902309062644792,-0.918691489817457,NA,NA,"not_significant"
15,"EVT","STB",2,NA,NA,NA,NA,0.735647488535281,-0.00104928160019668,NA,NA,"not_significant"
15,"EVT","STB-progenitor",2,NA,NA,NA,NA,1.68579087358879,1.08233505798634,NA,NA,"not_significant"
15,"EVT","vCTB",2,NA,NA,NA,NA,0.937331245104624,-0.179702566485979,NA,NA,"not_significant"
15,"EVT","vCTB1",1,NA,NA,NA,NA,1.80688876320645,2.58460055455345,NA,NA,"not_significant"
15,"EVT","vCTB2",1,NA,NA,NA,NA,0.604229606885662,-0.523783161386936,NA,NA,"not_significant"
15,"EVT","vCTBp",1,NA,NA,NA,NA,4.25531913082843,1.52685744422714,NA,NA,"not_significant"
15,"EVT-progenitor","Endothelial",3,-0.5,0.666666666666667,-0.5,0.666666666666667,1.15774240198039,0.287804209044403,0.666666666666667,0.668730650154799,"not_significant"
15,"EVT-progenitor","Erythroblasts",3,-0.5,0.666666666666667,0.5,0.666666666666667,0.511727078847614,-0.780282749425522,0.666666666666667,0.668730650154799,"not_significant"
15,"EVT-progenitor","EVT",2,NA,NA,NA,NA,1.6505573784152,0.28771901956092,NA,NA,"not_significant"
15,"EVT-progenitor","EVT-progenitor",3,0.5,0.666666666666667,-0.5,0.666666666666667,1.18013440415735,0.530547023357426,0.666666666666667,0.668730650154799,"not_significant"
15,"EVT-progenitor","EVT3",2,NA,NA,NA,NA,0.650759218806612,0.00904545952411054,NA,NA,"not_significant"
15,"EVT-progenitor","FIB1",3,1,0,0.5,0.666666666666667,1.16631153972936,1.03419977711444,0,0.668730650154799,"increasing"
15,"EVT-progenitor","FIB2",3,-0.5,0.666666666666667,0.5,0.666666666666667,0.859572082588311,-1.21560876333307,0.666666666666667,0.668730650154799,"not_significant"
15,"EVT-progenitor","Hofbauer cells",3,1,0,0.5,0.666666666666667,0.891106754557437,-0.452383345024495,0,0.668730650154799,"increasing"
15,"EVT-progenitor","STB",3,-0.5,0.666666666666667,-0.5,0.666666666666667,1.07274151749445,0.658103398135549,0.666666666666667,0.668730650154799,"not_significant"
15,"EVT-progenitor","STB-progenitor",3,-0.5,0.666666666666667,-1,0,0.593471809736812,-0.792020743576273,0.666666666666667,0,"not_significant"
15,"EVT-progenitor","vCTB",3,1,0,1,0,1.03995621231308,0.218392964868142,0,0,"increasing"
15,"EVT-progenitor","vCTB1",1,NA,NA,NA,NA,1.40056022369732,0.799256250951149,NA,NA,"not_significant"
15,"EVT-progenitor","vCTB2",1,NA,NA,NA,NA,0,-0.800945164431803,NA,NA,"not_significant"
15,"EVT-progenitor","vCTBp",1,NA,NA,NA,NA,0,-0.304025810298824,NA,NA,"not_significant"
15,"EVT3","Endothelial",2,NA,NA,NA,NA,0.156249999951172,-1.31461470692282,NA,NA,"not_significant"
15,"EVT3","Erythroblasts",2,NA,NA,NA,NA,0.763358777460521,-0.225442353881461,NA,NA,"not_significant"
15,"EVT3","EVT",2,NA,NA,NA,NA,2.11201139035696,0.205185119149887,NA,NA,"not_significant"
15,"EVT3","EVT-progenitor",2,NA,NA,NA,NA,0.458715596119855,-0.292935299737579,NA,NA,"not_significant"
15,"EVT3","EVT3",2,NA,NA,NA,NA,0,-0.578518497945155,NA,NA,"not_significant"
15,"EVT3","FIB1",2,NA,NA,NA,NA,1.0145461559954,-0.0437608332318804,NA,NA,"not_significant"
15,"EVT3","FIB2",2,NA,NA,NA,NA,1.35504966164978,1.36093758571543,NA,NA,"not_significant"
15,"EVT3","Hofbauer cells",2,NA,NA,NA,NA,1.4965244644575,0.813727880106876,NA,NA,"not_significant"
15,"EVT3","STB",2,NA,NA,NA,NA,1.02885305112702,-0.109078567619513,NA,NA,"not_significant"
15,"EVT3","STB-progenitor",2,NA,NA,NA,NA,0.349650349528094,-0.779032250326853,NA,NA,"not_significant"
15,"EVT3","vCTB",2,NA,NA,NA,NA,0.980048881424069,-0.100828468580185,NA,NA,"not_significant"
15,"EVT3","vCTB1",1,NA,NA,NA,NA,0,-1.05651657821446,NA,NA,"not_significant"
15,"EVT3","vCTB2",1,NA,NA,NA,NA,0,-0.441951157513481,NA,NA,"not_significant"
15,"EVT3","vCTBp",1,NA,NA,NA,NA,0,-0.252013169823236,NA,NA,"not_significant"
15,"FIB1","Endothelial",3,-0.5,0.666666666666667,1,0,1.37825421127955,1.12394322836176,0.666666666666667,0,"not_significant"
15,"FIB1","Erythroblasts",3,0.5,0.666666666666667,0.5,0.666666666666667,0.871080139322237,-0.520195085296906,0.666666666666667,0.668730650154799,"not_significant"
15,"FIB1","EVT",2,NA,NA,NA,NA,1.19053635183238,0.527662441223191,NA,NA,"not_significant"
15,"FIB1","EVT-progenitor",3,1,0,1,0,0.886262924405831,-0.199738029189014,0,0,"increasing"
15,"FIB1","EVT3",2,NA,NA,NA,NA,0.638922193196679,-0.625335359712457,NA,NA,"not_significant"
15,"FIB1","FIB1",3,0.5,0.666666666666667,-0.5,0.666666666666667,1.22598489943596,0.873778746505464,0.666666666666667,0.668730650154799,"not_significant"
15,"FIB1","FIB2",3,-1,0,-1,0,1.00186622138295,0.0201708586584383,0,0,"decreasing"
15,"FIB1","Hofbauer cells",3,0.5,0.666666666666667,0.5,0.666666666666667,0.994424464767954,-0.0978611650710302,0.666666666666667,0.668730650154799,"not_significant"
15,"FIB1","STB",3,-1,0,-1,0,0.99255583124088,-0.0457201939389654,0,0,"decreasing"
15,"FIB1","STB-progenitor",3,-1,0,-1,0,1.01979604073067,0.0784167740744475,0,0,"decreasing"
15,"FIB1","vCTB",3,1,0,1,0,0.950255939094631,-0.833888254278389,0,0,"increasing"
15,"FIB1","vCTB1",1,NA,NA,NA,NA,0.636942675024004,-0.79478634725513,NA,NA,"not_significant"
15,"FIB1","vCTB2",1,NA,NA,NA,NA,0,-0.949193163988033,NA,NA,"not_significant"
15,"FIB1","vCTBp",1,NA,NA,NA,NA,0.858369097975649,-0.154300484850181,NA,NA,"not_significant"
15,"FIB2","Endothelial",3,-0.5,0.666666666666667,-0.5,0.666666666666667,0.997467965917326,-0.0189496437285511,0.666666666666667,0.668730650154799,"not_significant"
15,"FIB2","Erythroblasts",3,0.5,0.666666666666667,0.5,0.666666666666667,1.03808991454064,0.286949417645022,0.666666666666667,0.668730650154799,"not_significant"
15,"FIB2","EVT",2,NA,NA,NA,NA,1.07943627889823,0.331220601664572,NA,NA,"not_significant"
15,"FIB2","EVT-progenitor",3,-1,0,-0.5,0.666666666666667,0.891786340287882,-1.13045307680302,0,0.668730650154799,"decreasing"
15,"FIB2","EVT3",2,NA,NA,NA,NA,1.04167270704958,0.0913983952731393,NA,NA,"not_significant"
15,"FIB2","FIB1",3,1,0,1,0,1.0086383382333,0.0866277394935431,0,0,"increasing"
15,"FIB2","FIB2",3,-0.5,0.666666666666667,-0.5,0.666666666666667,1.0133076799711,0.257712245822113,0.666666666666667,0.668730650154799,"not_significant"
15,"FIB2","Hofbauer cells",3,-0.5,0.666666666666667,-0.5,0.666666666666667,0.935153261227662,-0.725144614521162,0.666666666666667,0.668730650154799,"not_significant"
15,"FIB2","STB",3,0.5,0.666666666666667,0.5,0.666666666666667,1.04078901719608,1.13093158258168,0.666666666666667,0.668730650154799,"not_significant"
15,"FIB2","STB-progenitor",3,-0.5,0.666666666666667,-1,0,0.957224050235174,-0.243041448972976,0.666666666666667,0,"not_significant"
15,"FIB2","vCTB",3,1,0,1,0,0.994041145751968,-0.163907989276048,0,0,"increasing"
15,"FIB2","vCTB1",1,NA,NA,NA,NA,0.906931548222547,-0.445224029054394,NA,NA,"not_significant"
15,"FIB2","vCTB2",1,NA,NA,NA,NA,1.47523709136454,1.01823797005254,NA,NA,"not_significant"
15,"FIB2","vCTBp",1,NA,NA,NA,NA,2.16383307506528,1.83916295267697,NA,NA,"not_significant"
15,"Hofbauer cells","Endothelial",3,-1,0,-0.5,0.666666666666667,1.12711333743725,0.47626949541906,0,0.668730650154799,"decreasing"
15,"Hofbauer cells","Erythroblasts",3,-0.5,0.666666666666667,-0.5,0.666666666666667,1.01651842426728,0.0429558012784056,0.666666666666667,0.668730650154799,"not_significant"
15,"Hofbauer cells","EVT",2,NA,NA,NA,NA,0.88420607543525,-0.318564664585799,NA,NA,"not_significant"
15,"Hofbauer cells","EVT-progenitor",3,0.5,0.666666666666667,1,0,0.757575757288797,-0.58310304592596,0.666666666666667,0,"not_significant"
