"","Endothelial","Erythroblasts","EVT-progenitor","FIB1","FIB2","Hofbauer cells","STB","STB-progenitor","vCTB"
"Endothelial",-0.934854945737303,-1.30018755828212,-0.685404740560907,2.64844572726983,-2.4533016238251,-1.55411102306308,2.96380510988368,-0.398799847936957,1.06441424826065
"Erythroblasts",-1.15129632108652,1.0103678119751,-2.01258173451623,3.05643656786968,-2.31961265161918,-1.95054375723108,1.75895579417862,-0.963406691329192,2.69952491227618
"EVT-progenitor",-1.23633606196487,-1.43515456921547,-0.865329837526495,4.20176369423895,-1.47720142560027,-3.52719753106746,2.1469580748046,-0.1327797015187,2.05840516600889
"FIB1",-0.332594515054708,-2.80317498356397,0.686561899616509,2.19251178269787,-0.956598656752175,-2.56195186991291,3.85464048025446,1.28059886672584,0.0285740536467557
"FIB2",0.61618780148561,-2.11476452418386,-1.38000177893461,5.52690620399971,-4.47235106590856,-4.99067593220785,4.17344148752066,0.912680862644388,5.60752706214503
"Hofbauer cells",0.0965870301528389,-0.872661165158412,-1.37931904449307,6.25511344613314,-3.57055348263322,-5.74492469178234,5.09125865416815,-1.17634305267838,3.06386848107529
"STB",-0.10277235542589,-1.67531309273451,-1.67031457631361,5.29216448247674,-3.33845822855735,-3.50954917121243,3.56163355333692,-0.051590419774605,3.07339079355292
"STB-progenitor",-0.517220596832804,0.156515359704779,-0.271053564202954,-0.172170853576099,-0.951643813538043,0.18775801715088,-0.0393995162997672,-0.263004035016366,1.62401558669529
"vCTB",-0.141741047957404,-0.531109531754915,0.0076577187550949,4.327708551486,-4.12940262987835,-3.41413772963295,4.31428579847954,-0.68187857828204,2.96996553643233
