"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.000504878900003943,0.983473273797945,0.102,0.054,1,"N3","PRDM11"
0.000507029714678654,0.64298441801523,0.185,0.118,1,"N3","XYLB"
0.000510854535553496,0.395361280615752,0.653,0.585,1,"N3","PDZD2"
0.000516966472900165,0.85435504162808,0.116,0.063,1,"N3","CHMP1A"
0.000523432341747892,0.751701864565728,0.14,0.081,1,"N3","AKTIP"
0.000524829795652128,0.613759765028591,0.234,0.159,1,"N3","SERINC2"
0.000529142831233534,0.377529435456684,0.659,0.605,1,"N3","ZDHHC20"
0.000531626762061704,0.500486608063526,0.737,0.721,1,"N3","UTRN"
0.000545595224502867,0.438236427440495,0.435,0.328,1,"N3","NIBAN2"
0.000552451323971668,0.334947715096476,0.731,0.68,1,"N3","TRAPPC9"
0.000560787400014852,0.543944000711866,0.707,0.664,1,"N3","RHOBTB1"
0.000569202979721147,0.484103811511752,0.656,0.62,1,"N3","MYOF"
0.000573108977090279,0.476981711081273,0.387,0.295,1,"N3","UBE2G2"
0.000580501060291507,0.527810539155862,0.231,0.157,1,"N3","CHTOP"
0.000585786618628183,0.548178336849824,0.255,0.179,1,"N3","AP002336.2"
0.0005860999843687,0.710239722137832,0.129,0.074,1,"N3","ADCY10"
0.000588110515967339,0.35721007055263,0.312,0.221,1,"N3","CRYZL1"
0.000588745478920981,0.574397332757818,0.226,0.152,1,"N3","TAPT1-AS1"
0.000603953995209201,0.476825846087417,0.368,0.279,1,"N3","NCBP3"
0.000611785932464164,0.520769465663496,0.25,0.173,1,"N3","XXYLT1"
0.000611871168153671,0.59064106001109,0.613,0.57,1,"N3","KANK1"
0.000613865356994437,0.318621572875383,0.425,0.317,1,"N3","CPPED1"
0.000614471131163445,0.606965195214249,0.18,0.114,1,"N3","NPIPB4"
0.000616517688004189,0.400861077763127,0.336,0.248,1,"N3","PMS1"
0.000618685508966611,0.751275094841897,0.124,0.07,1,"N3","SPC25"
0.000626170381216093,0.880118137693162,0.11,0.06,1,"N3","PLXNB1"
0.000634737286167635,0.314396987013657,0.747,0.723,1,"N3","GPBP1"
0.000647203291534541,0.355184453257682,0.325,0.233,1,"N3","GLDC"
0.000650370661206862,0.43738695378824,0.382,0.291,1,"N3","TMEM161B"
0.000660211881371815,0.322278954006347,0.745,0.695,1,"N3","ANK3"
0.000661705496905121,0.52673942975254,0.226,0.152,1,"N3","NFE2L3"
0.000663775157662926,0.479568661884431,0.36,0.278,1,"N3","DNMT1"
0.000680003944092444,0.581170561353244,0.39,0.302,1,"N3","NPLOC4"
0.000682443156106483,0.376853455402582,0.409,0.315,1,"N3","DHX32"
0.00068299142791001,0.59959788688296,0.28,0.199,1,"N3","SLC9A1"
0.000683937477380047,0.721344888776849,0.188,0.121,1,"N3","GAN"
0.000693603335072661,0.574397332757818,0.258,0.179,1,"N3","ZNF730"
0.000697042029953244,0.513044853094791,0.379,0.285,1,"N3","ZBTB10"
0.000700530816296277,0.51488855307848,0.266,0.188,1,"N3","CLASRP"
0.000705525568438381,0.83222344758885,0.151,0.092,1,"N3","ARNTL"
0.000706596798878046,0.421364110714279,0.626,0.562,1,"N3","LGR4"
0.000715928296997039,0.533321389754902,0.288,0.21,1,"N3","ITGA6"
0.000716489027239935,0.63898103896801,0.145,0.086,1,"N3","ZNF790"
0.00072697902023427,0.761482885358313,0.159,0.098,1,"N3","ANKS3"
0.000730026486926792,0.32973004246714,0.597,0.518,1,"N3","PPARD"
0.000730428538054594,0.718132810219267,0.132,0.076,1,"N3","SPINDOC"
0.000749602490056277,0.306733848954196,0.828,0.812,1,"N3","CTNND1"
0.000751414370552307,0.892096714189993,0.255,0.178,1,"N3","MARCH3"
0.000756273402168665,0.839273085415779,0.183,0.119,1,"N3","SLC1A2"
0.000762911691259483,0.337766773058026,0.301,0.215,1,"N3","CEP152"
0.000769636532150234,0.411326002356568,0.554,0.49,1,"N3","GATAD2A"
0.000771336674785713,0.450006470520628,0.263,0.186,1,"N3","TAF4B"
0.000780143670132328,0.307499098422626,0.863,0.859,1,"N3","CRIM1"
0.000787796264004746,0.491296117292548,0.32,0.238,1,"N3","ANAPC4"
0.000789534152313367,0.628895287879324,0.218,0.148,1,"N3","ITGB4"
0.00079832322028436,0.441130801894354,0.371,0.28,1,"N3","MVB12B"
0.00081437781249216,0.808285392932095,0.167,0.106,1,"N3","TFCP2L1"
0.00081941411686715,0.305679769912548,0.769,0.73,1,"N3","ACBD6"
0.000822735895129741,0.52377125968785,0.304,0.223,1,"N3","GNG12-AS1"
0.000826132453988202,0.418963333912495,0.164,0.103,1,"N3","CEMIP"
0.000828397888238707,0.769431638473804,0.153,0.095,1,"N3","PYM1"
0.000833893750000582,0.650810448276986,0.188,0.123,1,"N3","CNOT11"
0.000835303835648067,0.658461597546292,0.199,0.132,1,"N3","ZNF175"
0.000837230995323898,0.78917656998439,0.212,0.147,1,"N3","TBC1D2"
0.000837860587857936,0.907821066483009,0.108,0.059,1,"N3","ADCY2"
0.000840865180519457,0.819773072095105,0.121,0.069,1,"N3","TMEM44"
