"","Endothelial_cells","EVT2","EVT3","Fibroblast1","Fibroblast2","Hofbauer cells","maternal macrophages","STB","unknown2","unknown3","vCTB2","vCTBp"
"Endothelial_cells",-0.721371064421541,-0.946097315352198,0.435191073847166,1.04612231614712,5.35994582083457,3.21106484646466,0.428952013141071,-0.973063206027903,0.118503270172642,-1.86344589676515,-4.21366311910741,-0.841248278964606
"EVT2",0.543554850925141,1.30636857837078,0.708015197673074,0.440658304769173,1.30811632227912,1.15359582468439,0.985252006132912,2.23061673995386,-2.05857181395764,-0.173193176801471,-4.86947143809538,-0.0523053930138105
"EVT3",0.172457735893981,-0.869123926509585,-1.96577720948486,-0.0191286212742102,2.35194101936238,2.58087212799751,1.94814796645712,-1.09805289980097,-1.82197820619399,-1.02810529251609,-0.758354483934902,1.14102575291468
"Fibroblast1",-0.716447581254658,0.059739071828025,-0.112576103024387,-1.87868398492581,-0.0458926630134331,0.884757738996653,0.459026328428737,2.37609363556473,-2.69497082805327,0.635880798441813,-0.895328501422605,-0.375125010911702
"Fibroblast2",1.0205643729816,-0.896398979135597,0.144799930140992,2.55408150871381,6.00112851688656,3.42677088234972,0.593493925769271,-4.02867890094805,-2.19268045420893,-0.982689094797242,-3.49908031382124,-0.341686931867016
"Hofbauer cells",0.524991236757108,-5.07991001978868,1.01387046729681,1.67498283362839,-2.39386060048058,-1.50499849463677,-0.460796288439179,4.60545071300127,-0.752908094790638,1.53332135850581,2.05615950609628,1.58418645893882
"maternal macrophages",-0.151648714024741,4.84518372423245,0.217688063815686,-1.89820449641442,-4.33929396924399,-1.62867356791978,-0.531224300406188,2.59614291036872,1.37336739264541,-1.96988655006439,0.455983637191413,-0.400700271343967
"STB",-0.463014106587718,-0.724261173437213,-0.630372233978746,1.28014677412147,0.779996661982826,-0.14089266046098,0.296397708559131,2.08619905511642,-1.55559543914927,-0.864774715487932,-1.26354415060907,-0.78081583281606
"unknown2",-0.335564310972215,1.99828714021074,-0.434143884188403,-0.0990185505923206,-2.01861488766367,-0.801162885479377,-0.366397176011139,1.49483103213822,-0.111424098616327,0.0672569636812367,-0.28060594603849,0.786301892961029
"unknown3",0.0609455238243975,-1.4276185328986,0.077247958780153,0.243513009669203,-1.2430484466109,2.95430878733188,-0.411475810112077,3.34970628097735,-1.00986890603025,-0.451732302449471,-0.917720358458238,-0.699583171947711
"vCTB2",-0.647910595483273,1.41872107375672,-0.43963628564743,-0.0341086626794813,2.18344157179033,1.79466238422895,0.605630176282724,2.75942320828535,0.233638857178247,-0.432151428515366,-5.65067120672713,0.195532904875928
"vCTBp",-1.34400977447665,2.7883639447531,2.00523611723874,-1.37920582782254,0.296737321452915,-0.977708118396463,0.401293768731147,-0.498591025346558,1.34468926548157,-1.63378137721724,-0.562354571002936,-1.28036605490025
