"","Endothelial_cells","EVT2","EVT3","Fibroblast1","Fibroblast2","Hofbauer cells","maternal macrophages","STB","unknown2","unknown3","vCTB2","vCTBp"
"Endothelial_cells",15,336,24,122,270,79,4,217,5,54,464,10
"EVT2",324,4525,320,1697,4086,1042,100,2915,53,764,6370,104
"EVT3",24,252,20,99,232,71,7,210,5,35,492,3
"Fibroblast1",136,1472,123,664,1717,469,31,1136,25,317,2497,38
"Fibroblast2",296,4035,242,1592,3703,1021,93,2697,59,691,6028,93
"Hofbauer cells",70,1199,71,393,948,268,30,650,14,185,1522,25
"maternal macrophages",3,107,9,40,107,31,3,38,2,16,118,1
"STB",213,2793,187,1162,2605,686,78,1852,39,555,4239,66
"unknown2",7,58,3,33,111,24,4,33,0,12,112,3
"unknown3",50,698,46,358,794,240,14,524,9,153,1198,16
"vCTB2",488,6699,432,2641,6228,1651,151,4550,106,1187,9634,158
"vCTBp",5,122,2,42,84,26,0,75,2,16,200,1
