"","Endothelial_cells","EVT2","EVT3","Fibroblast1","Fibroblast2","Hofbauer cells","maternal macrophages","STB","unknown2","unknown3","vCTB2","vCTBp"
"Endothelial_cells",25.755,278.08,84.75,60.73,170.865,55.34,8.015,57.945,2.68,26.91,192.715,4.215
"EVT2",278.05,2967.93,906.115,646.215,1807.445,592.25,87.57,632.8,24.955,285.605,2055.165,43.9
"EVT3",85.73,907.495,275.735,198.305,550.855,179.865,26.48,192.585,7.825,88.115,625.95,13.06
"Fibroblast1",60.115,645.855,199.275,141.625,394.305,128.285,19.005,134.27,5.59,62.125,447.845,9.705
"Fibroblast2",170.135,1809.865,554.67,391.775,1103.58,361.99,53.645,386.33,14.91,174.03,1248.39,26.68
"Hofbauer cells",55.19,589.69,181.34,127.39,359.79,116.035,17.135,124.505,5.02,56.495,406.635,8.775
"maternal macrophages",8.325,88.43,26.57,18.85,53.615,16.81,2.76,18.52,0.695,8.235,59.825,1.365
"STB",60.41,629.74,191.875,137.695,386.035,123.06,18.535,133.42,5.56,60.385,436.135,9.15
"unknown2",2.49,25.395,7.68,5.6,15.215,5.035,0.785,5.14,0.2,2.535,17.525,0.4
"unknown3",26.69,286.03,87.67,60.575,173.115,56.06,8.47,62.335,2.745,26.755,197.685,3.87
"vCTB2",191.42,2052.3,623.66,446.26,1253.855,406.43,59.38,434.945,17.755,195.97,1415.88,30.145
"vCTBp",4.065,42.81,13.06,9.775,27.27,8.69,1.355,9.225,0.395,4.455,30.285,0.615
