"k","from","to","n_weeks","rho_z","p_z","rho_l2fc","p_l2fc","median_obs_over_exp","median_z","p_adj_z","p_adj_l2fc","trend"
8,"Fibroblast1","unknown3",2,NA,NA,NA,NA,0.904580418962449,-0.768221512377378,NA,NA,"not_significant"
8,"Fibroblast1","vCTB2",2,NA,NA,NA,NA,0.967329346814536,-0.767225259436226,NA,NA,"not_significant"
8,"Fibroblast1","vCTBp",2,NA,NA,NA,NA,0.783078562327873,-0.703516972454892,NA,NA,"not_significant"
8,"Fibroblast2","Endothelial_cells",2,NA,NA,NA,NA,0.953014480042604,-0.522084053322039,NA,NA,"not_significant"
8,"Fibroblast2","EVT2",2,NA,NA,NA,NA,1.09956765717979,4.24834192194987,NA,NA,"not_significant"
8,"Fibroblast2","EVT3",2,NA,NA,NA,NA,1.02464056355798,-0.161102134037541,NA,NA,"not_significant"
8,"Fibroblast2","Fibroblast1",2,NA,NA,NA,NA,1.06910429098517,1.5088150900109,NA,NA,"not_significant"
8,"Fibroblast2","Fibroblast2",2,NA,NA,NA,NA,0.906832787809985,-3.47559882591955,NA,NA,"not_significant"
8,"Fibroblast2","Hofbauer cells",2,NA,NA,NA,NA,0.915977334543092,-1.62661760418752,NA,NA,"not_significant"
8,"Fibroblast2","maternal macrophages",2,NA,NA,NA,NA,0.935944459839468,-0.44904556925124,NA,NA,"not_significant"
8,"Fibroblast2","STB",2,NA,NA,NA,NA,1.05419198395551,1.0550286215763,NA,NA,"not_significant"
8,"Fibroblast2","unknown2",2,NA,NA,NA,NA,1.2274341527852,0.819671959372623,NA,NA,"not_significant"
8,"Fibroblast2","unknown3",2,NA,NA,NA,NA,0.841033419955739,-2.20017453547259,NA,NA,"not_significant"
8,"Fibroblast2","vCTB2",2,NA,NA,NA,NA,0.997083133848997,-0.022907740745308,NA,NA,"not_significant"
8,"Fibroblast2","vCTBp",2,NA,NA,NA,NA,0.719213135123933,-1.62939833211599,NA,NA,"not_significant"
8,"Hofbauer cells","Endothelial_cells",2,NA,NA,NA,NA,0.907496815969816,-0.335964011392167,NA,NA,"not_significant"
8,"Hofbauer cells","EVT2",2,NA,NA,NA,NA,1.04139199837633,1.16385802758081,NA,NA,"not_significant"
8,"Hofbauer cells","EVT3",2,NA,NA,NA,NA,1.12915698656922,0.957790215006681,NA,NA,"not_significant"
8,"Hofbauer cells","Fibroblast1",2,NA,NA,NA,NA,0.926620749431946,-0.675617314257192,NA,NA,"not_significant"
8,"Hofbauer cells","Fibroblast2",2,NA,NA,NA,NA,1.04154021868735,0.643867478729734,NA,NA,"not_significant"
8,"Hofbauer cells","Hofbauer cells",2,NA,NA,NA,NA,0.98527455200132,-0.133901211707991,NA,NA,"not_significant"
8,"Hofbauer cells","maternal macrophages",2,NA,NA,NA,NA,0.814676335843361,-0.438602832463526,NA,NA,"not_significant"
8,"Hofbauer cells","STB",2,NA,NA,NA,NA,0.943893309065377,-0.556202141932561,NA,NA,"not_significant"
8,"Hofbauer cells","unknown2",2,NA,NA,NA,NA,0.298804780816971,-1.45334041826107,NA,NA,"not_significant"
