"","Endothelial_cells","EVT2","EVT3","Fibroblast1","Fibroblast2","Hofbauer cells","maternal macrophages","STB","unknown2","unknown3","vCTB2","vCTBp"
"Endothelial_cells",22.8,311.46,20.35,121.025,290.11,75.54,6.675,205.095,5.355,57.165,475.935,8.49
"EVT2",311.835,4369.865,285.975,1688.63,4012.16,1049.325,92.905,2846.25,78.82,801.555,6648.955,113.725
"EVT3",19.59,282.545,18.79,110.015,262.36,67.96,6.395,183.585,5.29,52.63,433.43,7.41
"Fibroblast1",121.07,1692.21,108.855,652.585,1558.425,405.815,35.93,1098.54,30.435,309.36,2568.25,43.525
"Fibroblast2",285.33,4021.08,260.76,1557.885,3705.2,973.74,85.545,2617.82,71.99,740.94,6126.865,102.845
"Hofbauer cells",77,1052.605,67.62,407.59,970.935,251.86,22.4,686.445,19.26,193.67,1598.425,27.19
"maternal macrophages",7.03,92.365,6.075,36.36,85.785,22.755,2.1,60.195,1.63,16.79,141.635,2.28
"STB",203.68,2827.645,185.015,1094.745,2611.77,682.83,59.805,1844.835,51.05,523.64,4316.245,73.74
"unknown2",5.51,77.895,5.03,30.53,71.725,19.16,1.85,51.065,1.245,14.325,119.53,2.135
"unknown3",58.185,804.18,52.03,311.12,738.125,193.905,17.445,522.855,14.115,148.585,1219.06,20.395
"vCTB2",474.995,6642.275,433.345,2568.155,6137.165,1597.8,139.615,4312.3,119.11,1219.325,10109.23,171.685
"vCTBp",7.95,111.235,7.32,43.49,104.685,26.97,2.495,72.61,2.11,21.04,172.16,2.935
