"week","niche_cluster","celltype","n_cells","frac"
11,"N5","Hofbauer cells",58,0.360248447204969
11,"N5","STB",10,0.062111801242236
11,"N5","vCTB",8,0.0496894409937888
11,"N6","vCTB",52,1
11,"N7","FIB2",10,0.5
11,"N7","Hofbauer cells",7,0.35
11,"N7","STB",2,0.1
11,"N7","vCTB",1,0.05
11,"N8","EVT-progenitor",2,0.0307692307692308
11,"N8","Erythroblasts",1,0.0153846153846154
11,"N8","FIB1",2,0.0307692307692308
11,"N8","FIB2",19,0.292307692307692
11,"N8","Hofbauer cells",12,0.184615384615385
11,"N8","STB",23,0.353846153846154
11,"N8","STB-progenitor",1,0.0153846153846154
11,"N8","vCTB",5,0.0769230769230769
