"","Endothelial","Erythroblasts","EVT","EVT-progenitor","EVT3","FIB1","FIB2","Hofbauer cells","STB","STB-progenitor","vCTB","vCTB1","vCTB2"
"Endothelial",40,14,49,24,8,36,172,95,329,30,310,12,1
"Erythroblasts",13,2,15,4,3,6,41,22,65,10,58,1,0
"EVT",75,13,84,50,15,74,309,191,616,75,479,18,1
"EVT-progenitor",26,4,40,19,4,32,126,83,258,27,210,8,3
"EVT3",8,3,21,6,2,8,28,20,68,10,64,2,0
"FIB1",35,4,68,22,4,40,170,97,323,43,258,13,3
"FIB2",182,33,276,131,29,184,841,427,1631,195,1365,48,18
"Hofbauer cells",105,16,159,75,17,100,464,274,961,104,759,36,10
"STB",364,54,547,282,52,338,1548,888,3183,375,2700,116,33
"STB-progenitor",36,11,61,21,7,37,162,100,328,36,270,9,2
"vCTB",296,51,451,236,54,278,1404,769,2634,270,2165,95,17
"vCTB1",11,2,21,10,2,19,57,35,127,16,98,0,2
"vCTB2",2,1,3,3,0,5,7,9,21,7,21,0,1
