"","Endothelial_cells","EVT2","EVT3","Fibroblast1","Fibroblast2","Hofbauer cells","maternal macrophages","STB","unknown2","unknown3","vCTB2","vCTBp"
"Endothelial_cells",81.26,871.315,263.635,191.795,531.93,171,25.8,185.81,7.615,84.26,598.165,12.415
"EVT2",871.93,9283.37,2836.38,2025.145,5654.46,1841.605,273.905,1969.25,79.87,892.625,6410.68,135.78
"EVT3",264.925,2831.175,869.17,614.48,1731.155,564.36,83.71,601.645,24.5,270.04,1952.655,42.185
"Fibroblast1",190.455,2017.815,618.91,440.47,1231.325,401.455,59.48,428.93,16.875,194.95,1394.605,29.73
"Fibroblast2",529.115,5660.08,1722.175,1232.425,3451.465,1123.2,165.875,1202.875,48.46,545.7,3909.23,84.4
"Hofbauer cells",173.275,1842.21,560.295,397.78,1124.765,362.195,55.475,391.295,15.905,176.15,1272.815,27.84
"maternal macrophages",25.07,273.215,83.985,59.02,166.57,54.52,8.49,57.85,2.55,25.465,189.17,4.095
"STB",183.915,1968.855,603.515,431.235,1199.57,389.28,58.49,418.805,16.92,189.735,1360.51,29.17
"unknown2",7.435,79.125,23.905,17.28,48.39,15.84,2.4,16.725,0.74,8.11,53.765,1.285
"unknown3",82.685,890.955,272.69,193.53,542.715,178.055,26.555,188.44,7.37,86.055,618.05,12.9
"vCTB2",600.59,6398.48,1954.855,1398.575,3913.75,1269.72,186.14,1363.545,53.85,612.9,4428.255,94.34
"vCTBp",13.065,136,40.595,30.19,84.48,26.52,3.75,29.46,1.105,13,94.79,2.045
