"","Endothelial","Erythroblasts","EVT","EVT-progenitor","EVT3","FIB1","FIB2","Hofbauer cells","STB","STB-progenitor","vCTB","vCTB1","vCTB2"
"Endothelial",24,6,43,16,4,27,108,59,191,22,187,8,5
"Erythroblasts",4,0,10,1,0,4,23,16,43,7,39,2,1
"EVT",30,11,60,27,10,45,190,114,368,38,344,11,2
"EVT-progenitor",24,4,30,10,0,12,70,37,175,25,132,6,0
"EVT3",2,0,6,4,1,8,22,14,52,5,32,3,1
"FIB1",30,3,32,21,6,22,102,56,213,19,162,9,0
"FIB2",129,13,183,88,25,106,515,291,1030,102,817,42,9
"Hofbauer cells",61,13,102,49,6,56,288,163,585,73,503,17,9
"STB",216,35,350,155,35,209,964,564,2091,206,1646,61,18
"STB-progenitor",28,4,35,15,3,28,115,52,210,27,143,12,3
"vCTB",187,39,272,139,21,176,851,446,1699,192,1358,54,16
"vCTB1",9,1,22,8,2,8,37,19,82,10,49,3,0
"vCTB2",1,0,3,1,0,2,11,3,16,1,12,0,0
