"dataset","niche_cluster","gene","avg_diff","p_val","p_adj"
"Slide-tags","N1","CLIP4",0.602325659426891,0.00112930547713156,0.188217579521927
"Slide-tags","N1","PPIB",0.55702916133537,0.00112930547713156,0.188217579521927
"Slide-tags","N1","LSM14A",0.348595085104493,0.00112930547713156,0.188217579521927
"Slide-tags","N1","DAAM1",0.322467041898988,0.00112930547713156,0.188217579521927
"Slide-tags","N1","GCLM",0.23634880048744,0.00112930547713156,0.188217579521927
"Slide-tags","N1","SGCE",0.219148602080361,0.00112930547713156,0.188217579521927
"Slide-tags","N1","SLC44A2",0.172117776966604,0.00112930547713156,0.188217579521927
"Slide-tags","N1","NDUFA10",-0.140493769615383,0.00112930547713156,0.188217579521927
"Slide-tags","N1","AP1B1",-0.183454591076998,0.00112930547713156,0.188217579521927
"Slide-tags","N1","AKAP13",-0.192398658786959,0.00112930547713156,0.188217579521927
"Slide-tags","N1","IDE",-0.198643655391224,0.00112930547713156,0.188217579521927
"Slide-tags","N1","ESF1",-0.215157106894328,0.00112930547713156,0.188217579521927
"Slide-tags","N1","PTPRA",-0.229321650652377,0.00112930547713156,0.188217579521927
"Slide-tags","N1","MORF4L2",-0.248463318631314,0.00112930547713156,0.188217579521927
"Slide-tags","N1","CDK12",-0.264437371930678,0.00112930547713156,0.188217579521927
"Slide-tags","N1","GIGYF2",-0.308587902274697,0.00112930547713156,0.188217579521927
"Slide-tags","N1","RBM33",-0.312103354199346,0.00112930547713156,0.188217579521927
"Slide-tags","N1","WDR70",-0.318207197780088,0.00112930547713156,0.188217579521927
"Slide-tags","N1","SLC1A3",-0.318275123034979,0.00112930547713156,0.188217579521927
"Slide-tags","N1","EEA1",-0.358642240609106,0.00112930547713156,0.188217579521927
"Slide-tags","N1","HELZ",-0.369816329876119,0.00112930547713156,0.188217579521927
"Slide-tags","N1","TPM1",-0.379719152262348,0.00112930547713156,0.188217579521927
"Slide-tags","N1","ARIH1",-0.381944214004368,0.00112930547713156,0.188217579521927
"Slide-tags","N1","TRA2B",-0.384578376289203,0.00112930547713156,0.188217579521927
"Slide-tags","N1","TACC1",-0.401618790557454,0.00112930547713156,0.188217579521927
"Slide-tags","N1","ADAM9",-0.423798753404352,0.00112930547713156,0.188217579521927
"Slide-tags","N1","COMMD10",-0.447129933961454,0.00112930547713156,0.188217579521927
"Slide-tags","N1","ABCA1",-0.471454186895207,0.00112930547713156,0.188217579521927
"Slide-tags","N1","GNAQ",-0.501071511425073,0.00112930547713156,0.188217579521927
"Slide-tags","N1","MBNL1",-0.508460768875743,0.00112930547713156,0.188217579521927
"Slide-tags","N1","OSMR",0.486307395514594,0.00225861095426313,0.256660335711719
"Slide-tags","N1","POT1",-0.181032373624846,0.00225861095426313,0.256660335711719
"Slide-tags","N1","RILPL1",-0.198058719676404,0.00225861095426313,0.256660335711719
"Slide-tags","N1","BTG3",-0.203277987266886,0.00225861095426313,0.256660335711719
"Slide-tags","N1","C2CD5",-0.253310361755598,0.00225861095426313,0.256660335711719
"Slide-tags","N1","RAB8B",-0.271274806848988,0.00225861095426313,0.256660335711719
"Slide-tags","N1","PPP1R12A",-0.280808942424522,0.00225861095426313,0.256660335711719
"Slide-tags","N1","OSBPL8",-0.302438275870424,0.00225861095426313,0.256660335711719
"Slide-tags","N1","CPNE8",-0.330996009909747,0.00225861095426313,0.256660335711719
"Slide-tags","N1","WASF2",-0.334000258702048,0.00225861095426313,0.256660335711719
"Slide-tags","N1","TCERG1",-0.339534822404147,0.00225861095426313,0.256660335711719
"Slide-tags","N1","GATAD2B",-0.344051293591191,0.00225861095426313,0.256660335711719
"Slide-tags","N1","KHDRBS1",-0.36445116027393,0.00225861095426313,0.256660335711719
"Slide-tags","N1","CDK17",-0.378839108653454,0.00225861095426313,0.256660335711719
"Slide-tags","N1","ANXA6",0.3735137572058,0.00451722190852626,0.313695965869879
"Slide-tags","N1","SELENOI",0.236546754691651,0.00451722190852626,0.313695965869879
"Slide-tags","N1","SRPK1",0.21361398512287,0.00451722190852626,0.313695965869879
"Slide-tags","N1","POLR2B",-0.118060340070406,0.00451722190852626,0.313695965869879
"Slide-tags","N1","SEPTIN10",-0.139436553936159,0.00451722190852626,0.313695965869879
"Slide-tags","N1","SNX5",-0.164707480262854,0.00451722190852626,0.313695965869879
"Slide-tags","N1","TOP2B",-0.180321536834328,0.00451722190852626,0.313695965869879
"Slide-tags","N1","MIS18BP1",-0.205948282083488,0.00451722190852626,0.313695965869879
"Slide-tags","N1","KDM5A",-0.216057578571105,0.00451722190852626,0.313695965869879
"Slide-tags","N1","BMT2",-0.217133203596012,0.00451722190852626,0.313695965869879
"Slide-tags","N1","NPEPPS",-0.224602947851792,0.00451722190852626,0.313695965869879
"Slide-tags","N1","LRPPRC",-0.229043844229648,0.00451722190852626,0.313695965869879
"Slide-tags","N1","SLC25A36",-0.234378144585826,0.00451722190852626,0.313695965869879
"Slide-tags","N1","CAPZA1",-0.23945981714452,0.00451722190852626,0.313695965869879
"Slide-tags","N1","PPA2",-0.242841956939804,0.00451722190852626,0.313695965869879
"Slide-tags","N1","UBE3A",-0.243974997024194,0.00451722190852626,0.313695965869879
"Slide-tags","N1","DDX10",-0.250286130980152,0.00451722190852626,0.313695965869879
"Slide-tags","N1","ATP11B",-0.262628570785164,0.00451722190852626,0.313695965869879
"Slide-tags","N1","H2AFY",-0.27672833580477,0.00451722190852626,0.313695965869879
"Slide-tags","N1","ARHGEF3",-0.295223578422961,0.00451722190852626,0.313695965869879
