"niche_cluster","Endothelial_cells","EVT2","EVT3","Fibroblast1","Fibroblast2","Hofbauer cells","maternal macrophages","STB","unknown2","unknown3","vCTB2","vCTBp","n_cells"
"N1",0.00835472578763127,0.578996499416569,0.0681913652275379,0.03463243873979,0.106371061843641,0.0286114352392065,0.00326721120186698,0.0397666277712952,0.000373395565927655,0.0124154025670945,0.116406067677946,0.00261376896149358,857
"N2",0.00960714285714286,0.306892857142857,0.0526071428571429,0.0436071428571429,0.0509642857142857,0.0183214285714286,0.00675,0.124607142857143,0.0055,0.0402142857142857,0.3325,0.00842857142857143,1120
"N3",0.000775510204081633,0.904897959183673,0.0451020408163265,0.00383673469387755,0.0109795918367347,0.00404081632653061,4.08163265306122e-05,0.00212244897959184,0.000693877551020408,0.00187755102040816,0.0250204081632653,0.000612244897959184,980
"N4",0.0163986013986014,0.0857692307692308,0.013951048951049,0.0687412587412587,0.0834965034965035,0.0222027972027972,0.00527972027972028,0.112517482517483,0.00342657342657343,0.045979020979021,0.536293706293706,0.00594405594405594,1144
"N5",0.0408735398679533,0.0529405789740985,0.00615540883697308,0.138141188420518,0.274210259014728,0.0827831386490604,0.0117013712544439,0.0746368715083799,0.00363636363636364,0.0367089893346877,0.271772473336719,0.00643981716607415,1969
"N6",0.02171875,0.1065,0.0225625,0.07078125,0.05615625,0.0263125,0.00471875,0.31534375,0.0035,0.046,0.3224375,0.00396875,1280
"N7",0.00111111111111111,0.265222222222222,0.671666666666667,0.00277777777777778,0.00155555555555556,0.00166666666666667,0.00311111111111111,0.00611111111111111,0,0.00677777777777778,0.04,0,360
"N8",0.0301126972201352,0.0322163786626597,0.000601051840721262,0.0803305785123967,0.541697971450038,0.148009015777611,0.00706235912847483,0.0201953418482344,0.000510894064613073,0.0229902329075883,0.114680691209617,0.00159278737791134,1331
