"","Endothelial","Erythroblasts","EVT-progenitor","FIB1","FIB2","Hofbauer cells","STB","STB-progenitor","vCTB"
"Endothelial",0.95,3.415,9.075,13.315,47.16,42.315,24.375,0.21,19.185
"Erythroblasts",3.39,12.255,32.285,46.66,164.98,146.935,85.93,0.95,66.615
"EVT-progenitor",9.57,31.205,82.145,119.65,427.38,375.39,220.32,2.215,172.125
"FIB1",13.475,47.9,118.425,176.325,628.91,553.525,325.645,3.29,252.505
"FIB2",48.13,168.525,432.71,631.91,2254.735,1979.225,1170.24,11.865,902.66
"Hofbauer cells",42.045,146.665,379.885,557.505,1977.355,1739.46,1028.5,10.535,798.05
"STB",24.655,86.455,221.3,324.535,1159.685,1025.085,602.205,6.165,469.915
"STB-progenitor",0.28,0.855,2.38,3.28,11.795,10.475,6.09,0.065,4.78
"vCTB",18.81,67.495,172.88,253.605,902.005,790.2,467.185,4.915,362.905
