"","Endothelial","Erythroblasts","EVT","EVT-progenitor","EVT3","FIB1","FIB2","Hofbauer cells","STB","STB-progenitor","vCTB","vCTBp"
"Endothelial",1.86320037275755,1.1390105107812,-1.09746606860885,-1.56592018235095,-0.569958718489794,0.219640921202712,-1.21442169461536,0.709109546170446,0.601345933074153,-0.140790591108992,-0.449789246664475,-0.36094896494372
"Erythroblasts",0.149104333048076,-2.06963407779635,-0.013340336793041,-0.0972890147161417,-0.433058040850172,0.193474693366489,-0.321251501554269,2.22562844162753,0.224021190817686,-1.37982711121241,0.245787253075294,-0.873978479186758
"EVT",0.132002868359167,-0.140745794330232,1.17637178296353,0.393208898268497,-0.636233003071958,-0.216101684071659,0.680485966506016,-0.561162529530524,0.804840452983598,-0.290487267188674,-0.726341833031479,-0.511631223923088
"EVT-progenitor",-0.664600283596459,0.461569711103008,0.457437759419796,-0.771037283538216,-0.506680560155229,1.80468214785888,-1.22357593300192,0.0603098500540353,-0.913332250097792,-0.397107032020658,0.952328892640599,-0.390355353555412
"EVT3",-1.8145611823676,2.55584575664304,-0.714804829592071,-0.597123705749883,-0.461533259221576,-0.962336220400562,2.0260542195265,1.00946515356941,-0.688004007326897,-1.31445696159388,-0.668369636926455,-0.395155161061467
"FIB1",-0.552456048156953,-0.460446963705311,-1.21004757036192,-1.54830248684756,1.51616864112166,2.06741998065808,-1.1848185531811,0.595246068079347,0.484839501266276,-0.734390439137283,0.401912301093818,-1.22672257756519
"FIB2",-0.157436138359159,-0.346522263247523,-0.540958836028111,-1.08904018527026,-1.35136122474197,0.616187033407055,1.26024496047377,-0.556739481133333,0.160767436562416,-1.13993129236288,0.0494485825622368,-0.510073469699242
"Hofbauer cells",-0.0068714373854635,-0.664741383484412,-1.68327168021016,-1.71585401533827,-0.10758034259064,1.61796282837017,0.294512435996316,-0.385255891015128,0.351527515166378,-0.519149899757009,-0.0967241369624772,0.282974407893015
"STB",-0.212687676588968,-1.38420837560139,-1.16437108680198,-0.841723734494596,-0.0791650155606013,-0.824757627530403,0.489299689278115,0.939401611834073,2.09161802073007,-1.14334069228534,-0.197048904620642,-0.799021947976205
"STB-progenitor",-0.0910678982582466,1.57300810599578,0.194806757383278,-1.50458267641431,0.227908527906807,-1.22515941535434,-1.12714626737245,0.518594359985948,-0.0728789057117461,0.225012290661388,0.988967470586334,0.137670344433818
"vCTB",1.32795096819515,-0.74427871776858,0.934663012757448,-2.62636131586988,-1.44011898882317,-0.618250120993071,2.46102040554746,0.296110775139631,-1.48043713493779,0.987592862372114,-1.42246019498786,-0.601946644956354
"vCTBp",1.02694031883592,-0.88122588644629,1.56849125750667,-0.422495936832298,-0.310238747017029,-0.578444033053592,-0.0506622939575334,-0.419135197743257,2.33083062714922,-1.07171616031476,-0.81018517400587,-0.275993203318944
