"week","from","to","n_k_tested","n_k_sig","median_z","robust_fraction"
8,"Hofbauer cells","Erythroblasts",4,0,-0.268835382007238,0
8,"Hofbauer cells","EVT",4,0,-0.633593609340396,0
8,"Hofbauer cells","EVT-progenitor",4,0,-0.654725104905873,0
8,"Hofbauer cells","EVT3",4,0,-0.677298741631276,0
8,"Hofbauer cells","FIB1",4,0,0.375900822841751,0
8,"Hofbauer cells","FIB2",4,0,-0.483085109918769,0
8,"Hofbauer cells","Hofbauer cells",4,0,-0.135415020146255,0
8,"Hofbauer cells","STB",4,0,0.652637246613118,0
8,"Hofbauer cells","STB-progenitor",4,0,1.31049439932535,0
8,"Hofbauer cells","vCTB",4,0,-0.0855549042186545,0
8,"Hofbauer cells","vCTB1",4,0,-0.475931204506652,0
8,"Hofbauer cells","vCTB2",4,0,0.285693383236539,0
8,"STB","Endothelial",4,0,1.05643411507042,0
8,"STB","Erythroblasts",4,0,-1.45565083566573,0
8,"STB","EVT",4,0,-1.47083179607564,0
8,"STB","EVT-progenitor",4,0,0.453355585201301,0
8,"STB","EVT3",4,0,-1.07469383940182,0
8,"STB","FIB1",4,0,-0.298512245150138,0
8,"STB","FIB2",4,0,-1.50593086804055,0
8,"STB","Hofbauer cells",4,0,-0.644245674652534,0
8,"STB","STB",4,0,1.5809853134482,0
8,"STB","STB-progenitor",4,0,0.910556071811174,0
8,"STB","vCTB",4,0,-0.0587552843239774,0
8,"STB","vCTB1",4,0,-0.819475987816412,0
8,"STB","vCTB2",4,0,0.462106336508673,0
8,"STB-progenitor","Endothelial",4,0,0.759024898266483,0
8,"STB-progenitor","Erythroblasts",4,0,0.465569913085855,0
8,"STB-progenitor","EVT",4,0,-0.347289053699575,0
8,"STB-progenitor","EVT-progenitor",4,0,-0.869196551172604,0
8,"STB-progenitor","EVT3",4,0,-0.557930475445891,0
8,"STB-progenitor","FIB1",4,0,0.501826746858361,0
8,"STB-progenitor","FIB2",4,0,-0.304055987454457,0
8,"STB-progenitor","Hofbauer cells",4,0,-0.0222180720392539,0
8,"STB-progenitor","STB",4,0,0.24833559398506,0
8,"STB-progenitor","STB-progenitor",4,0,0.176822084784152,0
8,"STB-progenitor","vCTB",4,0,-0.160061048801288,0
8,"STB-progenitor","vCTB1",4,0,0.710906359880303,0
8,"STB-progenitor","vCTB2",4,0,-0.0196924689206635,0
8,"vCTB","Endothelial",4,0,0.749799309861347,0
8,"vCTB","Erythroblasts",4,0,-0.929594232592587,0
8,"vCTB","EVT",4,0,-0.88562565169898,0
8,"vCTB","EVT-progenitor",4,0,-0.234926871622101,0
8,"vCTB","EVT3",4,0,-1.10376077091846,0
8,"vCTB","FIB1",4,0,0.283767989305004,0
8,"vCTB","FIB2",4,0,0.179284547682439,0
8,"vCTB","Hofbauer cells",4,0,-1.06280874486379,0
8,"vCTB","STB",4,0,0.903041727185409,0
8,"vCTB","STB-progenitor",4,0,0.0477751341425632,0
8,"vCTB","vCTB",4,0,-0.16313126549686,0
8,"vCTB","vCTB1",4,0,-0.226342156625371,0
8,"vCTB","vCTB2",4,0,0.188208629213949,0
8,"vCTB1","Endothelial",4,0,-0.470534507962929,0
8,"vCTB1","Erythroblasts",4,0,-0.496290420170596,0
8,"vCTB1","EVT",4,0,-0.670311052055369,0
8,"vCTB1","EVT-progenitor",4,0,0.430238943216926,0
8,"vCTB1","EVT3",4,0,-0.217736619687548,0
8,"vCTB1","FIB1",4,0,0.790756045927356,0
8,"vCTB1","FIB2",4,0,-0.210350909948084,0
8,"vCTB1","Hofbauer cells",4,0,-0.366907041249226,0
8,"vCTB1","STB",4,0,0.56024403271448,0
8,"vCTB1","STB-progenitor",4,0,0.943078776752918,0
8,"vCTB1","vCTB",4,0,0.0393427976979542,0
8,"vCTB1","vCTB1",4,0,-0.574187303766722,0
8,"vCTB1","vCTB2",4,0,-0.514740414204111,0
8,"vCTB2","Endothelial",4,0,-0.505307429840627,0
8,"vCTB2","Erythroblasts",4,0,-0.381696709195458,0
8,"vCTB2","EVT",4,0,0.479582998157471,0
8,"vCTB2","EVT-progenitor",4,0,0.305986789691851,0
8,"vCTB2","EVT3",4,0,-0.476560558974551,0
8,"vCTB2","FIB1",4,0,0.68097084250022,0
8,"vCTB2","FIB2",4,0,-0.663957543015583,0
8,"vCTB2","Hofbauer cells",4,0,-0.474994651101755,0
8,"vCTB2","STB",4,0,-0.0766210823206602,0
8,"vCTB2","STB-progenitor",4,0,-0.117071976452773,0
8,"vCTB2","vCTB",4,0,0.0203096118636589,0
8,"vCTB2","vCTB1",4,0,-0.628258014058211,0
8,"vCTB2","vCTB2",4,0,-0.269540110891723,0
9,"Endothelial","Endothelial",4,0,1.36036713266168,0
9,"Endothelial","Erythroblasts",4,0,1.07393420050062,0
9,"Endothelial","EVT",4,0,-0.533773199050307,0
9,"Endothelial","EVT-progenitor",4,0,-1.27727523064118,0
9,"Endothelial","EVT3",4,0,-0.173576529329181,0
9,"Endothelial","FIB1",4,0,0.169450535444345,0
9,"Endothelial","FIB2",4,0,-0.81436553459334,0
9,"Endothelial","Hofbauer cells",4,0,0.0385092966991445,0
9,"Endothelial","STB",4,0,0.607632828672559,0
9,"Endothelial","STB-progenitor",4,0,0.35353201314592,0
9,"Endothelial","vCTB",4,0,-0.287385411561684,0
9,"Endothelial","vCTBp",4,0,-0.136708485479798,0
9,"Erythroblasts","Endothelial",4,0,0.359906978273446,0
9,"Erythroblasts","Erythroblasts",4,0,-1.07112913231895,0
9,"Erythroblasts","EVT",4,0,0.0077703775178774,0
9,"Erythroblasts","EVT-progenitor",4,0,0.0488676074404839,0
9,"Erythroblasts","EVT3",4,0,-0.131549130718758,0
9,"Erythroblasts","FIB1",4,0,0.121383545624387,0
9,"Erythroblasts","FIB2",4,0,-0.457321854332999,0
9,"Erythroblasts","Hofbauer cells",4,0,0.555198190505587,0
9,"Erythroblasts","STB",4,0,-0.175430790044213,0
9,"Erythroblasts","STB-progenitor",4,0,-0.631191595999838,0
9,"Erythroblasts","vCTB",4,0,0.677104586188627,0
9,"Erythroblasts","vCTBp",4,0,-0.579982622158314,0
9,"EVT","Endothelial",4,0,-0.114668343505236,0
9,"EVT","Erythroblasts",4,0,0.558187910590922,0
9,"EVT","EVT",4,0,-0.00159880872298612,0
9,"EVT","EVT-progenitor",4,0,-0.588859050057774,0
9,"EVT","EVT3",4,0,-0.459088981007419,0
9,"EVT","FIB1",4,0,0.0147461813256854,0
9,"EVT","FIB2",4,0,0.620516821930323,0
9,"EVT","Hofbauer cells",4,0,-0.444156877434709,0
9,"EVT","STB",4,0,0.521709898674545,0
9,"EVT","STB-progenitor",4,0,-0.251411500823582,0
9,"EVT","vCTB",4,0,-0.185866891964819,0
9,"EVT","vCTBp",4,0,0.507613110152028,0
9,"EVT-progenitor","Endothelial",4,0,-0.216835873577709,0
9,"EVT-progenitor","Erythroblasts",4,0,-0.0265819823787435,0
9,"EVT-progenitor","EVT",4,0,1.28931903674415,0
9,"EVT-progenitor","EVT-progenitor",4,0,-0.608197960334668,0
9,"EVT-progenitor","EVT3",4,0,-0.363955588913208,0
9,"EVT-progenitor","FIB1",4,0,1.41944096248666,0
9,"EVT-progenitor","FIB2",4,0,-0.55082801238639,0
9,"EVT-progenitor","Hofbauer cells",4,0,-0.19603674748523,0
9,"EVT-progenitor","STB",4,0,-0.624605426364577,0
9,"EVT-progenitor","STB-progenitor",4,0,-0.472457734881455,0
9,"EVT-progenitor","vCTB",4,0,0.0241269526392506,0
9,"EVT-progenitor","vCTBp",4,0,-0.347190581927118,0
9,"EVT3","Endothelial",4,0,-1.35392625876878,0
9,"EVT3","Erythroblasts",4,0,-0.796882794421683,0
9,"EVT3","EVT",4,0,-0.578377993552776,0
9,"EVT3","EVT-progenitor",4,0,-0.523972547507538,0
9,"EVT3","EVT3",4,0,-0.406107388781167,0
9,"EVT3","FIB1",4,1,0.119177425696252,0.25
9,"EVT3","FIB2",4,0,-0.13288378168803,0
9,"EVT3","Hofbauer cells",4,0,0.504506580386665,0
9,"EVT3","STB",4,0,-0.243807562122002,0
9,"EVT3","STB-progenitor",4,0,-0.897332587224191,0
9,"EVT3","vCTB",4,0,0.0762746925836356,0
9,"EVT3","vCTBp",4,0,-0.323584165442351,0
9,"FIB1","Endothelial",4,0,0.291095566394967,0
9,"FIB1","Erythroblasts",4,0,-0.339242231413711,0
9,"FIB1","EVT",4,0,0.36109890973062,0
9,"FIB1","EVT-progenitor",4,0,-0.394947265351456,0
9,"FIB1","EVT3",4,0,0.376993571919576,0
9,"FIB1","FIB1",4,0,-0.0639576870054472,0
9,"FIB1","FIB2",4,0,-0.477408985712367,0
9,"FIB1","Hofbauer cells",4,0,0.620738775859443,0
9,"FIB1","STB",4,0,-0.334976664892024,0
9,"FIB1","STB-progenitor",4,0,-0.499814842318688,0
9,"FIB1","vCTB",4,0,0.133365005204505,0
9,"FIB1","vCTBp",4,0,-0.643490811974134,0
9,"FIB2","Endothelial",4,0,-0.0749371801417126,0
9,"FIB2","Erythroblasts",4,0,-0.251272738683138,0
9,"FIB2","EVT",4,0,0.0348845477367502,0
9,"FIB2","EVT-progenitor",4,0,-0.763189343417155,0
9,"FIB2","EVT3",4,0,-0.709855180836154,0
9,"FIB2","FIB1",4,0,-0.0645333373120997,0
9,"FIB2","FIB2",4,0,0.085956396266633,0
9,"FIB2","Hofbauer cells",4,0,-0.0496605528069268,0
9,"FIB2","STB",4,0,0.0280563100361825,0
9,"FIB2","STB-progenitor",4,0,-0.716021177199358,0
9,"FIB2","vCTB",4,0,0.389036502462921,0
9,"FIB2","vCTBp",4,0,0.12705410312136,0
9,"Hofbauer cells","Endothelial",4,0,-0.199230158128333,0
9,"Hofbauer cells","Erythroblasts",4,0,0.0488940718147928,0
9,"Hofbauer cells","EVT",4,0,-0.0981088435569526,0
9,"Hofbauer cells","EVT-progenitor",4,0,-1.05110087782152,0
9,"Hofbauer cells","EVT3",4,0,-0.488018418473026,0
9,"Hofbauer cells","FIB1",4,0,1.25178190833045,0
9,"Hofbauer cells","FIB2",4,0,-0.190274780647372,0
9,"Hofbauer cells","Hofbauer cells",4,0,-0.436391190251069,0
9,"Hofbauer cells","STB",4,0,-0.0661529616174273,0
9,"Hofbauer cells","STB-progenitor",4,0,-0.705821661993894,0
9,"Hofbauer cells","vCTB",4,0,0.157815415642554,0
9,"Hofbauer cells","vCTBp",4,0,0.252238755605702,0
9,"STB","Endothelial",4,0,0.101265067023046,0
9,"STB","Erythroblasts",4,0,-1.02113479781217,0
9,"STB","EVT",4,0,0.00627272411620416,0
9,"STB","EVT-progenitor",4,0,-1.12211851918328,0
9,"STB","EVT3",4,0,-0.512181944058082,0
9,"STB","FIB1",4,0,0.0959371843227289,0
