"","Endothelial","Erythroblasts","EVT","EVT-progenitor","EVT3","FIB1","FIB2","Hofbauer cells","STB","STB-progenitor","vCTB","vCTB1","vCTB2"
"Endothelial",7.375,1.735,12.685,5.47,1.555,6.995,35.005,19.825,67.57,7.155,55.635,2.515,0.48
"Erythroblasts",1.64,0.305,2.925,1.115,0.28,1.42,7.4,4.32,14.635,1.47,11.85,0.56,0.08
"EVT",13.04,2.755,23.98,9.525,2.86,12.71,62.11,35.025,120.745,12.545,99.105,4.755,0.845
"EVT-progenitor",5.265,1.3,9.46,4.02,1.16,5.015,25.85,15.145,50.54,5.43,42.56,1.83,0.425
"EVT3",1.59,0.305,2.885,1.115,0.285,1.3,7.47,4.42,14.585,1.465,11.835,0.655,0.09
"FIB1",7.08,1.54,12.355,5.05,1.5,6.51,34.265,19.565,65.175,6.84,53.21,2.445,0.465
"FIB2",34.42,7.25,60.76,26.22,7.455,33.6,165.39,95.475,323.825,33.475,269.53,12.145,2.455
"Hofbauer cells",19.975,4.255,35.55,14.615,4.32,19.02,96.175,54.05,186.2,19.055,154.22,7.09,1.475
"STB",68.325,14.605,120.27,51.01,14.605,65.37,323.945,184.75,634.235,64.28,526.24,23.905,4.46
"STB-progenitor",7.07,1.47,12.485,5.2,1.53,6.67,33.28,19.8,64.715,6.695,53.93,2.55,0.605
"vCTB",56.785,12.055,100.94,40.92,11.785,55.315,269.36,154.37,526.495,54.28,437.225,20.24,4.23
"vCTB1",2.705,0.615,4.76,1.945,0.56,2.515,12.275,7.065,24.21,2.41,19.885,0.87,0.185
"vCTB2",0.49,0.105,0.925,0.31,0.14,0.495,2.715,1.53,4.625,0.44,3.995,0.18,0.05
