"","Endothelial","Erythroblasts","EVT-progenitor","FIB1","FIB2","Hofbauer cells","STB","STB-progenitor","vCTB"
"Endothelial",0.66,2.045,5.81,8.72,29.57,25.625,15.505,0.125,11.94
"Erythroblasts",2.24,7.73,20.06,29.105,103.62,91.695,53.93,0.53,41.09
"EVT-progenitor",5.2,19.405,51.015,75.035,267.465,234.34,138.73,1.49,107.32
"FIB1",8.475,29.585,75.27,110.175,394.97,343.32,203.99,2.06,157.155
"FIB2",30.23,104.32,268.405,396.84,1409.43,1237.255,729.625,7.345,566.55
"Hofbauer cells",25.865,91.86,235.685,349.005,1237.33,1087.055,643.31,6.385,498.505
"STB",15.505,53.93,138.67,204.16,724.065,639.7,377.725,4.065,292.18
"STB-progenitor",0.165,0.545,1.455,1.985,7.29,6.66,3.82,0.035,3.045
"vCTB",12.44,42.145,107.32,159.345,563.035,494.445,291.88,3.01,226.38
