"cell","week","label","permissiveness","z_mmp","z_tol","z_nk","z_ea","x","y"
"W8-2_W8-2_tile_0_cell_119",8,"EVT3",4.12505100173129,2.47291793892743,2.20897552436498,-0.109875001448539,-0.666717463009658,62.32922,2196.00466
"W8-2_W8-2_tile_0_cell_141",8,"EVT2",-0.54946429718682,-0.33847797770828,0.425266586378393,-0.096801291874501,-0.733054197731434,53.38448,2270.54416
"W8-2_W8-2_tile_0_cell_142",8,"Endothelial_cells",-0.257273295051899,-1.01600805496093,-0.638852883216225,-0.317821477890287,1.07976616523497,81.21256,2177.90221
"W8-2_W8-2_tile_0_cell_160",8,"EVT2",3.06559373116854,1.08877872866904,2.65842919421981,-0.117317240398425,-0.798931432118728,185.2839,2264.86496
"W8-2_W8-2_tile_0_cell_179",8,"STB",-1.5589549417573,-0.715690237199609,-0.241242982286819,-0.0275455326494868,-0.629567254920359,47.42132,2176.26944
"W8-2_W8-2_tile_0_cell_209",8,"EVT2",-1.26941361060237,-0.756456734327253,-0.0848157549684301,-0.029415152561938,-0.457556273868626,106.485,2323.07676
"W8-2_W8-2_tile_0_cell_22",8,"EVT2",-0.884049559953577,-0.409688636682141,0.0199084403900398,-0.0828468283670221,-0.577116192028498,260.5333,2206.22722
"W8-2_W8-2_tile_0_cell_228",8,"EVT2",-1.52274426542556,-0.470165771376368,-0.343068281012304,-0.0974447169646123,-0.806954930001501,244.06362,2131.97168
"W8-2_W8-2_tile_0_cell_244",8,"EVT3",4.66823407781459,2.76803265458619,3.00965058495624,-0.110403182879201,-1.21985234460704,137.15268,2113.65626
"W8-2_W8-2_tile_0_cell_25",8,"EVT3",3.51843020062055,2.41887591694132,2.18977671861669,-0.111563151024943,-1.2017855859624,165.83264,2161.29055
"W8-2_W8-2_tile_0_cell_283",8,"EVT3",3.46797471703498,2.61167250056639,2.05175465532937,-0.116273649102795,-1.31172608796358,127.99497,2321.65696
"W8-2_W8-2_tile_0_cell_293",8,"EVT2",-1.60955994298339,-0.572626488616196,-0.142879876734791,-0.0655123331529715,-0.959565910785375,70.70604,2241.8642
"W8-2_W8-2_tile_0_cell_297",8,"vCTB2",-1.29626496029269,-0.509599781837128,-0.323862170803347,-0.00622721341416229,-0.469030221066374,47.98924,2115.36002
"W8-2_W8-2_tile_0_cell_315",8,"EVT2",3.451523327009,2.01946585315199,2.07246605645204,-0.124584247146402,-0.764992829741431,231.00146,2196.21763
"W8-2_W8-2_tile_0_cell_325",8,"EVT3",3.49947243976541,2.55806358188416,2.19470050990808,-0.115226688785263,-1.36851834081209,73.75861,2346.07752
"W8-2_W8-2_tile_0_cell_336",8,"EVT2",-4.22466094028334,-0.813846967037342,-0.33721387895597,3.75599379113583,0.6823936968458,218.50722,2136.51504
"W8-2_W8-2_tile_0_cell_345",8,"EVT2",-0.744302642176699,-0.417938921553345,0.131979580978924,-0.0875123273665872,-0.545855628968865,186.27776,2344.7997
"W8-2_W8-2_tile_0_cell_348",8,"EVT3",3.81088260850158,2.64815239040793,2.33505993782831,-0.112913693700191,-1.28524341343485,127.782,2269.5503
"W8-2_W8-2_tile_0_cell_361",8,"EVT2",-1.93098134571983,-0.582775958545581,-0.251522773215908,-0.00765929066273113,-1.10434190462107,52.74557,2239.30856
"W8-2_W8-2_tile_0_cell_362",8,"EVT3",3.32810058378073,2.37845138914817,2.09817986139784,-0.114771940290971,-1.26330260705625,148.08514,2098.53539
"W8-2_W8-2_tile_0_cell_370",8,"vCTB2",-1.42630916600199,-0.555297884279885,-0.525897658543287,-0.0983992403882832,-0.443512863567107,242.21788,2120.4713
"W8-2_W8-2_tile_0_cell_375",8,"EVT2",3.61729200106469,2.21473877826936,2.23283692383552,-0.115441255318202,-0.945724956358393,9.79662,2284.17424
"W8-2_W8-2_tile_0_cell_383",8,"EVT3",3.26206027682012,1.8961146296545,1.973499560533,-0.118785321790073,-0.726339235157456,211.90515,2325.41943
"W8-2_W8-2_tile_0_cell_386",8,"EVT3",5.712551260116,4.99616154761763,2.06171112187616,-0.121094978187679,-1.46641638756546,104.78124,2306.4651
"W8-2_W8-2_tile_0_cell_412",8,"EVT3",4.19476155156217,3.2755840268159,2.05486592262575,-0.117227711543756,-1.25291610942325,239.2363,2320.23716
"W8-2_W8-2_tile_0_cell_421",8,"STB",-0.342072059651887,-0.798942396422152,-0.545924653950228,-0.444191542013714,0.558603448706779,31.80352,2232.91946
"W8-2_W8-2_tile_0_cell_425",8,"EVT2",-1.1511008053711,-0.581810800260952,0.0779865899075119,-0.057420659382775,-0.704697254400432,18.59938,2258.47586
"W8-2_W8-2_tile_0_cell_453",8,"EVT3",3.28433697308465,2.40490315552164,2.06790027946395,-0.116905696763711,-1.30537215866465,156.03602,2168.31856
"W8-2_W8-2_tile_0_cell_472",8,"EVT3",4.44977546072077,3.50610013405437,1.23011375186254,-0.137907351595535,-0.424345776791676,242.50184,2175.98548
"W8-2_W8-2_tile_0_cell_504",8,"EVT2",-1.36904288741417,-0.62293894635345,-0.218352970385374,0.0174830806996042,-0.510267889975744,62.61318,2246.97548
