"","Endothelial","Erythroblasts","EVT","EVT-progenitor","EVT3","FIB1","FIB2","Hofbauer cells","STB","STB-progenitor","vCTB","vCTBp"
"Endothelial",11.235,6.23,1.96,1.385,0.85,14.18,40.735,12.715,16.615,6.78,78.875,0.44
"Erythroblasts",5.65,3.53,1.025,0.82,0.48,7.61,22.99,6.455,8.835,3.625,42.75,0.23
"EVT",1.735,1.02,0.315,0.215,0.185,2.45,7.225,1.915,2.63,1.235,12.96,0.115
"EVT-progenitor",1.445,0.685,0.2,0.215,0.075,1.715,5.305,1.515,1.995,0.84,9.955,0.055
"EVT3",1,0.53,0.19,0.14,0.08,1.135,3.46,0.93,1.32,0.575,6.605,0.035
"FIB1",14.34,7.61,2.145,1.665,1.09,18.46,54.675,15.54,21.365,9.43,101.085,0.595
"FIB2",42.06,23.09,7.12,5.19,3.735,54.495,160.195,45.215,62.66,26.43,296.04,1.77
"Hofbauer cells",12.255,6.36,1.745,1.48,0.94,15.46,46.185,13.1,17.94,7.56,84.47,0.505
"STB",16.445,9.055,3.05,1.955,1.295,20.72,62.495,18.015,25.8,10.245,118.23,0.695
"STB-progenitor",7.125,3.775,1.16,0.815,0.565,8.795,26.27,7.52,9.87,4.585,49.25,0.27
"vCTB",79.37,42.405,12.73,9.74,6.52,100.275,297.63,85.755,118.155,48.915,555.195,3.31
"vCTBp",0.475,0.265,0.055,0.08,0.07,0.6,1.895,0.44,0.76,0.325,3.035,0
