"","Endothelial_cells","EVT2","EVT3","Fibroblast1","Fibroblast2","Hofbauer cells","maternal macrophages","STB","unknown2","unknown3","vCTB2","vCTBp"
"Endothelial_cells",31,481,35,209,580,158,12,306,9,72,657,10
"EVT2",509,7104,474,2726,6561,1739,164,4716,97,1275,10137,178
"EVT3",34,433,17,178,467,139,17,275,2,73,669,16
"Fibroblast1",183,2700,175,971,2488,679,62,1872,26,514,4063,67
"Fibroblast2",491,6356,423,2654,6387,1722,145,3867,87,1141,9447,160
"Hofbauer cells",127,1451,123,700,1451,369,33,1269,25,338,2660,54
"maternal macrophages",10,212,10,41,80,25,2,125,5,16,231,3
"STB",317,4481,282,1813,4238,1088,99,3075,65,802,6793,107
"unknown2",8,145,7,48,92,26,2,95,2,23,187,5
"unknown3",91,1239,85,506,1137,364,25,933,17,228,1907,28
"vCTB2",738,10814,675,4115,10056,2676,235,7183,197,1929,15383,279
"vCTBp",7,215,20,58,169,36,5,111,6,23,269,1
