"from","to","n_obs","median_z","median_obs_over_exp","median_obs_minus_exp","frac_significant"
"vCTB2","Fibroblast2",8,0.702465451176202,1.00934866327429,32.5525,0
"STB","Endothelial_cells",8,0.673206832034399,1.06471313437268,9.2925,0
"Fibroblast1","Hofbauer cells",8,0.65109114751231,1.03232663093277,15.4575,0
"unknown2","vCTBp",8,0.550521178252558,1.54508128153484,0.6575,0
"Fibroblast2","Endothelial_cells",8,0.447776001999349,1.02489284889814,9.7775,0
"Fibroblast2","maternal macrophages",8,0.422664154568492,1.04951579228056,4.74,0
"vCTB2","maternal macrophages",8,0.422404781725464,1.04184470080939,3.9775,0
"unknown2","STB",8,0.396810101017053,1.09457969385446,1.97,0
"Endothelial_cells","STB",8,0.358925903915505,1.02596814579675,5.22,0
"Fibroblast1","Fibroblast1",8,0.324675758155206,1.0145235723731,6.95500000000001,0
"EVT3","Endothelial_cells",8,0.316923010497782,1.03591886068823,3.5525,0
"maternal macrophages","unknown2",8,0.312635660876723,1.33292139153547,0.3375,0
"unknown2","Fibroblast1",8,0.290993260564985,1.07616630001297,0.9225,0
"Fibroblast1","Endothelial_cells",8,0.252531851027049,1.03261615845129,2.5275,0
"unknown3","maternal macrophages",8,0.171751494204392,1.03954891800507,0.87,0
"unknown3","Endothelial_cells",8,0.153564628054855,1.02824965051096,0.99,0
"maternal macrophages","Fibroblast1",8,0.0642883236886053,1.01761925503182,0.23,0
"Fibroblast1","unknown3",8,0.0573510584292403,0.998417426011084,1.63500000000001,0
"vCTB2","Hofbauer cells",8,0.0117324182659401,1.00147071725712,-1.04000000000002,0
"Hofbauer cells","Fibroblast1",8,0.00536201708452398,1.00010622914628,0.0625,0
"vCTBp","Fibroblast1",8,-0.0346755278739889,0.993942879012259,-0.225000000000001,0
"vCTBp","Hofbauer cells",8,-0.0357820332329663,0.999853649696633,-0.329999999999999,0
"maternal macrophages","Hofbauer cells",8,-0.0749318082845472,0.968920755927027,-0.182499999999999,0
"Hofbauer cells","vCTBp",8,-0.0865573120528693,0.972548353863222,-0.2475,0
"EVT3","Hofbauer cells",8,-0.0925495831476754,0.980552266595644,-0.0525000000000055,0
"Endothelial_cells","vCTBp",8,-0.0971156524935945,0.898321190833501,0.0399999999999991,0
"Endothelial_cells","unknown2",8,-0.113310053002061,0.952094006366859,-0.36,0
"STB","vCTB2",8,-0.119687278548527,0.99774534974224,-5.49750000000006,0
"Hofbauer cells","Hofbauer cells",8,-0.133901211707991,0.985607643818849,-1.42500000000002,0
"Hofbauer cells","Endothelial_cells",8,-0.15743426840384,0.983700389145251,-1.95,0
"unknown2","maternal macrophages",8,-0.168303753029517,0.898605679299677,-0.26,0
"unknown2","Hofbauer cells",8,-0.1785051010269,0.972654391801144,-0.117500000000001,0
"maternal macrophages","STB",8,-0.249718470175502,0.950525582991684,-1.4025,0
"unknown3","EVT3",8,-0.315744455791061,0.961522891120444,-1.76,0
"unknown3","vCTBp",8,-0.377808438898717,0.918223898926152,-1.0375,0
"vCTBp","unknown2",8,-0.381610239907128,0.473933649064486,-0.3525,0
"maternal macrophages","vCTBp",8,-0.430803514927556,0.754398684351123,-0.8975,0
"maternal macrophages","Endothelial_cells",8,-0.435330131172851,0.850824406497198,-1.1825,0
"EVT2","Fibroblast1",8,-0.446514477102127,0.989812448094479,-24.53,0
"vCTBp","STB",8,-0.450896581089215,0.909549795215327,-2.69,0
"STB","unknown3",8,-0.460577525352597,0.968710608045144,-5.1125,0
"vCTBp","Endothelial_cells",8,-0.475003754686487,0.834322661373993,-1.885,0
"maternal macrophages","maternal macrophages",8,-0.487722924214377,0.692897352735847,-0.8925,0
"EVT3","STB",8,-0.490360304211097,0.978256909849305,-8.77249999999998,0
"vCTBp","unknown3",8,-0.490391483733293,0.878212485903755,-1.575,0
"Fibroblast2","vCTBp",8,-0.496525404504674,0.93941948692231,-5.7125,0
"unknown2","EVT3",8,-0.531030921733345,0.730641375355945,-1.255,0
"unknown2","unknown3",8,-0.541336475443279,0.78906581791784,-2.0975,0
"EVT2","vCTBp",8,-0.547679041369674,0.936050436525528,-6.59749999999999,0
"Hofbauer cells","maternal macrophages",8,-0.561807498778815,0.908923132244027,-2.9575,0
"vCTBp","maternal macrophages",8,-0.566359837524568,0.659966553441182,-0.8975,0
"EVT3","unknown2",8,-0.573082564332866,0.881769815839978,-2.6625,0
"Hofbauer cells","unknown2",8,-0.573168486225843,0.862385469010151,-2.2125,0
"vCTBp","vCTB2",8,-0.584585851017032,0.915224033963637,-7.26250000000001,0
"Fibroblast1","maternal macrophages",8,-0.618219302292953,0.875775111877346,-4.12,0
"Endothelial_cells","Endothelial_cells",8,-0.623681040801695,0.897775036846544,-3.5525,0
"Fibroblast1","vCTBp",8,-0.659435017832862,0.843462567468884,-3.545,0
"vCTBp","vCTBp",8,-0.664455992721105,0.414856528606193,-0.9075,0
"vCTB2","unknown2",8,-0.679512475606683,0.914164679911882,-5.01,0
"Hofbauer cells","Fibroblast2",8,-0.688320159060396,0.976804892121024,-17.2875,0
"EVT2","Hofbauer cells",8,-0.718197657375581,0.971809561430217,-18.775,0
"STB","vCTBp",8,-0.720236586949383,0.902469623514501,-5.31,0
"Endothelial_cells","unknown3",8,-0.735745001385057,0.906880923524791,-7.5375,0
"vCTB2","EVT3",8,-0.75443464850326,0.972301351166888,-16.4025,0
"Fibroblast2","unknown2",8,-0.810939156034568,0.878208294090289,-7.19,0
"vCTB2","vCTBp",8,-0.84935206661907,0.923333721492187,-10.6175,0
"unknown3","unknown2",8,-0.857103148549498,0.711774936741284,-2.0575,0
"Endothelial_cells","maternal macrophages",8,-0.891459685507603,0.602859969447182,-1.5425,0
"EVT3","EVT3",8,-1.04049261052385,0.941145600335876,-7.4,0
"Hofbauer cells","unknown3",8,-1.09269515492661,0.894714095655283,-12.7325,0
"maternal macrophages","vCTB2",8,-1.09912678942989,0.901504297216685,-7.145,0
"Hofbauer cells","vCTB2",8,-1.12352360320088,0.970791236709571,-21.04,0
"maternal macrophages","unknown3",8,-1.16785176510698,0.618741426112119,-3.7475,0
"Fibroblast1","unknown2",8,-1.23547105489325,0.67737801869914,-5.0125,0
"vCTBp","Fibroblast2",8,-1.54483228722367,0.820791699307764,-10.86,0
"Fibroblast1","vCTB2",8,-1.62817489892748,0.952483920045219,-59.2050000000002,0
"Fibroblast2","unknown3",8,-2.01846087089819,0.895712722068811,-41.2825,0
