"","Endothelial_cells","EVT2","EVT3","Fibroblast1","Fibroblast2","Hofbauer cells","maternal macrophages","STB","unknown2","unknown3","vCTB2","vCTBp"
"Endothelial_cells",-0.0874728801442212,1.45874081776143,0.945206564558634,3.24205167392089,-1.34506060979663,-0.980192231839999,-1.36270805799818,-2.88721679324593,-1.9667643939299,0.0246612436932621,-0.343927195400456,2.68474355308749
"EVT2",0.719403567154997,3.70973388926963,4.00796712800305,-1.40286708205615,-1.97538517937735,-1.56787959100432,-0.124799382824546,1.03551783309972,0.00806821086840113,-4.81556563308095,-1.8277531565843,-1.93415469093049
"EVT3",0.283046524815289,-4.87865418404769,-2.13787988794599,3.13390690536863,3.2891893723575,1.69099396619887,1.04747859495629,-2.00617616800552,-1.26364059195438,1.2771905695597,1.41010714325768,1.24935602440367
"Fibroblast1",1.52417511180999,3.00860217419245,-4.36061516290984,1.26442562009208,-2.11837733145896,1.45782200914179,-0.541653524901263,1.44523355257494,0.136369483180353,0.961447028172232,-1.38339610934209,-0.565645895415759
"Fibroblast2",1.1531731344086,-0.344474770538167,-2.03606313665174,1.75656867920998,-0.947201980120562,1.15964302422797,-1.53654086557886,3.72897310153625,0.952178863845333,-2.03733594449518,-0.744139229382109,-0.212792133587905
"Hofbauer cells",-0.607266225051878,5.38118045124868,-1.31118008249375,-0.188036902785636,-0.878360316618142,-1.71531134048167,-0.740926738219739,0.300225980875494,0.0561516732602666,-1.48144380787962,-1.94432503425954,-1.08605110480316
"maternal macrophages",0.446528829503225,-1.16860448653191,2.27155522932851,2.03124138991836,-0.482787695289012,-1.85984465747726,0.508125252134184,-0.315597388807704,1.35999363902463,-1.37145746944974,0.445851835414863,-0.260794949930565
"STB",0.805083307851901,-3.36103104670518,4.31263768198894,1.89730408907826,-1.05003400943365,-1.57156794494804,0.769922551490103,0.928817157502455,-0.724505266272038,-0.536760440295639,0.575901028714831,0.638233752114383
"unknown2",-0.597449649067337,1.12026658918352,-0.649850035240002,0.127811481472415,0.824428624700341,2.26702549300199,-1.14753093601817,-0.34602230627149,0.785866531466222,-1.15751726369325,-1.77513729579074,-0.740506531762438
"unknown3",-0.0127653621558701,0.691880830223557,1.55570366621992,-1.7129876012489,-0.885867808048217,0.0248030635272576,-0.189945571404499,0.763096457724466,0.568016206134379,-1.09968148208529,-0.00379772675151807,1.52669469293123
"vCTB2",-1.16083437580502,0.81559281794143,-1.18016858136426,2.14822616887493,-0.252456815824689,-1.54470542696138,-0.106083864899091,-0.248067502202122,-1.07070407521135,-1.13954290042127,0.840793959194165,0.385760170797171
"vCTBp",0.188237339168604,4.24832659450518,-2.13370043182548,-1.17984772239623,0.298345394258957,-0.648459713329939,-0.149956412441751,-0.933767401763862,-0.698985879927659,-0.983130975264637,-1.42787220595965,-0.943182259693731
