"dataset","week","celltype_use","PLD1_mean","PLD1_median","MMP2_mean","MMP2_median","MMP9_mean","MMP9_median","CDH1_mean","CDH1_median","GALNT1_mean","GALNT1_median","HLA-G_mean","HLA-G_median","FLT1_mean","FLT1_median","PGF_mean","PGF_median","VEGFA_mean","VEGFA_median","NKG7_mean","NKG7_median","GNLY_mean","GNLY_median","score_MMP_ECM_Remodeling_mean","score_MMP_ECM_Remodeling_median","score_Immune_Tolerance_mean","score_Immune_Tolerance_median","score_Cytotoxic_NK_mean","score_Cytotoxic_NK_median","score_Ethanolamine_Metabolism_mean","score_Ethanolamine_Metabolism_median","ratio_log_PLD1_MMP9_mean","ratio_log_PLD1_MMP9_median","n_cells"
"Multiome",6,"vCTB2",0.0607016614441301,0,0.046641301295742,0,0.00158256021629054,0,1.11340955798522,1.3821183853407,0.217097979392178,0,0.0211891134681874,0,0.622640715048319,0,0.137297698982465,0,0.0108619454181558,0,0,0,0,0,-0.128048769778279,-0.159135501103355,-0.0330733611408139,-0.0527116094391132,-0.000979552621484993,0,-0.135754330355325,-0.181164054334889,0.036322347496993,0,1322
"Multiome",6,"Fibroblast2",0.299677174244893,0,0.317949250918359,0,0,0,0.0277217068312181,0,0.354758498112931,0,0.0246116704188363,0,1.21552263180212,1.47298840037862,0.132999249652575,0,0.630695450868074,0,0,0,0,0,0.0966220639016696,0.0891664218192755,-0.0132203699156972,-0.05365908851097,-0.00126674960757465,-0.00169274167425971,-0.0961106139301883,-0.163162626150196,0.175161630651575,0,712
"Multiome",6,"vCTBp",0.116995311307006,0,0.042110556683773,0,0.0020005588789583,0,1.23700313895495,1.47833155195499,0.306299619858246,0,0.0102287360211524,0,0.646251062842894,0,0.176144631851696,0,0.039630098853927,0,0,0,0.00146971967975697,0,-0.187660644509703,-0.210642485102356,-0.0548456663078994,-0.0705468217274718,-0.00137178714872386,-0.00149978084313333,-0.120034535220171,-0.14650750121509,0.076054279122222,0,685
"Multiome",6,"EVT2",0.14035819435687,0,1.01674406930773,0.861962074283431,0,0,0.259547557693292,0,0.647866448995578,0.616622606232002,0.546098287097739,0,2.509851468073,2.83488812332459,1.25713316959864,1.397039829628,0.0681020564288573,0,0,0,0,0,-0.000275173247810092,-0.0268091101784826,0.17507204686498,0.160320516747573,-0.00133683028943319,-0.00148100274914384,-0.143209487857432,-0.155758044481864,0.0960808618619686,0,387
"Multiome",6,"STB",0.0480698116252722,0,0.0573145274719898,0,0,0,0.548401573576213,0,0.235361736348133,0,0.00698545213472067,0,0.96730312126897,0,0.94174027574108,0,0.125670952281846,0,0,0,0,0,-0.0168858232497092,-0.0217411756340604,-0.0154374756774028,-0.0456697494273835,-0.0012061238505479,-0.000653670122030989,-0.0965129205635115,-0.150855374098438,0.0300295485671281,0,209
"Multiome",6,"vCTB3",0.0833933957675463,0,0.0343599834052073,0,0,0,1.40212221901969,1.66512360354455,0.31407951076581,0,0.0132860890424744,0,0.795190225261321,0,0.122451538437514,0,0.00556621832676788,0,0,0,0.0322671821016326,0,-0.157633945924559,-0.189555034701695,-0.0436512023653564,-0.0645215784947235,0.00228110185061334,-0.00110560618044404,-0.139979324147294,-0.160941041179498,0.0499934405516974,0,151
"Multiome",6,"Fibroblast1",0.127394850150101,0,0.116176472168485,0,0,0,0.00855078499407321,0,0.316212553427055,0,0.00436325079564888,0,2.35017559730096,2.52409465701661,0.215189054122894,0,0.316894363240636,0,0,0,0,0,-0.132970122237422,-0.164252928592545,-0.0476861650167667,-0.0723841118601574,-0.00235975238047969,-0.00200543990259971,-0.0725581778731041,-0.105304729925203,0.0793321615022811,0,133
"Multiome",6,"Endothelial_cells",0.537836993490817,0,0.0470764801432102,0,0,0,0.141631798487868,0,0.407169894084398,0,0.0211671092753239,0,1.91848465514416,2.32567743477468,0.0870684093391591,0,0,0,0,0,0,0,-0.165656877700987,-0.185106078987154,-0.021119326219059,-0.0622359830618483,-0.00348889466146767,-0.003275305301815,-0.104028568917918,-0.169594266545659,0.320601423566845,0,41
"Multiome",6,"EVT1",0.243049386130641,0,0.878256382744069,0.830514249634361,0,0,0.897321788241005,0.949545584229786,0.549515528989334,0.74441837037072,0.41544686267956,0,1.95786966728743,2.1733069946746,0.933676885264182,1.22211208890727,0.0629555896474833,0,0,0,0,0,-0.0692964208473007,-0.0534780681098353,0.109094496188327,0.117498319324702,-0.00193081185794419,-0.00218789305122071,-0.134434624353468,-0.148197346271419,0.154570196826759,0,25
"Multiome",6,"unknown2",0.133770291078847,0,0.417042529295,0,0,0,0.483656407933743,0,0.581258950090781,0.28229465441862,0.263842443043374,0,1.83918030545627,2.3332841725049,0.445007513427351,0,0.246038549725787,0,0,0,0,0,-0.107435870714604,-0.170300308151081,0.0186964242455185,-0.00576687641008351,-0.00270483361188347,-0.00259798287348012,-0.114947204975413,-0.128038969103126,0.103305776573855,0,18
