"","Endothelial_cells","EVT2","EVT3","Fibroblast1","Fibroblast2","Hofbauer cells","maternal macrophages","STB","unknown2","unknown3","vCTB2","vCTBp"
"Endothelial_cells",92,784,325,213,554,183,27,197,9,58,576,7
"EVT2",890,9762,2797,1962,5378,1798,291,2022,66,770,6384,155
"EVT3",289,2729,801,627,1742,566,84,605,22,253,2089,43
"Fibroblast1",146,2120,675,440,1256,335,55,435,9,201,1328,25
"Fibroblast2",538,5878,1923,1256,3290,1122,202,1184,39,490,3663,90
"Hofbauer cells",170,1841,656,445,1122,355,50,398,19,152,1169,23
"maternal macrophages",23,337,111,58,126,36,4,65,2,21,164,3
"STB",214,1788,560,434,1282,388,74,458,23,192,1412,25
"unknown2",6,87,25,20,51,24,1,19,0,4,36,2
"unknown3",107,972,249,236,513,187,30,183,5,67,537,14
"vCTB2",645,6230,1883,1456,3929,1309,174,1434,50,588,4497,80
"vCTBp",14,184,34,41,62,17,2,18,0,13,89,1
