"","Endothelial_cells","EVT2","EVT3","Fibroblast1","Fibroblast2","Hofbauer cells","maternal macrophages","STB","unknown2","unknown3","vCTB2","vCTBp"
"Endothelial_cells",7.525,100.21,6.515,38.565,91.54,24.39,2.145,64.43,1.855,18.435,153.765,2.625
"EVT2",100.46,1397.39,91.085,542.305,1290.69,337.19,29.775,907.125,24.865,255.965,2123.62,35.53
"EVT3",6.555,91.045,6.1,35.05,84.445,21.28,1.94,58.81,1.645,16.685,138.075,2.37
"Fibroblast1",39.105,540.575,34.385,208.54,496.86,130.07,11.335,351.375,9.41,99.78,825.085,13.48
"Fibroblast2",92.44,1287.855,83.785,496.88,1186.445,308.5,27.115,836.895,23.485,236.025,1963.53,33.045
"Hofbauer cells",24.13,335.915,22.29,130.16,311.87,79.635,6.91,218.79,5.88,62.255,513.445,8.72
"maternal macrophages",2.195,29.39,2.02,11.69,26.58,7.555,0.62,19.78,0.54,5.235,45.465,0.93
"STB",65.27,905.68,58.505,351.82,834.94,218.1,19.66,590.285,15.985,166.835,1381.47,23.45
"unknown2",1.77,24.905,1.565,9.615,23.315,5.815,0.55,16.22,0.51,4.7,38.42,0.615
"unknown3",18.39,256.095,16.435,98.595,236.9,62.295,5.46,168,4.9,46.995,391.075,6.86
"vCTB2",153.5,2122.085,138.96,824.04,1953.145,513.37,45.645,1385.11,38.405,391.19,3234.54,56.01
"vCTBp",2.495,36.325,2.305,14.27,33.325,8.905,0.66,23.235,0.625,6.435,54.515,0.905
