"","Endothelial_cells","EVT2","EVT3","Fibroblast1","Fibroblast2","Hofbauer cells","maternal macrophages","STB","unknown2","unknown3","vCTB2","vCTBp"
"Endothelial_cells",130.29,1396.38,423.245,303.165,850.825,276.335,41.265,294.595,12.365,135.015,956.225,20.295
"EVT2",1392.525,14851.5,4543.445,3232.895,9047.165,2949.495,438.055,3156.01,126.99,1429.065,10253.56,219.295
"EVT3",423.92,4529.28,1384.375,991.48,2754.535,901.895,134.25,963.26,39.28,436.485,3133.98,67.26
"Fibroblast1",301.72,3236.05,990.635,702.29,1972.67,642.205,94.37,687.83,27.435,310.355,2225.48,48.96
"Fibroblast2",850.925,9057.35,2767.5,1977.84,5520.61,1792.67,268.1,1913.5,77.92,866.26,6254.3,133.025
"Hofbauer cells",274.445,2949.955,898.715,644.17,1795.89,582.215,86.595,627.71,24.405,280.96,2031.965,42.975
"maternal macrophages",40.805,437.93,133.3,95.01,267.64,85.61,12.495,91.54,3.915,42.905,302.335,6.515
"STB",298.585,3150.165,961.11,688.18,1925.47,625.965,93.24,668.45,27.525,302.83,2172.76,45.72
"unknown2",11.7,126.895,39.57,27.55,76.64,24.42,3.46,27.64,1.12,11.715,87.25,2.04
"unknown3",132.985,1425.815,434.21,310.25,870.865,281.915,41.845,304.21,12.095,138.865,985.86,21.085
"vCTB2",958.195,10260.8,3118.42,2229.09,6250.645,2032.315,301.04,2177.77,88.07,985.35,7086.205,152.1
"vCTBp",21.46,218.425,67.67,46.96,132.31,43.765,6.395,46.125,1.865,21.085,150.815,3.125
