"","Endothelial","Erythroblasts","EVT","EVT-progenitor","EVT3","FIB1","FIB2","Hofbauer cells","STB","STB-progenitor","vCTB","vCTB1","vCTB2"
"Endothelial",35.945,7.455,65.425,27.385,8.195,34.83,173.66,98.255,338.115,35.3,280.325,12.66,2.45
"Erythroblasts",7.695,1.615,14.265,5.51,1.795,7.635,36.56,21.085,72.405,7.445,60.445,2.855,0.69
"EVT",65.64,13.91,116.205,49,14.08,62.04,307.765,178.935,603.4,60.43,501.01,23.04,4.545
"EVT-progenitor",26.58,5.805,47.975,20.59,5.94,26.59,129.085,74.965,254.405,26.615,210.11,9.47,1.87
"EVT3",7.73,1.67,13.64,5.855,1.73,7.46,36.795,21.315,72.755,7.565,59.97,2.85,0.665
"FIB1",35.865,7.065,63.675,26.415,7.055,33.875,165.98,95.975,326.66,33.595,269.255,12,2.585
"FIB2",175.01,36.515,310.91,128.915,37.76,166.13,829.08,472.185,1619.45,165.94,1343.765,62.09,12.25
"Hofbauer cells",100.205,20.79,175.345,74.895,22.055,96.775,473.84,273.2,928.805,94.99,776.295,35.53,7.275
"STB",340.215,72.045,606.065,255.795,72.03,326.145,1616.55,923.025,3162.4,326.92,2634.35,120.155,24.305
"STB-progenitor",34.665,7.54,62.665,25.915,7.585,34.19,166.16,96.04,327.96,33.485,268.99,12.355,2.45
"vCTB",280.45,60.72,502.425,212.14,60.495,272.245,1343.775,770.405,2636.665,269.985,2190.575,100.01,20.11
"vCTB1",13.06,2.605,23.24,9.815,2.67,12.22,61.875,35.09,120.94,12.88,99.77,4.805,1.03
"vCTB2",2.665,0.56,4.705,1.965,0.515,2.37,12.185,7.045,24.165,2.565,20.18,0.84,0.24
