"","Endothelial","Erythroblasts","EVT-progenitor","FIB1","FIB2","Hofbauer cells","STB","STB-progenitor","vCTB"
"Endothelial",0.205,0.695,1.67,2.56,9.44,8.195,5.315,0.06,3.86
"Erythroblasts",0.765,2.355,6.355,9.41,33.02,29.625,17.325,0.18,12.965
"EVT-progenitor",1.75,6.385,15.775,24.715,85.71,75.29,43.81,0.535,34.03
"FIB1",2.695,9.365,23.72,35.665,124.815,111.155,65.67,0.61,50.305
"FIB2",9.46,33.205,85.505,126.255,452.99,396.705,233.005,2.43,180.445
"Hofbauer cells",8.65,29.475,77.405,109.635,396.76,346.98,206.23,2.11,158.755
"STB",5,17.39,44.735,64.715,233.72,204.575,119.915,1.27,92.68
"STB-progenitor",0.05,0.175,0.51,0.73,2.38,2.01,1.19,0.01,0.945
"vCTB",3.945,13.185,33.915,50.695,180.32,158.73,94.06,1.05,72.1
