"","Endothelial","Erythroblasts","EVT","EVT-progenitor","EVT3","FIB1","FIB2","Hofbauer cells","STB","STB-progenitor","vCTB","vCTB1","vCTB2"
"Endothelial",14.285,2.91,24.015,9.905,2.83,13.175,64.715,36.905,127.185,13.26,105.105,4.81,0.9
"Erythroblasts",2.945,0.625,5.22,2.31,0.67,2.915,13.835,8.32,26.82,2.72,22.495,0.93,0.195
"EVT",24.95,5.15,43.95,17.99,4.99,23.185,115.635,65.805,225.145,23.305,189.385,8.855,1.655
"EVT-progenitor",10.035,2.205,18.475,7.605,2.305,9.665,49.02,28.055,94.83,9.565,78.97,3.57,0.7
"EVT3",3.2,0.655,5.105,2.18,0.68,3.025,13.6,7.975,26.885,2.86,22.69,0.955,0.19
"FIB1",13.16,2.7,23.28,9.62,2.99,13.025,62.36,35.395,121.96,12.505,102.325,4.71,0.97
"FIB2",65.165,13.705,114.91,48.01,14.135,63.365,311.85,178.635,605.31,63.205,503.81,23.155,4.745
"Hofbauer cells",37.725,7.87,66.9,28.185,7.99,35.35,178.995,102.8,347.35,35.89,289.98,13.43,2.535
"STB",127.62,26.28,226.475,95.98,26.21,123.83,606.8,348.005,1186.88,122.34,985.2,45.28,9.1
"STB-progenitor",12.94,2.755,23.415,9.9,2.715,12.765,63.215,36.205,122.06,12.155,101.54,4.535,0.8
"vCTB",106.89,22.58,188.01,78.935,22.57,101.46,507.06,290.815,984.55,102.035,820.58,37.125,7.39
"vCTB1",4.82,0.925,8.555,3.495,1.015,4.595,23.305,12.865,46.195,4.775,37.42,1.695,0.34
"vCTB2",1.045,0.18,1.845,0.67,0.21,0.985,4.785,2.705,9.05,0.855,7.225,0.345,0.1
