"celltype","geneset","n_genes","disp_gini","null_mean","null_sd","coordination_z","p_value","p_adj","significant"
"Fibroblast2","MMP_ECM_Remodeling",1,0.0130853762602054,0.038254264497461,0.0132955705510962,1.89302792591722,0.0583541558253284,0.326976447059294,FALSE
"Fibroblast2","Immune_Tolerance",1,0.0539043122353507,0.0387918407668729,0.0160204690859719,-0.943322598361886,0.345515920306127,0.52020503538941,FALSE
"Fibroblast2","Cytotoxic_NK",1,0.0161158801692318,0.0384860062869217,0.0155405099309851,1.43947172760503,0.150016914712925,0.490784412296629,FALSE
"Fibroblast2","Ethanolamine_Metabolism",1,0.0126778123753874,0.03499261056919,0.0163195293538018,1.36736766990382,0.171510090692156,0.490784412296629,FALSE
"EVT1","MMP_ECM_Remodeling",1,0.0155622708312922,0.0351378779868472,0.0193209180136662,1.01318198899901,0.310973241793843,0.52020503538941,FALSE
"EVT1","Immune_Tolerance",1,0.0155993727711084,0.0356281240484105,0.016816833443264,1.19099414012039,0.233655885321259,0.490784412296629,FALSE
"EVT1","Cytotoxic_NK",1,0,0.0318926628557081,0.0185446938677762,1.71977285596248,0.0854737385196246,0.404057673001862,FALSE
"EVT1","Ethanolamine_Metabolism",1,0.0154660584223106,0.0323407132789486,0.0192507498358441,0.876571256910045,0.380719556899671,0.549928248855081,FALSE
"EVT2","MMP_ECM_Remodeling",1,0.0165704387761468,0.035620732673477,0.0145133960149517,1.31260061842893,0.189317561120774,0.490784412296629,FALSE
"EVT2","Immune_Tolerance",1,0.0424927415820127,0.0373428002651675,0.0150790003691453,-0.341530661797203,0.732704126175667,0.793762803356973,FALSE
"EVT2","Cytotoxic_NK",1,0.0674198551297922,0.0334160970341349,0.0153951662010827,-2.20872937926039,0.027193469663225,0.326976447059294,FALSE
"EVT2","Ethanolamine_Metabolism",1,0.0100610471401962,0.0350137021557347,0.0169572796691595,1.47150097367441,0.141155684392073,0.490784412296629,FALSE
"EVT3","MMP_ECM_Remodeling",1,0.0188973133795532,0.0344623853762159,0.0145054963577053,1.07304641908019,0.283250289555548,0.52020503538941,FALSE
"EVT3","Immune_Tolerance",1,0.0251445444645391,0.0339722856556022,0.0139173129512844,0.634299206151657,0.525885574494547,0.666976826188207,FALSE
"EVT3","Cytotoxic_NK",1,0,0.032583029985197,0.0159804173764078,2.03893472734732,0.0414565424261248,0.326976447059294,FALSE
"EVT3","Ethanolamine_Metabolism",1,0.0155679457666996,0.0300792558108639,0.017664215069917,0.821508862138395,0.41135647826401,0.578122618100771,FALSE
"Endothelial_cells","MMP_ECM_Remodeling",1,0.0128429093155568,0.039601693440865,0.0143070368885777,1.87032314681096,0.0614389571090072,0.326976447059294,FALSE
"Endothelial_cells","Immune_Tolerance",1,0.053108498298709,0.0367577586374205,0.0161052740557989,-1.01524125509432,0.309990839414697,0.52020503538941,FALSE
"Endothelial_cells","Cytotoxic_NK",1,0.0136082751860388,0.0355864110399319,0.0175415515558694,1.25291850786259,0.210235365581723,0.490784412296629,FALSE
"Endothelial_cells","Ethanolamine_Metabolism",1,0.0186748099739516,0.0330269261364684,0.0183802249301885,0.780845470400022,0.434893386904773,0.595117266290742,FALSE
"STB","MMP_ECM_Remodeling",1,0.022462500541996,0.0395290155567481,0.0163004312234512,1.04699769802415,0.295100639892983,0.52020503538941,FALSE
