"","Endothelial","Erythroblasts","EVT","EVT-progenitor","EVT3","FIB1","FIB2","Hofbauer cells","STB","STB-progenitor","vCTB","vCTB1","vCTB2"
"Endothelial",-0.492221961903213,-0.593739575651938,-0.189540062683335,0.233891914187152,0.370294229922156,0.412193505953733,-1.15145892293153,-0.618550500548208,1.73215991382389,-1.46616444112466,0.351157119749735,0.302971899234847,0.71275602182204
"Erythroblasts",-0.522925828383023,-0.58337375382509,1.98433276078178,-0.115186823504608,-0.556819264681486,0.500987327091154,-0.170755700146774,0.864501096171375,0.119570201935332,-0.382907696549735,-1.36396788349388,0.622943028397324,-0.275993203318944
"EVT",-1.98794675401048,0.15259350764392,1.31195870035367,-2.37610907599382,-0.490366614682777,-0.496851121763629,1.59622012135221,-0.766810851945449,0.753796683351955,-0.4362826761484,-0.135507403560772,-0.783288952905978,0.156104085104537
"EVT-progenitor",-0.547343070224805,-1.10386343842175,-0.486302957755474,-1.02035871629218,-1.07693965831217,0.441403529869227,-0.6268529114357,0.806011443240256,0.249108491604096,0.710742200997264,0.237343266610068,1.70533625465512,-0.650767077818163
"EVT3",-0.47705724208054,-0.572935953256037,0.694889766447738,0.805273167125598,-0.56432849677336,-1.13732141355763,0.210978747611382,-0.686786201346256,0.78938545534725,-1.26297678495468,0.397708719638917,-0.832475185161402,-0.313698251063971
"FIB1",0.768318203374407,-0.446032980069083,-0.662865405010262,0.903242138316289,-0.377018377441333,-0.56808577408648,-0.0496239351955159,-0.142528029840903,-1.38580711435738,1.61591021893294,1.44446103428641,-0.884271551313732,-0.663452752868184
"FIB2",0.604448710582955,-1.14706879577138,-0.630825639452139,-0.886018558229408,-0.506898771575224,1.07693783706526,-2.35714628494322,-0.158214866645103,2.99896698922028,-0.609537652394852,-0.459931027673144,0.797747032607974,-0.315609665263767
"Hofbauer cells",-1.15519408011928,-0.576827510638557,1.87619929457138,-1.63072095786988,0.746636095596262,0.449691956507518,-1.04702849089193,0.302643740470279,-0.4650927907735,1.09124599284053,0.492462602664357,-0.0320177118601837,-0.390875838961659
"STB",1.09932855690828,-0.961443709500187,1.41092950588037,-0.136695253025262,-0.721828361266397,-0.872204004440741,0.839808292464342,-0.356543788124279,0.501144046124419,-0.396117868709196,-1.4483795840882,0.838773989459259,0.249835157654487
"STB-progenitor",2.29119946223886,-0.416161093374256,0.147076355190998,-1.39309863535718,0.405137918916623,0.517146912511275,-0.251361170974328,-0.179246094651353,-0.53720607069148,-0.644971400279107,0.449829573284534,0.289897684112092,-0.760939664489863
"vCTB",2.10165507796414,-0.8584271561226,0.200640763130235,-0.976315146721271,1.22558514753587,-1.44352474286714,0.0444976171706803,-2.0938682378172,1.09523179096375,-0.709969011142444,0.407377695696437,-0.0534746461290983,-1.08968115920046
"vCTB1",-0.985542596171679,-0.897910110386979,-0.875349685344321,-0.676427929546463,-0.809307733401081,1.55234055587339,1.26414431120156,-0.83394823153715,0.198086292225394,-0.923015293581258,0.270293227014602,1.20630739251668,-0.434024337310747
"vCTB2",0.734355481374661,-0.324815221959707,1.10637029080142,1.29174840519577,-0.386723691927053,-0.728030584934703,-0.475075138133652,-0.491051403495492,-0.337888072335748,-0.629314057587829,0.621120440913108,-0.438578196431209,-0.228841474766418
