"","Endothelial_cells","EVT2","EVT3","Fibroblast1","Fibroblast2","Hofbauer cells","maternal macrophages","STB","unknown2","unknown3","vCTB2","vCTBp"
"Endothelial_cells",7,101,6,48,97,21,1,49,2,22,156,2
"EVT2",112,1491,88,548,1293,328,25,926,19,234,2033,39
"EVT3",3,112,4,27,56,19,6,68,3,17,148,1
"Fibroblast1",56,523,28,221,442,128,16,401,10,97,828,10
"Fibroblast2",86,1451,93,512,1052,295,27,833,23,199,1981,24
"Hofbauer cells",18,310,26,137,348,78,4,225,0,58,508,8
"maternal macrophages",1,42,3,11,32,7,0,19,0,2,35,0
"STB",81,701,55,400,919,249,20,667,28,185,1310,17
"unknown2",7,41,1,11,18,3,0,14,1,4,27,1
"unknown3",18,251,25,105,243,69,8,157,2,46,383,5
"vCTB2",163,2021,155,857,2003,519,35,1421,32,371,3218,61
"vCTBp",4,21,6,17,27,12,1,33,0,0,62,1
