"","Endothelial","Erythroblasts","EVT","EVT-progenitor","EVT3","FIB1","FIB2","Hofbauer cells","STB","STB-progenitor","vCTB","vCTBp"
"Endothelial",56.425,29.265,9.275,6.51,4.565,70.935,209.79,60.28,83.23,34.945,392.455,2.325
"Erythroblasts",29.23,16.19,4.93,3.585,2.57,38.21,112.98,32.615,44.89,17.855,215.63,1.315
"EVT",9.055,5.07,1.455,1.09,0.755,12.105,35.07,10.08,13.875,5.53,65.485,0.43
"EVT-progenitor",6.81,3.72,1.195,0.86,0.59,9.055,26.05,7.475,10.505,4.595,48.915,0.23
"EVT3",4.725,2.495,0.815,0.6,0.415,6.22,17.095,5.005,6.6,2.82,32.995,0.215
"FIB1",71.96,39.475,11.845,8.845,5.965,91.86,270.8,77.56,107.765,43.925,506.72,3.28
"FIB2",211.72,113.095,35.1,25.965,17.38,269.85,799.8,228.06,316.365,131.35,1482.275,9.04
"Hofbauer cells",59.66,32.585,9.77,7.49,5.01,77.66,227.89,65.555,90.455,37,424.29,2.635
"STB",82.985,44.86,13.885,10.125,6.985,107.54,316.41,89.955,124.745,50.935,587.915,3.66
"STB-progenitor",35.905,19.285,5.64,4.465,2.785,45.33,130.635,38.375,51.835,21.425,242.885,1.435
"vCTB",395.645,213.51,64.67,47.795,32.52,507.26,1485.63,426.265,591.295,244.655,2773.935,16.82
"vCTBp",2.28,1.3,0.37,0.325,0.17,3.045,8.74,2.36,3.55,1.36,16.405,0.095
