"","Endothelial","Erythroblasts","EVT","EVT-progenitor","EVT3","FIB1","FIB2","Hofbauer cells","STB","STB-progenitor","vCTB","vCTBp"
"Endothelial",0.818193350591965,-0.76502794880291,0.212157389376994,-0.171980881850389,0.184923271253522,-0.212104110534523,-0.414309374571325,-0.55028460811636,1.13230841491376,-0.911980950190717,0.384937774147409,-1.23976466713101
"Erythroblasts",-0.216934795976565,-1.37231906751006,0.0288810918287958,-0.866039716660257,-0.909476580263837,-0.183177659857974,0.329037723132887,0.0588208141694098,-0.574882770906111,-0.427504298690366,1.10842191930196,1.29070600632548
"EVT",-0.361339555369638,1.25712161551208,-1.15905745953968,-1.10287742411496,0.264302284107227,0.24559404672303,-0.736262585291524,-0.327151225338894,0.872321830919171,-0.212335734458491,0.362782029074333,-0.603519505790547
"EVT-progenitor",-0.668513547450061,-1.31429877257158,1.63210433332222,-0.849228902059699,0.518603111533245,-0.689364198738323,1.34377853083204,-0.869633100118096,0.158783022083093,1.06218465581781,-0.170139059589641,-0.471165625602795
"EVT3",-1.3854247314936,-0.905878788376471,-0.938240654591149,-0.814452780419152,-0.629257722232889,-0.90241969097553,-0.558591070027647,-0.447654769233671,2.311561141859,-0.483021104473056,1.57170684729857,-0.458512471675381
"FIB1",-0.43254158453481,-0.853229759137608,0.0393083121597923,-0.264293788147251,-1.39365406423118,-0.265004862364946,-0.974988830083173,-0.0609348641928369,-0.624233135845083,-0.265239245500093,2.30495164970118,-1.13268113909809
"FIB2",0.015477220272649,-0.156023214118754,0.115418748909737,-0.437338501564054,-0.0683491369303385,-1.10906109404034,-0.543023113732056,0.457418375519479,1.202389345807,-1.71892455580255,0.728624422363606,0.764181675941963
"Hofbauer cells",-0.56735808577571,0.240852017137106,0.321904604357849,-2.01325166873064,-0.868456494355411,0.137736774248755,1.47851324982223,0.557259555982308,-1.94015688387538,-0.437011311868009,0.270076362678924,0.221503103318389
"STB",-0.704563474231522,-0.658061220022955,-1.03812909876136,-1.48951295908841,1.8893571667487,0.504163884724483,-1.18338137241706,3.75980317014082,0.0206389294004978,0.416200818457954,-0.286185361571865,0.162155323422335
"STB-progenitor",0.32546935243087,-0.281091684272042,-0.655912989916125,-1.06118441237311,0.110618263159275,-1.33592819715836,0.0352351539599935,1.24830816985185,-0.927130037997485,-0.705440166230938,1.24496950135236,-1.11240461153448
"vCTB",-0.0941246980531646,-0.720128211087563,-0.404457593084691,-1.52233464014066,-0.287415963758921,0.27072925380205,-0.011850178377944,-0.335532711283328,-0.614710491231978,0.189256560387542,0.985262167645695,-0.134710968729239
"vCTBp",2.39444101217253,-1.08820500773638,-0.630090460757949,-0.564871397121083,1.94549628829435,-0.584266810567542,0.960173282637174,0.422752318331449,-0.298965054542333,-1.27034547225244,-0.819429333918058,-0.3058835232503
