"","Endothelial_cells","EVT2","EVT3","Fibroblast1","Fibroblast2","Hofbauer cells","maternal macrophages","STB","unknown2","unknown3","vCTB2","vCTBp"
"Endothelial_cells",35.825,500.725,32.335,193.88,463.845,119.85,10.49,325.385,8.585,92.465,763.305,13.31
"EVT2",496.3,6992.29,454.375,2698.99,6439.05,1683.26,148.95,4537.215,125.805,1282.265,10642.625,178.875
"EVT3",32.885,452.315,29.7,178.31,420.35,108.38,9.885,295.9,8.46,83.71,688.56,11.545
"Fibroblast1",194.285,2696.57,176.725,1041.73,2490.365,653.545,57.575,1756.325,49.05,498.415,4114.805,70.61
"Fibroblast2",462.715,6428.45,419.38,2488.025,5938.81,1554.1,136.825,4175.09,115.36,1185.385,9809.8,166.06
"Hofbauer cells",120.31,1682.215,110.425,650.875,1548.6,405.995,36.005,1097.515,30.365,308.21,2566.61,42.875
"maternal macrophages",10.555,149.285,9.215,57.685,137.245,36.22,3.025,97.54,2.63,28.185,224.55,3.865
"STB",327.05,4532.31,294.765,1754.515,4177.915,1093.325,95.655,2952.32,81.465,829.73,6903.355,117.595
"unknown2",9.13,124.485,8.405,48.83,115.9,30.965,2.61,80.665,2.175,22.685,190.89,3.26
"unknown3",90.33,1288.71,84.165,500.085,1183.96,307.48,27.57,834.84,22.815,236.67,1950.59,32.785
"vCTB2",760.975,10637.76,689.685,4117.465,9803.255,2557.025,223.54,6898.43,193.26,1954.075,16169.895,274.635
"vCTBp",12.81,178.07,12.105,69.985,164.87,42.935,4.035,116.61,3.135,33.34,277.735,4.37
