"dataset","version","week","week_num","celltype","n_cells","total_cells","prop","is_fibro","fibro_prop","ratio_to_fibro","log2_ratio_to_fibro"
"Multiome","author","7",7,"Fibroblast2",1526,5781,0.26396817159661,TRUE,0.317938072997751,0.83025027203482,-0.268380066792716
"Multiome","author","7",7,"Hofbauer cells",44,5781,0.00761113994118665,FALSE,0.317938072997751,0.0239390642002176,-5.38442916860394
"Multiome","author","7",7,"Maternal fibroblast",13,5781,0.00224874589171424,TRUE,0.317938072997751,0.00707290533188248,-7.14327737268257
"Multiome","author","7",7,"STB",327,5781,0.0565646081992735,FALSE,0.317938072997751,0.17791077257889,-2.49076611672051
"Multiome","author","7",7,"maternal macrophages",41,5781,0.00709219858156028,FALSE,0.317938072997751,0.0223068552774755,-5.48630437315752
"Multiome","author","7",7,"unknown2",51,5781,0.00882200311364816,FALSE,0.317938072997751,0.0277475516866159,-5.17144371665667
"Multiome","author","7",7,"vCTB1",85,5781,0.0147033385227469,FALSE,0.317938072997751,0.0462459194776931,-4.43449891932996
"Multiome","author","7",7,"vCTB2",2047,5781,0.354090987718388,FALSE,0.317938072997751,1.11371055495103,0.155375631128755
"Multiome","author","7",7,"vCTB3",7,5781,0.00121086317246151,FALSE,0.317938072997751,0.00380848748639826,-8.03618736845725
"Multiome","author","7",7,"vCTBp",807,5781,0.139595225739491,FALSE,0.317938072997751,0.439064200217628,-1.18749290217425
"Multiome","author","8",8,"EVT1",89,9997,0.00890267080124037,FALSE,0.0550165049514854,0.161818181818182,-2.62754546194202
"Multiome","author","8",8,"EVT2",614,9997,0.0614184255276583,FALSE,0.0550165049514854,1.11636363636364,0.158808329273983
"Multiome","author","8",8,"EVT3",139,9997,0.0139041712513754,FALSE,0.0550165049514854,0.252727272727273,-1.98434102719425
"Multiome","author","8",8,"Endothelial_cells",52,9997,0.00520156046814044,FALSE,0.0550165049514854,0.0945454545454545,-3.40283283107716
"Multiome","author","8",8,"Fibroblast1",95,9997,0.00950285085525658,TRUE,0.0550165049514854,0.172727272727273,-2.53342384766028
"Multiome","author","8",8,"Fibroblast2",446,9997,0.0446133840152046,TRUE,0.0550165049514854,0.810909090909091,-0.30238612938458
"Multiome","author","8",8,"Hofbauer cells",16,9997,0.00160048014404321,FALSE,0.0550165049514854,0.0290909090909091,-5.10323821662235
"Multiome","author","8",8,"Maternal fibroblast",9,9997,0.000900270081024307,TRUE,0.0550165049514854,0.0163636363636364,-5.93327464496658
"Multiome","author","8",8,"STB",703,9997,0.0703210963288987,FALSE,0.0550165049514854,1.27818181818182,0.354094199368852
"Multiome","author","8",8,"maternal macrophages",81,9997,0.00810243072921877,FALSE,0.0550165049514854,0.147272727272727,-2.76342800948322
"Multiome","author","8",8,"myeloid_unknown",40,9997,0.00400120036010803,FALSE,0.0550165049514854,0.0727272727272727,-3.78133987660423
"Multiome","author","8",8,"unknown1",78,9997,0.00780234070221066,FALSE,0.0550165049514854,0.141818181818182,-2.81787541673599
"Multiome","author","8",8,"unknown2",132,9997,0.0132039611883565,FALSE,0.0550165049514854,0.24,-2.05888767783675
"Multiome","author","8",8,"vCTB1",199,9997,0.0199059717915375,FALSE,0.0550165049514854,0.361818181818182,-1.46665920052578
"Multiome","author","8",8,"vCTB2",5437,9997,0.543863158947684,FALSE,0.0550165049514854,9.88545454545455,3.30530745032727
"Multiome","author","8",8,"vCTB3",366,9997,0.0366109832949885,FALSE,0.0550165049514854,0.665454545454546,-0.587585802145257
"Multiome","author","8",8,"vCTBp",1501,9997,0.150145043513054,FALSE,0.0550165049514854,2.72909090909091,1.44842098184433
"Multiome","author","9",9,"EVT1",65,4467,0.0145511528990374,FALSE,0.168793373628834,0.0862068965517241,-3.5360361650748
"Multiome","author","9",9,"EVT2",439,4467,0.098276248041191,FALSE,0.168793373628834,0.582228116710875,-0.780341105849191
"Multiome","author","9",9,"EVT3",168,4467,0.0376091336467428,FALSE,0.168793373628834,0.222811671087533,-2.16609681555169
"Multiome","author","9",9,"Endothelial_cells",45,4467,0.010073875083949,FALSE,0.168793373628834,0.0596816976127321,-4.0665434439846
"Multiome","author","9",9,"Fibroblast1",168,4467,0.0376091336467428,TRUE,0.168793373628834,0.222811671087533,-2.16609681555169
"Multiome","author","9",9,"Fibroblast2",552,4467,0.123572867696441,TRUE,0.168793373628834,0.73209549071618,-0.44989428585405
"Multiome","author","9",9,"Hofbauer cells",40,4467,0.00895455563017685,FALSE,0.168793373628834,0.0530503978779841,-4.23646542383609
"Multiome","author","9",9,"Maternal fibroblast",34,4467,0.00761137228565032,TRUE,0.168793373628834,0.0450928381962865,-4.47092587848893
"Multiome","author","9",9,"STB",223,4467,0.0499216476382359,FALSE,0.168793373628834,0.295755968169761,-1.7575159353653
"Multiome","author","9",9,"maternal macrophages",160,4467,0.0358182225207074,FALSE,0.168793373628834,0.212201591511936,-2.23648581969694
"Multiome","author","9",9,"unknown2",34,4467,0.00761137228565032,FALSE,0.168793373628834,0.0450928381962865,-4.47092587848893
"Multiome","author","9",9,"vCTB1",147,4467,0.0329079919408999,FALSE,0.168793373628834,0.194960212201591,-2.35874096850529
"Multiome","author","9",9,"vCTB2",1847,4467,0.413476606223416,FALSE,0.168793373628834,2.44960212201591,1.29254802666442
"Multiome","author","9",9,"vCTB3",21,4467,0.00470114170584285,FALSE,0.168793373628834,0.0278514588859416,-5.16605149179786
"Multiome","author","9",9,"vCTBp",524,4467,0.117304678755317,FALSE,0.168793373628834,0.694960212201591,-0.52499563579366
"Multiome","final","10",10,"EVT1",19,8550,0.00222222222222222,FALSE,0.287251461988304,0.00773615635179153,-7.01398085666166
"Multiome","final","10",10,"EVT2",505,8550,0.0590643274853801,FALSE,0.287251461988304,0.205618892508143,-2.28194825139359
"Multiome","final","10",10,"EVT3",99,8550,0.0115789473684211,FALSE,0.287251461988304,0.0403094462540717,-4.63270243523935
"Multiome","final","10",10,"Endothelial_cells",423,8550,0.0494736842105263,FALSE,0.287251461988304,0.172231270358306,-2.53757261577568
"Multiome","final","10",10,"Fibroblast1",789,8550,0.092280701754386,TRUE,0.287251461988304,0.321254071661238,-1.63820886454112
"Multiome","final","10",10,"Fibroblast2",1659,8550,0.194035087719298,TRUE,0.287251461988304,0.675488599348534,-0.565994538635897
"Multiome","final","10",10,"Hofbauer cells",41,8550,0.0047953216374269,FALSE,0.287251461988304,0.0166938110749186,-5.90445642238869
"Multiome","final","10",10,"Maternal fibroblast",8,8550,0.000935672514619883,TRUE,0.287251461988304,0.00325732899022801,-8.261652005965
"Multiome","final","10",10,"STB",300,8550,0.0350877192982456,FALSE,0.287251461988304,0.12214983713355,-3.03326434405924
"Multiome","final","10",10,"maternal macrophages",54,8550,0.00631578947368421,FALSE,0.287251461988304,0.0219869706840391,-5.50714172879103
"Multiome","final","10",10,"unknown2",121,8550,0.0141520467836257,FALSE,0.287251461988304,0.0492671009771987,-4.34320232526037
"Multiome","final","10",10,"vCTB2",3135,8550,0.366666666666667,FALSE,0.287251461988304,1.2764657980456,0.352156012544942
"Multiome","final","10",10,"vCTB3",343,8550,0.0401169590643275,FALSE,0.287251461988304,0.139657980456026,-2.84001974903313
"Multiome","final","10",10,"vCTBp",1054,8550,0.12327485380117,FALSE,0.287251461988304,0.429153094462541,-1.22043233201106
"Multiome","final","11",11,"EVT1",8,3949,0.00202582932387946,FALSE,0.188655355786275,0.010738255033557,-6.54096227062917
"Multiome","final","11",11,"EVT2",54,3949,0.0136743479361864,FALSE,0.188655355786275,0.0724832214765101,-3.7861892094751
"Multiome","final","11",11,"EVT3",105,3949,0.026589009875918,FALSE,0.188655355786275,0.140939597315436,-2.8268408614549
"Multiome","final","11",11,"Endothelial_cells",34,3949,0.00860977462648772,FALSE,0.188655355786275,0.0456375838926175,-4.45360216245124
"Multiome","final","11",11,"Fibroblast1",87,3949,0.0220308938971892,TRUE,0.188655355786275,0.116778523489933,-3.09814076544098
"Multiome","final","11",11,"Fibroblast2",614,3949,0.155482400607749,TRUE,0.188655355786275,0.824161073825503,-0.279000019479095
"Multiome","final","11",11,"Hofbauer cells",36,3949,0.00911623195745758,FALSE,0.188655355786275,0.0483221476510067,-4.37114175844376
"Multiome","final","11",11,"Maternal fibroblast",44,3949,0.011142061281337,TRUE,0.188655355786275,0.0590604026845638,-4.0816405694689
"Multiome","final","11",11,"STB",223,3949,0.05646999240314,FALSE,0.188655355786275,0.299328859060403,-1.74019189567133
"Multiome","final","11",11,"maternal macrophages",95,3949,0.0240567232210686,FALSE,0.188655355786275,0.12751677852349,-2.97122969329656
"Multiome","final","11",11,"myeloid_unknown",1,3949,0.000253228665484933,FALSE,0.188655355786275,0.00134228187919463,-9.54002220771123
"Multiome","final","11",11,"unknown2",23,3949,0.00582425930615346,FALSE,0.188655355786275,0.0308724832214765,-5.01748792927518
"Multiome","final","11",11,"vCTB1",277,3949,0.0701443403393264,FALSE,0.188655355786275,0.371812080536913,-1.42735056913297
"Multiome","final","11",11,"vCTB2",1709,3949,0.43276778931375,FALSE,0.188655355786275,2.29395973154362,1.19784069523684
"Multiome","final","11",11,"vCTB3",22,3949,0.00557103064066852,FALSE,0.188655355786275,0.0295302013422819,-5.08161614263916
"Multiome","final","11",11,"vCTBp",617,3949,0.156242086604204,FALSE,0.188655355786275,0.828187919463087,-0.271968194211197
"Multiome","final","6",6,"EVT1",25,3712,0.00673491379310345,FALSE,0.228448275862069,0.0294811320754717,-5.08401532940263
"Multiome","final","6",6,"EVT2",387,3712,0.104256465517241,FALSE,0.228448275862069,0.456367924528302,-1.131727537168
"Multiome","final","6",6,"EVT3",12,3712,0.00323275862068966,FALSE,0.228448275862069,0.0141509433962264,-6.14285600699457
"Multiome","final","6",6,"Endothelial_cells",41,3712,0.0110452586206897,FALSE,0.228448275862069,0.0483490566037736,-4.37033861109772
"Multiome","final","6",6,"Fibroblast1",133,3712,0.0358297413793103,TRUE,0.228448275862069,0.156839622641509,-2.67262882055453
"Multiome","final","6",6,"Fibroblast2",712,3712,0.191810344827586,TRUE,0.228448275862069,0.839622641509434,-0.252185305331821
"Multiome","final","6",6,"Hofbauer cells",6,3712,0.00161637931034483,FALSE,0.228448275862069,0.00707547169811321,-7.14275406735057
"Multiome","final","6",6,"Maternal fibroblast",3,3712,0.000808189655172414,TRUE,0.228448275862069,0.0035377358490566,-8.14255020966895
"Multiome","final","6",6,"STB",209,3712,0.0563038793103448,FALSE,0.228448275862069,0.246462264150943,-2.02055546887986
"Multiome","final","6",6,"maternal macrophages",8,3712,0.0021551724137931,FALSE,0.228448275862069,0.00943396226415094,-6.72776753699335
"Multiome","final","6",6,"unknown2",18,3712,0.00484913793103448,FALSE,0.228448275862069,0.0212264150943396,-5.55792748775547
"Multiome","final","6",6,"vCTB2",1322,3712,0.35614224137931,FALSE,0.228448275862069,1.55896226415094,0.640586932364313
"Multiome","final","6",6,"vCTB3",151,3712,0.0406788793103448,FALSE,0.228448275862069,0.178066037735849,-2.48950761323839
"Multiome","final","6",6,"vCTBp",685,3712,0.184536637931034,FALSE,0.228448275862069,0.807783018867924,-0.307958490723139
"Multiome","final","7",7,"EVT1",18,5781,0.00311364815775817,FALSE,0.317938072997751,0.00979325353645267,-6.67384874217385
"Multiome","final","7",7,"EVT2",345,5781,0.0596782563570317,FALSE,0.317938072997751,0.187704026115343,-2.41346081363388
"Multiome","final","7",7,"EVT3",79,5781,0.0136654558034942,FALSE,0.317938072997751,0.0429815016322089,-4.54010673801524
"Multiome","final","7",7,"Endothelial_cells",92,5781,0.0159142016952084,FALSE,0.317938072997751,0.0500544069640914,-4.32033027298205
"Multiome","final","7",7,"Fibroblast1",299,5781,0.0517211555094274,TRUE,0.317938072997751,0.162676822633297,-2.61991050864499
"Multiome","final","7",7,"Fibroblast2",1526,5781,0.26396817159661,TRUE,0.317938072997751,0.83025027203482,-0.268380066792716
"Multiome","final","7",7,"Hofbauer cells",44,5781,0.00761113994118665,FALSE,0.317938072997751,0.0239390642002176,-5.38442916860394
"Multiome","final","7",7,"Maternal fibroblast",13,5781,0.00224874589171424,TRUE,0.317938072997751,0.00707290533188248,-7.14327737268257
"Multiome","final","7",7,"STB",327,5781,0.0565646081992735,FALSE,0.317938072997751,0.17791077257889,-2.49076611672051
"Multiome","final","7",7,"maternal macrophages",41,5781,0.00709219858156028,FALSE,0.317938072997751,0.0223068552774755,-5.48630437315752
"Multiome","final","7",7,"unknown2",51,5781,0.00882200311364816,FALSE,0.317938072997751,0.0277475516866159,-5.17144371665667
"Multiome","final","7",7,"vCTB1",85,5781,0.0147033385227469,FALSE,0.317938072997751,0.0462459194776931,-4.43449891932996
"Multiome","final","7",7,"vCTB2",2047,5781,0.354090987718388,FALSE,0.317938072997751,1.11371055495103,0.155375631128755
"Multiome","final","7",7,"vCTB3",7,5781,0.00121086317246151,FALSE,0.317938072997751,0.00380848748639826,-8.03618736845725
"Multiome","final","7",7,"vCTBp",807,5781,0.139595225739491,FALSE,0.317938072997751,0.439064200217628,-1.18749290217425
"Multiome","final","8",8,"EVT1",89,9997,0.00890267080124037,FALSE,0.0550165049514854,0.161818181818182,-2.62754546194202
"Multiome","final","8",8,"EVT2",614,9997,0.0614184255276583,FALSE,0.0550165049514854,1.11636363636364,0.158808329273983
"Multiome","final","8",8,"EVT3",139,9997,0.0139041712513754,FALSE,0.0550165049514854,0.252727272727273,-1.98434102719425
"Multiome","final","8",8,"Endothelial_cells",52,9997,0.00520156046814044,FALSE,0.0550165049514854,0.0945454545454545,-3.40283283107716
"Multiome","final","8",8,"Fibroblast1",95,9997,0.00950285085525658,TRUE,0.0550165049514854,0.172727272727273,-2.53342384766028
"Multiome","final","8",8,"Fibroblast2",446,9997,0.0446133840152046,TRUE,0.0550165049514854,0.810909090909091,-0.30238612938458
"Multiome","final","8",8,"Hofbauer cells",16,9997,0.00160048014404321,FALSE,0.0550165049514854,0.0290909090909091,-5.10323821662235
"Multiome","final","8",8,"Maternal fibroblast",9,9997,0.000900270081024307,TRUE,0.0550165049514854,0.0163636363636364,-5.93327464496658
"Multiome","final","8",8,"STB",703,9997,0.0703210963288987,FALSE,0.0550165049514854,1.27818181818182,0.354094199368852
"Multiome","final","8",8,"maternal macrophages",81,9997,0.00810243072921877,FALSE,0.0550165049514854,0.147272727272727,-2.76342800948322
"Multiome","final","8",8,"myeloid_unknown",40,9997,0.00400120036010803,FALSE,0.0550165049514854,0.0727272727272727,-3.78133987660423
"Multiome","final","8",8,"unknown1",78,9997,0.00780234070221066,FALSE,0.0550165049514854,0.141818181818182,-2.81787541673599
"Multiome","final","8",8,"unknown2",132,9997,0.0132039611883565,FALSE,0.0550165049514854,0.24,-2.05888767783675
"Multiome","final","8",8,"vCTB1",199,9997,0.0199059717915375,FALSE,0.0550165049514854,0.361818181818182,-1.46665920052578
"Multiome","final","8",8,"vCTB2",5437,9997,0.543863158947684,FALSE,0.0550165049514854,9.88545454545455,3.30530745032727
"Multiome","final","8",8,"vCTB3",366,9997,0.0366109832949885,FALSE,0.0550165049514854,0.665454545454546,-0.587585802145257
"Multiome","final","8",8,"vCTBp",1501,9997,0.150145043513054,FALSE,0.0550165049514854,2.72909090909091,1.44842098184433
