"","Endothelial_cells","EVT2","EVT3","Fibroblast1","Fibroblast2","Hofbauer cells","maternal macrophages","STB","unknown2","unknown3","vCTB2","vCTBp"
"Endothelial_cells",49,554,172,149,291,93,9,81,0,49,353,15
"EVT2",540,5825,1875,1161,3288,1047,162,1224,48,411,3719,65
"EVT3",164,1510,469,431,1141,369,58,322,9,184,1221,32
"Fibroblast1",132,1307,278,283,685,266,31,280,11,127,800,15
"Fibroblast2",338,3370,974,790,2032,709,84,829,34,287,2309,49
"Hofbauer cells",96,1259,315,239,650,191,28,238,9,89,715,11
"maternal macrophages",18,148,67,48,96,22,6,32,3,10,118,2
"STB",120,1073,447,290,694,210,40,266,8,109,833,20
"unknown2",3,55,12,11,33,16,0,9,1,2,23,0
"unknown3",50,551,182,97,310,106,15,121,6,42,367,13
"vCTB2",334,3897,1132,903,2324,713,112,810,27,347,2706,60
"vCTBp",8,121,12,12,52,13,2,13,0,5,47,0
