"","Endothelial","Erythroblasts","EVT","EVT-progenitor","EVT3","FIB1","FIB2","Hofbauer cells","STB","STB-progenitor","vCTB","vCTBp"
"Endothelial",15,9,2,0,1,21,26,11,19,9,78,1
"Erythroblasts",7,2,1,1,2,8,20,9,14,5,35,0
"EVT",1,0,0,0,0,3,9,1,3,0,14,1
"EVT-progenitor",3,1,1,1,0,4,3,2,1,0,8,0
"EVT3",0,0,0,0,0,5,3,1,0,0,7,0
"FIB1",18,7,4,1,2,19,55,18,18,4,100,2
"FIB2",35,21,7,6,0,53,159,50,56,25,315,1
"Hofbauer cells",11,6,2,2,2,19,42,9,19,5,90,1
"STB",19,10,6,1,0,29,59,19,26,4,114,1
"STB-progenitor",6,6,2,1,0,8,25,11,12,1,47,1
"vCTB",77,56,10,6,6,94,327,70,126,53,529,6
"vCTBp",0,0,0,0,0,0,5,0,0,0,3,0
